passage	combo	Phylum	Class	Order	Family	Genus	OTUnum	lowestTaxonomicLevel
3	XBA-XBB	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	12	Order
3	XFA-XFB	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	16	Genus
3	XFA-XFB	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	27	Genus
5	XFA-XFB	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	16	Genus
3	XCA-XDA	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	26	Genus
3	XDA-XFA	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	9	Genus
3	XDA-XFA	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	12	Genus
3	XDA-XFA	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	26	Genus
3	XDA-XFA	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	27	Genus
3	XBA-XBB	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Dielma	32	Family
5	XBA-XBB	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	[Clostridium]_innocuum_group	30	Genus
5	XCA-XCB	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	[Clostridium]_innocuum_group	30	Class
5	XDA-XDB	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	[Clostridium]_innocuum_group	30	Class
3	XFA-XFB	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	[Clostridium]_innocuum_group	29	Order
3	XBA-XCA	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Dielma	32	Family
3	XDA-XFA	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	[Clostridium]_innocuum_group	29	Class
3	XFA-XBA	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	[Clostridium]_innocuum_group	29	Genus
3	XFA-XBA	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	[Clostridium]_innocuum_group	30	Genus
3	XBA-XBB	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	10	Genus
3	XBA-XBB	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	12	Genus
