

Software Version	3.04.17



Experiment File Path:	C:\Users\Public\Documents\Experiments\Doran\e0043.5.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\DG_48hr_37C_orbital-continuous.prt



Plate Number	Plate 1
Date	6/11/2023
Time	5:39:03 PM
Reader Type:	Epoch 2
Reader Serial Number:	1608242
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
	Preheat before moving to next step
Start Kinetic	Runtime 48:00:00 (HH:MM:SS), Interval 0:15:00, 193 Reads
    Shake	Orbital: Continuous
	Frequency: 282 cpm (3 mm)
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	

600

Time	T° 600	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:14:16	37.0	0.66310	0.66740	0.70270	0.71200	0.72740	0.73610	0.75490	0.73630	0.73220	0.70850	0.71070	0.69010	0.65050	0.68400	0.67080	0.71010	0.74800	0.79450	0.91350	0.76810	0.76470	0.76240	0.76690	0.72800	0.66960	0.69060	0.68760	0.73730	0.79310	0.80600	0.79250	0.79780	0.75900	0.75510	0.72280	0.70270	0.67040	0.69110	0.71680	0.74900	0.74880	0.76930	0.75060	0.74690	0.73540	0.70790	0.69530	0.70890	0.66620	0.70280	0.72020	0.73850	0.75200	0.75170	0.74510	0.72960	0.72710	0.73180	0.71240	0.70210	0.62530	0.66340	0.70330	0.71770	0.76660	0.74230	0.76230	0.76970	0.74980	0.73370	0.75430	0.72970	0.62550	0.67360	0.73150	0.73470	0.73180	0.76790	0.76710	0.73590	0.91430	0.68620	0.67920	0.67050	0.50050	0.51580	0.52800	0.53330	0.53820	0.54900	0.51140	0.55250	0.58590	0.61440	0.59120	0.65890
0:29:16	37.1	0.66780	0.67500	0.71050	0.72030	0.73680	0.74150	0.76220	0.73890	0.73830	0.71170	0.71540	0.69650	0.66200	0.69420	0.68560	0.71810	0.75210	0.79580	0.92540	0.76620	0.76410	0.76220	0.76660	0.72790	0.66940	0.69340	0.69310	0.74280	0.78660	0.81320	0.79470	0.80620	0.76040	0.75230	0.73300	0.70460	0.67520	0.69120	0.71200	0.74390	0.74630	0.77020	0.74990	0.74920	0.73700	0.70740	0.69440	0.70160	0.67350	0.70860	0.72060	0.73820	0.74960	0.75230	0.74780	0.73020	0.72990	0.73030	0.71150	0.70010	0.63510	0.66840	0.70120	0.72410	0.77290	0.74830	0.76410	0.77350	0.75550	0.74200	0.75800	0.73230	0.62900	0.67410	0.73550	0.73690	0.73430	0.77170	0.77940	0.74670	0.93330	0.68880	0.68370	0.68200	0.50040	0.51450	0.52570	0.53240	0.54290	0.55570	0.52480	0.56100	0.59290	0.61640	0.59450	0.63130
0:44:16	37.2	0.66570	0.66060	0.70500	0.71930	0.73370	0.74130	0.76620	0.74430	0.74190	0.71900	0.71360	0.69360	0.65490	0.68780	0.67930	0.71030	0.75240	0.80000	0.94370	0.77200	0.77100	0.77020	0.77520	0.72840	0.67050	0.69480	0.69360	0.74080	0.78800	0.82130	0.80140	0.80540	0.76760	0.76090	0.73870	0.70880	0.67670	0.69090	0.71290	0.74500	0.74630	0.77040	0.75270	0.75160	0.74400	0.71000	0.69840	0.70500	0.67460	0.70700	0.71890	0.73310	0.74770	0.75380	0.74560	0.73110	0.72870	0.73400	0.71100	0.70080	0.64020	0.66870	0.70150	0.72370	0.77430	0.74990	0.76620	0.77610	0.75490	0.74740	0.76070	0.73540	0.62930	0.68200	0.74230	0.74400	0.74090	0.77960	0.78430	0.74970	0.95190	0.69640	0.69190	0.68920	0.50680	0.52090	0.53130	0.53620	0.54910	0.56060	0.53990	0.56970	0.58820	0.63730	0.60920	0.62370
0:59:16	37.3	0.71140	0.66750	0.74980	0.72840	0.74410	0.74600	0.79090	0.76090	0.74040	0.71120	0.71290	0.69030	0.66910	0.70410	0.69750	0.73200	0.75820	0.80750	0.95440	0.78040	0.78660	0.78220	0.77070	0.73680	0.68810	0.70590	0.69400	0.74950	0.79690	0.83880	0.81240	0.82270	0.78500	0.77000	0.75200	0.73590	0.67550	0.69690	0.71650	0.74670	0.74970	0.78150	0.76580	0.75950	0.75670	0.72010	0.70070	0.71850	0.66500	0.70340	0.72620	0.73890	0.74960	0.75680	0.74890	0.73460	0.74290	0.75230	0.70960	0.70900	0.64350	0.67170	0.70480	0.72520	0.77720	0.75220	0.78100	0.78410	0.76680	0.75790	0.77320	0.75050	0.65190	0.69730	0.75990	0.74730	0.74510	0.79140	0.79970	0.75110	0.97060	0.69900	0.70690	0.69530	0.50550	0.52570	0.53400	0.53720	0.55420	0.56460	0.54580	0.58190	0.60660	0.68270	0.63210	0.71840
1:14:16	37.4	0.74390	0.69870	0.75230	0.83590	0.75310	0.76860	0.80730	0.75900	0.74800	0.71750	0.71880	0.70470	0.75260	0.71920	0.70930	0.73730	0.74650	0.80410	1.03480	0.79180	0.82060	0.79730	0.78050	0.74330	0.71340	0.74200	0.71080	0.77850	0.82750	0.85640	0.82820	0.85750	0.80810	0.79180	0.78280	0.74210	0.68670	0.72540	0.71740	0.75680	0.75270	0.78620	0.75830	0.76030	0.75660	0.73170	0.71570	0.74300	0.67350	0.70960	0.73030	0.74660	0.77480	0.75530	0.75680	0.74200	0.75310	0.76300	0.74170	0.73160	0.66130	0.66850	0.70500	0.73120	0.77900	0.77460	0.79250	0.82290	0.79360	0.78520	0.78680	0.76070	0.70910	0.71320	0.81080	0.75580	0.75760	0.84200	0.84890	0.88840	0.99920	0.71680	0.71650	0.70950	0.51130	0.53240	0.53330	0.54020	0.56670	0.58290	0.56080	0.63470	0.67200	0.74000	0.65700	0.60450
1:29:16	37.4	0.73490	0.75010	0.73290	0.73960	0.77260	0.78840	0.81120	0.76610	0.76910	0.72760	0.71410	0.69530	0.75370	0.71890	0.72790	0.75490	0.78900	0.82780	1.03990	0.81510	0.87080	0.84800	0.78250	0.74880	0.70470	0.80290	0.68290	0.80890	0.86120	0.92860	0.86670	0.86150	0.88740	0.86160	0.83250	0.76340	0.73290	0.79080	0.76800	0.77670	0.75870	0.86260	0.83980	0.80210	0.77440	0.74720	0.69250	0.73750	0.71750	0.73240	0.74540	0.73560	0.81080	0.79210	0.81460	0.80600	0.81270	0.77700	0.78030	0.75140	0.77380	0.69380	0.70850	0.72750	0.81170	0.80220	0.84360	0.86480	0.83470	0.82800	0.84000	0.82310	0.70030	0.76470	0.86210	0.78580	0.80710	0.85410	0.91160	0.91410	1.01580	0.74640	0.75880	0.71550	0.53260	0.58020	0.57100	0.58240	0.59660	0.59320	0.58960	0.60830	0.65720	0.80240	0.75810	0.66210
1:44:16	37.4	0.83500	0.68460	0.79550	0.80800	0.90190	0.77570	0.80150	0.79170	0.81370	0.74800	0.71170	0.69070	0.83280	0.82930	0.76320	0.79910	0.86950	0.82190	1.05250	0.87520	0.85090	0.82190	0.82700	0.76470	0.70240	0.77920	0.81860	0.85080	0.90060	0.92570	0.89730	0.88680	0.81110	0.86190	0.84440	0.75030	0.70520	0.74320	0.75160	0.78190	0.81350	0.89290	0.86320	0.80660	0.79940	0.74140	0.74330	0.76020	0.75620	0.72140	0.76310	0.75810	0.82860	0.81590	0.83440	0.81490	0.81380	0.76660	0.78640	0.72960	0.78160	0.72480	0.71520	0.75110	0.84800	0.85400	0.89970	0.83670	0.86300	0.82530	0.89530	0.82010	0.79030	0.78610	0.85030	0.82550	0.82670	0.85540	0.87400	0.91200	1.03690	0.76090	0.77410	0.73430	0.55780	0.57370	0.56290	0.58870	0.62940	0.65170	0.63840	0.66240	0.68190	0.89180	0.77590	0.59480
1:59:16	37.4	0.91160	0.78540	0.76670	0.75710	0.88990	0.85100	0.92110	0.88210	0.80530	0.73530	0.71690	0.70630	0.85110	0.90710	0.79400	0.80300	0.76710	0.91790	1.08140	0.89790	0.99150	0.87700	0.82220	0.80540	0.77520	0.80920	0.84630	0.86190	0.97360	1.00530	0.91130	0.91780	1.00370	0.92670	0.93250	0.79810	0.71240	0.82060	0.79760	0.80170	0.84010	0.98830	0.90140	0.86450	0.90610	0.77900	0.74110	0.76780	0.77690	0.76840	0.83410	0.82420	0.80330	0.80270	0.84140	0.79990	0.83880	0.80530	0.84270	0.76840	0.82500	0.74340	0.75780	0.78840	0.87980	0.81680	0.90690	0.91000	0.83070	0.88800	0.87310	0.86160	0.74190	0.78230	0.88830	0.88710	0.82410	0.90400	0.86690	0.90840	1.08490	0.79420	0.76240	0.74740	0.55770	0.59600	0.60220	0.60290	0.63050	0.66200	0.63360	0.71750	0.70530	0.93210	0.83460	0.75530
2:14:16	37.5	0.64520	0.78580	0.75680	0.75430	0.83120	0.87760	0.85910	0.79630	0.81580	0.75590	0.73110	0.72940	0.86110	0.91430	0.80940	0.79200	0.80290	0.94250	1.12520	0.88200	0.93920	0.93930	0.83880	0.78310	0.79530	0.81640	0.71880	0.88840	0.98030	1.07540	1.00160	0.93050	0.94880	1.02020	0.94860	0.79030	0.71830	0.73440	0.78690	0.80630	0.85130	1.03790	0.80680	0.89010	0.85410	0.84320	0.76570	0.77890	0.75790	0.79820	0.87200	0.81990	0.82250	0.83490	0.80290	0.75000	0.73870	0.82550	0.79100	0.74400	0.90520	0.77390	0.77120	0.84050	0.93250	0.86280	0.84950	0.92050	0.88230	0.97230	0.90140	0.89700	0.85700	0.78730	0.96770	0.94760	0.82640	0.98030	0.93740	0.90040	1.13770	0.81660	0.77920	0.76750	0.53530	0.48390	0.60010	0.51530	0.64870	0.65750	0.51850	0.83910	0.76990	1.01500	0.89380	0.66800
2:29:16	37.5	0.73000	0.78370	0.77200	0.75800	0.76790	0.90140	0.95520	0.79980	0.83790	0.81170	0.74220	0.77220	0.86910	0.91070	0.81900	0.78620	0.85290	1.01380	1.19650	0.98320	0.89280	0.96840	0.91030	0.87270	0.80010	0.82390	0.72180	0.92820	1.01270	1.15920	0.97230	0.96800	1.00120	1.04110	1.00100	0.84220	0.69770	0.76440	0.76140	0.86300	0.87670	1.10870	0.93270	0.94190	0.92090	0.86180	0.84170	0.80330	0.78400	0.77400	0.94090	0.82810	0.86050	0.85190	0.83220	0.80240	0.69210	0.86970	0.83480	0.76890	0.94240	0.87930	0.79620	0.86680	0.99740	0.88210	1.03450	0.95630	0.93360	1.04360	1.03200	0.95210	0.68440	0.77770	0.98230	1.00910	0.88190	1.04630	1.00840	0.94660	1.18790	0.85910	0.80850	0.78000	0.54860	0.53430	0.55730	0.51660	0.69000	0.67930	0.49020	0.79540	0.85980	1.10750	1.01620	0.51440
