

Software Version	3.04.17



Experiment File Path:	C:\Users\Public\Documents\Experiments\Doran\e0046.2A.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\DG_48hr_37C_orbital-continuous.prt



Plate Number	Plate 1
Date	8/18/2023
Time	1:46:22 PM
Reader Type:	Epoch 2
Reader Serial Number:	1608242
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
	Preheat before moving to next step
Start Kinetic	Runtime 48:00:00 (HH:MM:SS), Interval 0:15:00, 193 Reads
    Shake	Orbital: Continuous
	Frequency: 282 cpm (3 mm)
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	

600

Time	T° 600	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:14:16	37.0	1.03580	1.02450	1.02830	1.03590	1.01080	1.02650	1.03670	1.01810	1.01400	0.99400	0.87980	0.92000	1.00650	0.99130	1.00660	1.01810	1.03650	1.01030	1.02040	0.99950	1.05490	1.03030	1.01520	0.98380	0.99700	1.02980	0.98430	0.98480	1.02710	1.01130	1.03570	1.11000	1.01400	0.98750	0.99760	0.96630	1.03590	1.01710	1.00860	0.99340	0.98260	1.01030	1.00520	1.00490	0.96090	0.96030	0.97020	0.93700	1.01000	1.02390	1.01950	1.01880	1.02160	0.98710	1.00790	0.99810	0.99750	0.98670	1.02080	0.90640	1.00450	1.00320	0.99620	1.01620	1.06370	0.99400	1.01850	1.00020	0.97310	1.01570	0.99470	0.93530	0.99070	0.98950	0.99340	1.01340	1.03390	1.01490	1.01180	0.98640	0.98890	1.00340	0.97200	0.98560	0.98450	1.02000	1.00130	1.01000	1.00070	1.02180	1.00840	0.99720	0.96090	1.00380	0.94400	0.88960
0:29:16	37.0	1.01830	1.01820	1.02160	1.03390	1.01560	1.04090	1.04420	1.01670	1.02380	0.99570	0.89180	0.92560	1.02850	1.00530	1.00330	1.01770	1.04630	1.01860	1.03100	1.00970	1.05980	1.04500	1.03560	0.99350	0.99750	1.00800	1.01020	1.02120	1.03680	1.02890	1.03950	1.10360	1.01330	0.98990	0.99530	0.94460	1.06230	1.01520	1.00710	0.99980	0.98210	1.00740	1.01750	1.01250	0.98100	0.96470	0.98490	0.94310	1.03840	1.02530	1.03290	1.03720	1.01280	0.99550	1.02240	1.00740	1.00910	0.99400	1.02310	0.90750	1.02440	0.98930	0.98820	1.02870	1.09380	1.00900	1.02710	1.00040	0.99060	1.02180	1.00300	0.94110	1.03070	0.99190	1.01150	1.03180	1.04760	1.01990	1.01250	0.99830	1.00410	1.01100	0.97840	1.01410	0.99300	1.03790	1.03220	1.02750	1.01940	1.02810	1.01480	0.99940	0.96600	1.01850	0.95440	0.90630
0:44:16	37.0	1.03330	1.03680	1.03460	1.04850	1.02380	1.06650	1.07950	1.05340	1.05460	1.01880	0.91380	0.98050	1.02440	1.01670	1.02640	1.02810	1.06940	1.05280	1.05660	1.06090	1.07770	1.07240	1.06830	1.00620	1.02670	1.03810	1.02110	1.04500	1.04590	1.03200	1.03950	1.13120	1.04550	1.02320	1.00710	0.98610	1.07360	1.03050	1.02290	1.04010	0.99950	1.03160	1.04920	1.02920	0.99070	0.99660	0.99540	0.98520	1.04080	1.05180	1.04700	1.07490	1.04310	1.00930	1.05140	1.02140	1.01800	1.06050	1.03650	0.94010	1.04090	1.00920	1.00910	1.03310	1.13180	1.06580	1.04970	1.03140	1.03400	1.06360	1.03040	0.98770	1.04630	1.00770	1.03830	1.07150	1.08770	1.04220	1.03110	1.04220	1.01770	1.03230	0.99630	0.95630	1.00660	1.04880	1.07640	1.06740	1.06340	1.09620	1.07210	1.02070	0.99120	1.07000	0.95410	0.93840
0:59:16	37.0	1.05200	1.03840	1.04410	1.06160	1.04170	1.07200	1.10610	1.04880	1.05880	1.04390	0.92830	0.99530	1.03750	1.03110	1.04180	1.03950	1.08160	1.07040	1.09920	1.10620	1.10400	1.09170	1.10590	1.03170	1.03490	1.05150	1.05780	1.03260	1.08470	1.04310	1.06110	1.18910	1.08910	1.03540	1.03760	0.99530	1.09690	1.03590	1.04110	1.06840	1.02670	1.09310	1.03390	1.05720	1.03440	1.04430	0.93560	1.03420	1.06080	1.06970	1.07310	1.11700	1.07190	1.05910	1.07380	1.07850	1.05580	1.04080	1.07170	0.96790	1.06010	1.01690	1.04490	1.04890	1.15550	1.07390	1.06400	1.06080	1.06890	1.08810	1.04140	0.95520	1.05420	1.01090	1.06900	1.10050	1.12860	1.08740	1.05600	1.07580	1.07430	1.06050	1.03090	1.17070	1.02170	1.07480	1.09720	1.08210	1.07360	1.11750	1.07480	1.06140	1.07440	1.09960	1.10700	0.99440
1:14:16	37.0	1.05020	1.04740	1.05600	1.06510	1.04920	1.08560	1.11630	1.05850	1.06230	1.04010	0.96300	1.01960	1.05040	1.04310	1.05740	1.05030	1.09510	1.08650	1.11470	1.14180	1.12930	1.10960	1.11860	1.03870	1.05210	1.06490	1.07710	1.03930	1.09750	1.06210	1.07820	1.22530	1.10250	1.04150	1.05390	1.02500	1.11030	1.05180	1.05390	1.08570	1.04660	1.10680	1.04020	1.08680	1.06170	1.06610	0.93480	1.12940	1.08200	1.08450	1.09470	1.13440	1.09210	1.09280	1.10470	1.00290	1.06050	0.95260	1.08720	0.98400	1.07000	1.03090	1.06690	1.05560	1.18290	1.09930	1.09380	1.06940	1.07350	1.10140	1.06040	0.94510	1.06090	1.01860	1.08660	1.11420	1.20650	1.10170	1.07890	1.08930	1.07990	1.07680	1.05920	1.17260	1.02970	1.09220	1.10840	1.09320	1.08210	1.13630	1.08600	1.07220	1.09530	1.10980	1.13930	0.99350
1:29:16	37.1	1.06720	1.06340	1.07130	1.07600	1.06930	1.10240	1.13370	1.07380	1.07480	1.05890	0.98620	1.04740	1.06480	1.05500	1.07480	1.06760	1.11540	1.10910	1.13610	1.15780	1.15250	1.12170	1.12760	1.04850	1.06210	1.08120	1.09220	1.06200	1.11880	1.08030	1.09370	1.25640	1.12790	1.06360	1.08540	1.03300	1.13410	1.07270	1.06810	1.10260	1.07490	1.12810	1.06610	1.10290	1.09360	1.08600	0.88180	1.16270	1.11350	1.10430	1.12690	1.15320	1.11700	1.10030	1.14530	1.03580	1.08240	0.94200	1.12650	0.77620	1.08680	1.05550	1.08930	1.07130	1.20480	1.10930	1.11760	1.08660	1.08030	1.13120	1.08440	0.97890	1.06520	1.03130	1.11790	1.12110	1.22470	1.10570	1.10230	1.09950	1.11090	1.09410	1.12370	1.18690	1.03610	1.11910	1.12110	1.11970	1.09940	1.17440	1.10400	1.09210	1.11770	1.13150	1.17230	0.99260
1:44:16	37.1	1.07540	1.08580	1.09330	1.08200	1.08160	1.11450	1.14640	1.08610	1.08440	1.07130	1.02140	1.05310	1.08730	1.06980	1.09950	1.08790	1.14400	1.13250	1.15890	1.16770	1.18870	1.13880	1.14560	1.06700	1.07940	1.10350	1.11690	1.08970	1.13850	1.09790	1.11280	1.28730	1.15020	1.07340	1.10440	1.06410	1.15780	1.09720	1.08790	1.12560	1.09810	1.15470	1.07820	1.12480	1.12340	1.09650	0.92840	1.18400	1.14540	1.13220	1.16810	1.17470	1.14370	1.12550	1.16670	1.06800	1.08120	0.95370	1.14070	0.89470	1.10080	1.08400	1.11750	1.08810	1.22020	1.11700	1.13810	1.09980	1.09810	1.14340	1.11640	0.99620	1.07240	1.03160	1.15220	1.14460	1.25230	1.12610	1.12630	1.12640	1.13550	1.09300	1.14430	1.22410	1.04580	1.15780	1.13790	1.14070	1.12200	1.19850	1.12390	1.11660	1.13500	1.15090	1.18310	1.03170
1:59:16	37.2	1.07930	1.11770	1.12280	1.09580	1.09950	1.13530	1.16630	1.10540	1.11310	1.09110	1.03380	1.10940	1.11920	1.09290	1.14270	1.12200	1.18090	1.16750	1.19940	1.19630	1.23460	1.15940	1.15740	1.08600	1.09900	1.13550	1.15210	1.12860	1.16980	1.12930	1.14890	1.32820	1.18150	1.11980	1.12490	1.07600	1.18980	1.12790	1.11840	1.15680	1.13350	1.18670	1.10170	1.15930	1.16540	1.11670	0.99050	1.19640	1.18260	1.17210	1.21850	1.20260	1.17510	1.14920	1.19290	1.09990	1.12060	0.98250	1.15690	0.90370	1.12400	1.12530	1.15730	1.11000	1.25220	1.12620	1.16550	1.12620	1.12960	1.16190	1.15310	1.02550	1.08920	1.04090	1.18700	1.17790	1.27860	1.15270	1.16320	1.14580	1.16480	1.10640	1.18000	1.25710	1.06900	1.20000	1.16040	1.17460	1.14430	1.23070	1.14950	1.14620	1.15950	1.17670	1.23430	1.09450
2:14:16	37.2	1.08060	1.15980	1.16430	1.11220	1.11790	1.16120	1.19400	1.13230	1.13730	1.11700	1.07320	1.12170	1.15650	1.12550	1.18720	1.15950	1.22610	1.20800	1.23600	1.23190	1.27550	1.18500	1.17660	1.11680	1.13050	1.17570	1.19930	1.17530	1.20800	1.17320	1.18180	1.37240	1.22250	1.12440	1.14970	1.12140	1.22710	1.17140	1.15950	1.19600	1.17390	1.22760	1.14740	1.20150	1.20050	1.13830	1.00620	1.22230	1.22370	1.21910	1.27320	1.23760	1.21410	1.18180	1.22530	1.14340	1.20400	0.94900	1.18860	0.92850	1.15730	1.17660	1.20740	1.13500	1.28740	1.14190	1.20200	1.15120	1.15470	1.19160	1.17620	1.06080	1.11540	1.05410	1.22800	1.21530	1.30530	1.18420	1.19820	1.17970	1.20800	1.13270	1.20110	1.31200	1.09140	1.24630	1.18950	1.20910	1.17740	1.26540	1.18220	1.17920	1.18880	1.21200	1.24810	1.12320
2:29:16	37.2	1.09860	1.20600	1.21430	1.13030	1.14260	1.19700	1.22720	1.16350	1.15860	1.15740	1.17010	1.19240	1.19800	1.17220	1.24900	1.20920	1.27730	1.25960	1.28340	1.28040	1.32830	1.21820	1.20750	1.15520	1.18310	1.23030	1.25950	1.22890	1.25350	1.20940	1.22790	1.41960	1.26560	1.16570	1.17800	1.16550	1.27170	1.23780	1.21400	1.24550	1.21850	1.27230	1.17420	1.25040	1.24640	1.16830	1.06080	1.26180	1.27490	1.27450	1.33080	1.27890	1.25890	1.22760	1.26930	1.18080	1.23890	0.92230	1.22940	0.91970	1.19820	1.23120	1.26570	1.17360	1.32540	1.14710	1.24300	1.19440	1.19980	1.23320	1.20660	1.10660	1.12810	1.07140	1.27720	1.25550	1.33670	1.21500	1.23750	1.21590	1.23990	1.18110	1.23320	1.38350	1.13760	1.30790	1.22570	1.24870	1.23480	1.30420	1.21750	1.21340	1.22540	1.22310	1.28780	1.12320
