

Software Version	3.09.07



Experiment File Path:	C:\Users\Public\Documents\Experiments\Doran\e0046.2B.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\DG-37C-48Hr-orbital-continuous.prt



Plate Number	Plate 1
Date	8/18/2023
Time	1:43:34 PM
Reader Type:	Epoch 2
Reader Serial Number:	20022826
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE (Use plate lid)
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
	Preheat before moving to next step
Start Kinetic	Runtime 48:00:00 (HH:MM:SS), Interval 0:15:00, 193 Reads
    Shake	Orbital: Continuous
	Frequency: 282 cpm (3 mm)
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	

600

Time	T° 600	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:14:16	37.0	0.98120	0.96980	0.97310	0.96120	0.94670	0.96750	0.97940	0.95830	0.96970	0.98530	0.96740	0.89060	1.01550	1.00040	0.99450	1.00300	0.98700	0.98940	0.99770	0.99800	1.00620	1.02070	1.00850	0.98490	0.99100	0.98000	0.96920	0.98130	0.98350	0.98250	1.00950	1.00230	1.00930	1.02600	0.96300	0.96430	0.99680	0.98350	0.98120	0.98530	1.00350	0.99680	1.01450	1.01450	1.03740	1.01310	0.94370	0.95050	1.00770	0.99040	1.02390	1.01080	0.98900	0.98700	1.00800	1.01950	1.05470	0.99230	0.91550	0.95420	1.01330	0.98070	0.98130	0.98830	0.99400	0.99370	0.99430	1.02970	1.03800	1.02570	0.99050	0.95950	1.00900	0.98040	0.98250	0.99080	0.99980	0.99030	0.99160	0.99170	1.02050	0.87690	0.94740	0.92290	0.99400	1.01030	1.02340	0.99650	0.99650	1.02800	0.99270	0.99050	0.97650	1.01910	0.92730	0.90650
0:29:16	37.0	1.02240	0.99950	0.99440	0.95460	0.96150	0.98190	1.01710	0.97700	0.99810	1.00430	0.98890	0.92400	0.99590	0.99650	0.98770	1.00510	0.97310	0.98500	0.99950	1.00870	1.02160	1.01930	1.02500	1.01520	1.00090	0.97290	0.97470	0.97350	0.98160	0.98570	1.00760	1.00680	1.01760	1.04950	0.98280	0.98250	0.99090	0.97100	0.98980	0.97940	0.99130	0.99130	1.00080	1.01180	1.03310	1.00540	0.94580	0.97210	0.98990	0.97390	1.01660	1.00520	0.97900	0.98740	1.01120	1.01400	1.04720	0.99510	0.92320	0.95930	0.99510	0.98340	0.98010	0.98830	0.97680	0.98230	1.00290	1.02180	1.03160	1.02080	1.00720	0.95910	0.99460	0.97960	0.97730	0.99610	1.00850	0.99640	1.00770	1.00610	1.02260	0.90230	0.98320	0.92530	1.00890	1.02060	1.04020	1.03610	1.02140	1.03490	1.00010	1.01710	0.99140	1.02310	0.96590	0.92610
0:44:16	37.1	1.02820	1.02070	0.99220	0.97950	0.98500	1.00910	1.07340	1.08210	1.03530	1.03310	1.02730	0.97870	1.04370	1.03490	1.00360	1.04540	0.99950	1.02860	1.02140	1.06170	1.03960	1.07560	1.03940	1.03450	1.01470	1.01260	1.00660	1.01310	0.99190	1.02630	1.01870	1.03860	1.04600	1.07880	0.98930	1.02170	1.02020	1.00930	1.00630	0.97830	1.00620	1.01220	1.03480	1.04110	1.04820	1.03430	0.97160	0.99360	1.05090	1.02140	1.03810	1.02650	1.02440	1.00940	1.03380	1.04090	1.06500	1.03650	0.98010	0.99500	1.03950	1.01920	1.01140	1.00020	0.99850	0.99790	1.04070	1.02680	1.04060	1.03680	1.02680	0.97330	1.05000	1.02050	1.00460	1.01630	1.04150	1.01780	1.01500	1.03510	1.03270	0.90080	0.99900	0.96010	1.03220	1.05850	1.06380	1.04390	1.05720	1.06280	1.02100	1.03220	1.03420	1.05780	1.00190	0.94450
0:59:16	37.1	1.04460	1.04540	1.00330	1.00470	1.00160	1.01650	1.06790	1.07660	1.04720	1.03100	1.06040	0.97040	1.08250	1.05470	1.03560	1.05090	1.01660	1.05230	1.04320	1.09240	1.06020	1.07650	1.10930	1.04640	1.02070	1.01860	1.04450	1.02690	1.00930	1.03840	1.06000	1.05000	1.05170	1.09300	1.04530	1.02730	1.03430	1.01240	1.01810	0.99180	1.01510	1.01420	1.04770	1.04650	1.07210	1.05480	1.04230	1.02370	1.06750	1.04500	1.07830	1.03600	1.04650	1.04550	1.07230	1.05820	1.11700	1.05900	1.02320	1.01480	1.06140	1.03920	1.02720	1.02910	1.00810	1.00950	1.05370	1.06280	1.07100	1.07630	1.05490	1.02510	1.08710	1.04970	1.01970	1.02420	1.06320	1.02380	1.04250	1.06620	1.07670	0.96010	1.00190	1.00210	1.05520	1.06910	1.09360	1.05580	1.06980	1.07220	1.02400	1.05720	1.04960	1.07990	1.05720	0.98460
1:14:16	37.1	1.06400	1.06720	1.05360	1.03560	1.00470	1.02570	1.07330	1.13280	1.04720	1.06820	1.10150	0.99340	1.09150	1.07660	1.07520	1.05560	1.02070	1.05690	1.04900	1.09950	1.07630	1.11100	1.13360	1.04990	1.04760	1.02530	1.07080	1.05470	1.03610	1.05330	1.08500	1.05650	1.06330	1.11290	1.06360	1.04850	1.04550	1.01270	1.02530	0.99740	1.02700	1.03980	1.06660	1.06390	1.08940	1.10040	1.05310	1.03880	1.07840	1.07710	1.08430	1.04460	1.06270	1.06630	1.08470	1.08120	1.14460	1.11180	1.04710	1.03780	1.07910	1.04700	1.03500	1.03810	1.02420	1.02560	1.05930	1.08030	1.08690	1.09810	1.06350	1.03540	1.13200	1.07460	1.04380	1.02810	1.07340	1.03200	1.05600	1.07440	1.09160	0.97880	1.01980	0.99680	1.07270	1.07380	1.13780	1.05970	1.09690	1.08350	1.04390	1.06650	1.05610	1.09050	1.06930	1.00320
1:29:16	37.1	1.06710	1.07230	1.06380	1.03430	1.01770	1.02820	1.10050	1.10690	1.04950	1.11430	1.09740	1.01500	1.09110	1.09350	1.07890	1.06200	1.02170	1.10840	1.05850	1.10940	1.08590	1.12060	1.13790	1.05450	1.04290	1.02770	1.08260	1.08300	1.05210	1.05960	1.11730	1.06450	1.06670	1.13470	1.07480	1.05460	1.06140	1.01240	1.03540	1.00800	1.02820	1.03400	1.07850	1.07470	1.11040	1.08290	1.07520	1.04200	1.07450	1.07940	1.10970	1.05120	1.07680	1.06670	1.09450	1.10940	1.14780	1.12680	1.07000	1.05620	1.08400	1.05320	1.04840	1.04780	1.06390	1.02730	1.07050	1.10180	1.09920	1.10710	1.07380	1.04950	1.13820	1.08830	1.03240	1.04140	1.08000	1.04060	1.06560	1.08830	1.08720	0.99160	1.04060	1.01740	1.06600	1.08200	1.14490	1.06930	1.11730	1.10510	1.06090	1.07440	1.08380	1.11710	1.09400	1.00540
1:44:16	37.1	1.07940	1.07970	1.07590	1.05160	1.01550	1.03620	1.09140	1.10250	1.05390	1.12690	1.10190	1.01870	1.09750	1.09940	1.08600	1.06630	1.02310	1.10360	1.05720	1.11580	1.08710	1.12990	1.14410	1.06360	1.05180	1.03300	1.08720	1.09910	1.05990	1.06280	1.11480	1.08090	1.07430	1.14630	1.08060	1.05450	1.09860	1.01830	1.04250	1.01680	1.03130	1.03810	1.08650	1.08020	1.09130	1.09550	1.09100	1.03750	1.08510	1.09850	1.12640	1.05730	1.07990	1.07460	1.10630	1.11690	1.15640	1.16120	1.06670	1.10490	1.09020	1.05540	1.05310	1.04790	1.07010	1.03520	1.07450	1.12860	1.10590	1.11430	1.08420	1.05620	1.16340	1.09990	1.04050	1.04570	1.08650	1.04580	1.07850	1.09770	1.09540	0.99850	1.03150	1.01750	1.07280	1.09200	1.17300	1.08300	1.12730	1.12600	1.07280	1.08520	1.09680	1.12900	1.11200	1.01410
1:59:16	37.1	1.08760	1.09030	1.08690	1.04970	1.02220	1.04040	1.08540	1.10860	1.05670	1.13940	1.10330	1.05090	1.10560	1.10920	1.09850	1.06610	1.03060	1.10890	1.07280	1.12040	1.09530	1.14050	1.16860	1.07190	1.06200	1.03510	1.09700	1.09490	1.06400	1.07020	1.13140	1.10060	1.08380	1.15810	1.10160	1.07000	1.08460	1.01740	1.05320	1.02290	1.04160	1.03560	1.09730	1.09920	1.11900	1.10380	1.10200	1.05600	1.08570	1.10220	1.13010	1.05810	1.08760	1.07820	1.11820	1.13480	1.15920	1.16930	1.08390	1.12160	1.09750	1.05890	1.05890	1.05080	1.07250	1.03820	1.08270	1.13860	1.11130	1.12450	1.09170	1.06460	1.16460	1.10770	1.04480	1.05160	1.09920	1.05130	1.08330	1.10600	1.10460	1.02160	1.03360	1.02330	1.07920	1.10000	1.19280	1.09590	1.16060	1.15750	1.09720	1.09550	1.12300	1.15120	1.13490	1.05540
2:14:16	37.1	1.09390	1.10160	1.09090	1.04160	1.03200	1.04260	1.08610	1.11070	1.05850	1.13690	1.10260	1.04870	1.11210	1.11440	1.10060	1.07130	1.03490	1.11060	1.06780	1.12190	1.10380	1.15170	1.17850	1.08300	1.07310	1.03910	1.09250	1.09160	1.06400	1.07680	1.13810	1.12220	1.10220	1.17070	1.10360	1.07900	1.08010	1.02520	1.06040	1.02360	1.04910	1.03440	1.11210	1.12520	1.12910	1.11420	1.13180	1.06950	1.08730	1.10990	1.14780	1.06480	1.09050	1.08450	1.11420	1.15210	1.17310	1.17810	1.09970	1.14930	1.10630	1.06330	1.06540	1.05660	1.08300	1.04320	1.08780	1.15410	1.12540	1.13580	1.10470	1.08580	1.17180	1.11840	1.05020	1.05810	1.09760	1.06380	1.09030	1.11620	1.11040	1.02480	1.05860	1.03360	1.09030	1.11360	1.21390	1.12200	1.19210	1.19850	1.13440	1.11800	1.15070	1.17600	1.16610	1.05890
2:29:16	37.1	1.10040	1.11300	1.10730	1.04510	1.07730	1.04910	1.08200	1.10520	1.06150	1.13210	1.12160	1.04420	1.12470	1.12520	1.10510	1.07600	1.03950	1.12160	1.07610	1.13040	1.12900	1.17130	1.19900	1.09610	1.08930	1.04270	1.09210	1.09270	1.07280	1.09140	1.16510	1.14160	1.13830	1.19210	1.13920	1.09940	1.10800	1.03670	1.08180	1.02440	1.05420	1.04390	1.13090	1.14970	1.12800	1.13080	1.14130	1.07050	1.10740	1.12630	1.16500	1.07160	1.09360	1.09080	1.14350	1.18800	1.19580	1.19480	1.13070	1.16340	1.10910	1.07040	1.07890	1.06360	1.08840	1.04520	1.10340	1.17700	1.15700	1.15260	1.12640	1.10230	1.15720	1.12380	1.05540	1.06140	1.10680	1.07620	1.10480	1.12890	1.12370	1.04370	1.07520	1.02700	1.10360	1.14680	1.25440	1.15280	1.24940	1.24330	1.18040	1.15510	1.19510	1.21090	1.20030	1.09090
