

Software Version	3.09.07



Experiment File Path:	C:\Users\Public\Documents\Experiments\Doran\e0049.2.xpt
Protocol File Path:	C:\Users\Public\Documents\Experiments\Doran\96well-48hr-orbital.prt



Plate Number	Plate 1
Date	10/3/2023
Time	11:39:48 AM
Reader Type:	Epoch 2
Reader Serial Number:	2003031F
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE (Use plate lid)
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
	Preheat before moving to next step
Start Kinetic	Runtime 48:00:00 (HH:MM:SS), Interval 0:15:00, 193 Reads
    Shake	Orbital: Continuous
	Frequency: 282 cpm (3 mm)
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	

600

Time	T° 600	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:14:16	37.0	0.57070	0.55540	0.55770	0.53450	0.55430	0.56390	0.57420	0.54260	0.54040	0.55370	0.53620	0.52660	0.55510	0.57550	0.59010	0.58430	0.59300	0.59160	0.56690	0.56500	0.56790	0.55990	0.58340	0.56680	0.55810	0.56460	0.57950	0.58810	0.58580	0.58430	0.58920	0.58330	0.55920	0.56780	0.57460	0.54620	0.56380	0.56050	0.56060	0.55050	0.55260	0.57860	0.55500	0.56310	0.54120	0.56100	0.54920	0.56590	0.56510	0.55900	0.56870	0.56380	0.56150	0.55850	0.55530	0.56240	0.55450	0.61690	0.83330	0.59020	0.57810	0.57120	0.54980	0.56320	0.55200	0.57070	0.55860	0.55020	0.54190	0.55930	0.55470	0.55810	0.56030	0.55710	0.56070	0.55780	0.56500	0.57780	0.57060	0.55780	0.55400	0.54310	0.55500	0.56620	0.54090	0.55340	0.55890	0.56870	0.56270	0.56050	0.55700	0.54790	0.55560	0.56290	0.61470	0.56290
0:29:16	37.0	0.56490	0.56010	0.56720	0.54570	0.57050	0.58310	0.59300	0.55270	0.55390	0.56320	0.54100	0.54050	0.56870	0.57840	0.58300	0.58300	0.60640	0.59400	0.57350	0.56100	0.57010	0.57610	0.59030	0.57490	0.55460	0.57230	0.59500	0.58740	0.58230	0.58170	0.59140	0.58880	0.56480	0.57610	0.58070	0.55380	0.56510	0.56500	0.57090	0.56260	0.54020	0.58000	0.55550	0.54060	0.53990	0.56480	0.55900	0.57480	0.56570	0.55970	0.57390	0.55940	0.56000	0.55900	0.55700	0.55430	0.55870	0.62370	0.85910	0.60800	0.55930	0.57900	0.55800	0.57450	0.55750	0.56880	0.55970	0.55660	0.54760	0.55890	0.55520	0.55370	0.55060	0.55480	0.57420	0.55560	0.56350	0.57690	0.57150	0.55530	0.55120	0.54260	0.55330	0.56790	0.54470	0.55020	0.55950	0.56450	0.55660	0.55350	0.55820	0.55870	0.54030	0.55840	0.61660	0.56220
0:44:16	37.0	0.58010	0.55350	0.56660	0.53980	0.56910	0.58210	0.59490	0.55350	0.55550	0.56700	0.55500	0.54220	0.57730	0.57610	0.58810	0.58180	0.60550	0.59510	0.57410	0.55960	0.56830	0.56190	0.59030	0.57430	0.55630	0.58200	0.58370	0.59530	0.59730	0.60220	0.60280	0.57780	0.56000	0.57230	0.59400	0.55520	0.56220	0.56210	0.56880	0.55250	0.54990	0.57080	0.55180	0.55500	0.55040	0.56430	0.56400	0.58070	0.56440	0.57370	0.57710	0.56000	0.56200	0.54960	0.54720	0.54490	0.55920	0.64270	0.90320	0.60950	0.57040	0.58440	0.55450	0.57070	0.56130	0.57130	0.55510	0.55800	0.54860	0.56870	0.57230	0.57280	0.55260	0.55720	0.56590	0.55900	0.56990	0.57860	0.57540	0.55950	0.54990	0.54420	0.56780	0.58830	0.53940	0.55080	0.55420	0.55090	0.55930	0.54250	0.56190	0.55930	0.54520	0.57590	0.62670	0.58280
0:59:16	37.0	0.57990	0.55790	0.56880	0.53370	0.57510	0.58610	0.59190	0.54380	0.55660	0.56300	0.54410	0.55100	0.58200	0.58210	0.58970	0.58480	0.61300	0.60220	0.57450	0.56490	0.57920	0.56670	0.57970	0.56610	0.55930	0.57890	0.58570	0.58870	0.59820	0.60290	0.59190	0.57920	0.56740	0.56680	0.59100	0.55380	0.56210	0.56360	0.57340	0.55540	0.55420	0.57740	0.55640	0.55950	0.55270	0.56160	0.55470	0.57780	0.56170	0.57120	0.57800	0.56020	0.56160	0.55190	0.55240	0.55080	0.55620	0.65690	0.94150	0.62620	0.56920	0.57810	0.55950	0.57250	0.56150	0.56900	0.55930	0.54110	0.54860	0.56150	0.56700	0.56170	0.56670	0.56350	0.57810	0.56330	0.58070	0.59120	0.58200	0.56300	0.55630	0.54170	0.57960	0.59580	0.53960	0.54630	0.55930	0.55720	0.55840	0.55160	0.54760	0.55590	0.54480	0.56750	0.62840	0.57770
1:14:16	37.0	0.58470	0.56120	0.57120	0.53790	0.58390	0.60560	0.60600	0.54860	0.55110	0.57440	0.57000	0.54200	0.58380	0.58400	0.59610	0.58150	0.62010	0.60500	0.58000	0.56290	0.57390	0.56510	0.58770	0.57370	0.55810	0.57790	0.58780	0.58690	0.60720	0.61050	0.60620	0.57720	0.56440	0.56360	0.60710	0.54860	0.56940	0.57280	0.57340	0.56480	0.55740	0.56690	0.56190	0.55490	0.55330	0.56300	0.55820	0.57520	0.57160	0.56900	0.57340	0.55950	0.55670	0.54960	0.54990	0.55000	0.56410	0.67940	1.00450	0.63200	0.58390	0.58270	0.55700	0.57460	0.56800	0.57460	0.55600	0.54860	0.55370	0.56730	0.57560	0.57000	0.56530	0.55850	0.57050	0.56430	0.58330	0.59240	0.58610	0.56650	0.55960	0.54030	0.58240	0.59600	0.54250	0.55220	0.55280	0.56070	0.56220	0.55610	0.55310	0.54990	0.54590	0.57490	0.63350	0.59210
1:29:16	37.0	0.58790	0.57120	0.58150	0.53560	0.60330	0.62260	0.62530	0.55390	0.56250	0.59860	0.55840	0.54920	0.58130	0.58160	0.60630	0.58360	0.63320	0.61670	0.58810	0.56170	0.57460	0.56790	0.59090	0.57130	0.56280	0.58910	0.60360	0.58870	0.61480	0.63020	0.60880	0.58590	0.57410	0.58340	0.62480	0.54620	0.55890	0.57410	0.57780	0.55440	0.56310	0.58280	0.55030	0.55240	0.56340	0.58950	0.57080	0.58310	0.56690	0.56940	0.57630	0.56310	0.57800	0.55550	0.55190	0.54610	0.57790	0.70390	1.06360	0.65920	0.57910	0.58810	0.56130	0.58260	0.57190	0.58330	0.56950	0.55450	0.55780	0.57430	0.58150	0.57220	0.55860	0.55940	0.57740	0.56370	0.58150	0.59030	0.59710	0.56960	0.56630	0.54870	0.59980	0.61910	0.54920	0.56470	0.56360	0.56000	0.57500	0.55720	0.56780	0.56480	0.54710	0.57360	0.64490	0.60060
1:44:16	37.1	0.59360	0.57600	0.58910	0.53470	0.62270	0.64770	0.65030	0.55230	0.56040	0.61950	0.57440	0.55150	0.58390	0.58830	0.61590	0.58070	0.65260	0.63000	0.58960	0.56440	0.58150	0.58360	0.59540	0.58040	0.56640	0.59310	0.60420	0.58880	0.61810	0.64000	0.62920	0.57890	0.59700	0.58340	0.64090	0.55230	0.55930	0.57280	0.58790	0.56210	0.56590	0.59280	0.55700	0.56020	0.56350	0.57760	0.56490	0.58630	0.56660	0.57270	0.57940	0.55820	0.57570	0.55740	0.55670	0.55010	0.58760	0.75340	1.13970	0.67860	0.57230	0.58510	0.56450	0.58830	0.57460	0.58810	0.56740	0.55270	0.56240	0.58160	0.60400	0.58260	0.56240	0.55830	0.59000	0.56540	0.59090	0.59750	0.60770	0.56870	0.57490	0.55220	0.62200	0.63710	0.54630	0.55580	0.56920	0.56330	0.57330	0.56570	0.56560	0.56770	0.55630	0.58550	0.66340	0.62070
1:59:16	37.1	0.58630	0.59560	0.59880	0.53140	0.65100	0.67440	0.71270	0.56220	0.56530	0.63800	0.59670	0.54720	0.58480	0.59490	0.61140	0.58510	0.67390	0.64770	0.59720	0.57010	0.59790	0.58700	0.61440	0.59560	0.57710	0.59210	0.63040	0.59090	0.63270	0.65660	0.64120	0.58200	0.62110	0.59430	0.66130	0.55520	0.56020	0.57730	0.59390	0.55370	0.58170	0.62910	0.56430	0.56300	0.56070	0.57880	0.56700	0.59350	0.57070	0.57250	0.58650	0.56360	0.58450	0.57230	0.56210	0.55200	0.60530	0.80550	1.19680	0.71920	0.57600	0.58400	0.57310	0.60330	0.59040	0.60230	0.57240	0.55110	0.57360	0.58070	0.61580	0.57570	0.56020	0.55380	0.59250	0.56230	0.59480	0.61750	0.63170	0.56700	0.58380	0.55190	0.64980	0.64690	0.55320	0.55970	0.57340	0.55710	0.59390	0.57100	0.56700	0.56610	0.55030	0.57390	0.69130	0.66110
2:14:16	37.1	0.65590	0.68670	0.68950	0.55650	0.74650	0.73100	0.77080	0.56550	0.58580	0.70460	0.62560	0.62300	0.65490	0.60520	0.62250	0.58780	0.71500	0.67320	0.60710	0.56780	0.61840	0.62860	0.63020	0.62040	0.57830	0.59980	0.68520	0.59240	0.67160	0.70460	0.70460	0.58460	0.68870	0.63480	0.75310	0.55620	0.56440	0.58940	0.61710	0.56070	0.59690	0.67260	0.56610	0.57540	0.59520	0.62180	0.58190	0.61740	0.59070	0.57790	0.59490	0.56280	0.60890	0.62160	0.58860	0.56390	0.63510	0.91210	1.29350	0.79280	0.58750	0.65000	0.63210	0.64890	0.61680	0.64060	0.58740	0.55920	0.61410	0.66880	0.62630	0.64450	0.57580	0.59040	0.66850	0.56950	0.63700	0.65650	0.70270	0.57450	0.62560	0.61030	0.72680	0.72500	0.55910	0.57760	0.61690	0.56970	0.61540	0.60030	0.58820	0.58880	0.57900	0.60650	0.74860	0.72150
2:29:16	37.1	0.67710	0.74910	0.70440	0.57530	0.80120	0.83810	0.84240	0.58680	0.63070	0.72510	0.76230	0.61190	0.68390	0.72780	0.66640	0.59830	0.81430	0.73410	0.72380	0.61000	0.63790	0.64460	0.67750	0.59010	0.59670	0.65020	0.68130	0.62480	0.69350	0.69230	0.75770	0.61940	0.71950	0.65800	0.79130	0.57410	0.56530	0.62110	0.63720	0.55530	0.63830	0.65840	0.59340	0.60150	0.63070	0.64100	0.60490	0.77120	0.63960	0.59800	0.61030	0.57030	0.66410	0.62630	0.64030	0.63480	0.65850	0.95940	1.32840	0.90020	0.62050	0.59230	0.67840	0.67390	0.63860	0.68420	0.61910	0.59480	0.63420	0.68350	0.65200	0.61400	0.62270	0.61590	0.66840	0.55700	0.61710	0.69700	0.72250	0.62010	0.65750	0.61580	0.75430	0.77360	0.63600	0.61300	0.62800	0.61470	0.71230	0.61730	0.65770	0.57810	0.58310	0.63710	0.78170	0.71980
