

Software Version	3.09.07



Experiment File Path:	C:\Users\Public\Documents\Experiments\Doran\e0050.A4.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\DG-37C-48Hr-orbital-continuous.prt



Plate Number	Plate 1
Date	10/11/2023
Time	12:08:52 PM
Reader Type:	Epoch 2
Reader Serial Number:	20022826
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE (Use plate lid)
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
	Preheat before moving to next step
Start Kinetic	Runtime 48:00:00 (HH:MM:SS), Interval 0:15:00, 193 Reads
    Shake	Orbital: Continuous
	Frequency: 282 cpm (3 mm)
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	

600

Time	T° 600	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:14:16	36.9	0.66080	0.65050	0.64290	0.62860	0.63940	0.62980	0.63780	0.61250	0.62810	0.64900	0.64980	0.70640	0.65660	0.64830	0.65490	0.63560	0.67370	0.67050	0.68030	0.63420	0.63320	0.66300	0.67390	0.65610	0.67410	0.66630	0.67580	0.65080	0.71620	0.72910	0.68190	0.64450	0.62850	0.64150	0.66050	0.65010	0.68670	0.67760	0.75820	0.65770	0.70150	0.69630	0.70580	0.63490	0.65510	0.64430	0.67150	0.69270	0.65580	0.66060	0.68380	0.65410	0.66140	0.70550	0.68820	0.63500	0.64140	0.68420	0.67650	0.65790	0.66560	0.64690	0.66390	0.66070	0.67410	0.67910	0.72920	0.67920	0.64070	0.70380	0.69330	0.67780	0.67950	0.66570	0.71040	0.66670	0.75370	0.80370	0.68350	0.63820	0.64190	0.71490	0.66310	0.64330	0.66730	0.67800	0.69330	0.64230	0.70100	0.69230	0.70190	0.65200	0.65670	0.68510	0.70280	0.67580
0:29:16	37.0	0.67050	0.66360	0.65210	0.63780	0.64960	0.64340	0.65410	0.62500	0.64400	0.66190	0.65960	0.72760	0.65960	0.65470	0.66040	0.63910	0.68490	0.68280	0.69970	0.64300	0.63520	0.66980	0.65830	0.65470	0.67840	0.67240	0.68260	0.65780	0.72770	0.74440	0.69600	0.64690	0.62870	0.64820	0.66910	0.65560	0.69620	0.69270	0.77330	0.66080	0.70640	0.71210	0.71740	0.63950	0.65820	0.64670	0.67350	0.68960	0.66080	0.66320	0.68820	0.65690	0.66460	0.71060	0.70840	0.63590	0.64120	0.69000	0.68980	0.66390	0.66580	0.65480	0.66950	0.65890	0.68020	0.68270	0.74110	0.67680	0.64440	0.70910	0.70230	0.68800	0.68560	0.67270	0.71460	0.67190	0.76780	0.82090	0.68770	0.64630	0.64370	0.72090	0.66850	0.64990	0.67360	0.68290	0.70550	0.64070	0.70710	0.70050	0.70650	0.65350	0.65430	0.68800	0.71250	0.68080
0:44:16	37.0	0.65930	0.65850	0.65110	0.63520	0.65720	0.64830	0.66120	0.62400	0.63630	0.65800	0.66850	0.71970	0.66300	0.65620	0.67180	0.64470	0.69610	0.69230	0.70330	0.64010	0.63780	0.67940	0.67100	0.65050	0.67930	0.67260	0.68570	0.65500	0.74600	0.76090	0.70710	0.63680	0.62590	0.65500	0.67500	0.65690	0.71170	0.69540	0.78310	0.65880	0.72070	0.72570	0.73130	0.63810	0.65050	0.64770	0.68120	0.70910	0.66400	0.66270	0.68440	0.65620	0.66840	0.72750	0.70940	0.62780	0.63410	0.69920	0.69510	0.66870	0.67140	0.66040	0.67340	0.65850	0.68600	0.69010	0.75340	0.67500	0.64150	0.72130	0.71070	0.69660	0.68780	0.67930	0.72650	0.67220	0.79170	0.86040	0.69680	0.63890	0.64200	0.73310	0.67490	0.65210	0.67810	0.69540	0.72100	0.64200	0.72340	0.71400	0.71760	0.65500	0.65360	0.69680	0.72030	0.69560
0:59:16	37.0	0.66620	0.65860	0.64750	0.63000	0.65830	0.64320	0.66190	0.62030	0.63720	0.67680	0.68230	0.74730	0.66830	0.65610	0.67790	0.64500	0.73020	0.71900	0.72500	0.63900	0.63530	0.69080	0.66910	0.65760	0.68620	0.67700	0.69270	0.65100	0.77690	0.78440	0.72920	0.64290	0.62610	0.65790	0.68440	0.66520	0.72140	0.70430	0.81750	0.65880	0.74270	0.75340	0.75340	0.64460	0.65030	0.65410	0.69060	0.71220	0.67060	0.66730	0.68570	0.65430	0.67520	0.74140	0.72630	0.62820	0.63940	0.71530	0.70590	0.67580	0.67520	0.65910	0.67960	0.66470	0.69180	0.69950	0.77700	0.67620	0.64650	0.73460	0.71900	0.70390	0.69550	0.69180	0.74080	0.67680	0.81780	0.89470	0.70710	0.64200	0.64580	0.75150	0.67930	0.66470	0.67950	0.70500	0.73490	0.65190	0.74580	0.72610	0.73410	0.65320	0.65530	0.70230	0.73070	0.70130
1:14:16	37.0	0.66680	0.65830	0.65260	0.63490	0.66420	0.66000	0.68060	0.61680	0.63340	0.69280	0.69490	0.75600	0.67060	0.65770	0.68720	0.64650	0.75130	0.73910	0.75910	0.64000	0.63910	0.70650	0.68360	0.66740	0.69250	0.68800	0.70220	0.64840	0.80150	0.83390	0.76170	0.64060	0.63040	0.67350	0.70400	0.67760	0.75410	0.71780	0.83510	0.65680	0.76250	0.78030	0.78070	0.64220	0.65120	0.67360	0.70270	0.72300	0.66920	0.66610	0.69010	0.65710	0.68350	0.76560	0.75220	0.62850	0.63690	0.73440	0.71650	0.67990	0.67370	0.65750	0.69110	0.66070	0.70130	0.71150	0.80120	0.67940	0.64480	0.77180	0.73440	0.73660	0.70270	0.69920	0.76100	0.67110	0.85450	0.93630	0.72400	0.64320	0.64580	0.77100	0.68890	0.67520	0.68680	0.71680	0.75750	0.64550	0.76530	0.75030	0.75120	0.65360	0.66380	0.70860	0.75380	0.71680
1:29:16	37.0	0.66860	0.65750	0.64960	0.63460	0.72040	0.68550	0.69320	0.63360	0.64220	0.77820	0.76050	0.81640	0.68420	0.67080	0.70820	0.64380	0.80130	0.81930	0.82080	0.64180	0.64120	0.72830	0.70370	0.70690	0.70790	0.69820	0.72150	0.66850	0.88390	0.87650	0.81520	0.64740	0.63360	0.68910	0.73380	0.70680	0.75910	0.73900	0.86920	0.66420	0.82800	0.87370	0.83960	0.66390	0.65870	0.69320	0.75120	0.74840	0.67070	0.66920	0.69970	0.65480	0.74180	0.80460	0.81670	0.62650	0.64260	0.77990	0.73820	0.69920	0.69040	0.67460	0.71710	0.66500	0.73040	0.73540	0.84120	0.67890	0.64670	0.80230	0.75800	0.77380	0.71740	0.71870	0.79220	0.67870	0.89750	0.99390	0.74520	0.65130	0.65970	0.81910	0.70600	0.69580	0.73490	0.73900	0.82290	0.64870	0.81620	0.80120	0.78910	0.66490	0.65930	0.72710	0.76740	0.75240
1:44:16	37.1	0.69540	0.66930	0.65660	0.66110	0.73810	0.72230	0.75200	0.64490	0.64590	0.82430	0.82620	0.81290	0.70480	0.70450	0.73560	0.65040	0.89010	0.92500	0.87960	0.65300	0.65470	0.74160	0.72770	0.68970	0.76010	0.70370	0.76600	0.72090	0.93310	0.97410	0.91200	0.64950	0.64420	0.73120	0.73540	0.69780	0.80400	0.78050	0.92790	0.68420	0.92960	0.94210	0.92240	0.63960	0.66440	0.74730	0.73160	0.77910	0.74380	0.75700	0.69290	0.65720	0.79360	0.86900	0.87560	0.69440	0.65950	0.86550	0.77000	0.70270	0.73600	0.70420	0.72830	0.69470	0.76510	0.84750	0.90740	0.75330	0.65550	0.87040	0.84890	0.84540	0.73370	0.73700	0.85570	0.68440	0.94020	1.07250	0.82370	0.71450	0.70070	0.85740	0.73930	0.79530	0.81890	0.84640	0.87410	0.68060	0.85630	0.90560	0.82180	0.66970	0.70850	0.79450	0.78710	0.82890
1:59:16	37.1	0.70400	0.70050	0.66270	0.69310	0.84990	0.78080	0.79550	0.69000	0.69260	0.85710	0.87750	0.91290	0.68870	0.68600	0.81790	0.69420	1.00190	0.98930	0.93610	0.69000	0.66170	0.80610	0.76000	0.79750	0.76220	0.73750	0.84430	0.63890	1.02270	1.04510	0.97330	0.68930	0.69810	0.82000	0.85300	0.72410	0.86470	0.79800	1.02010	0.65640	0.96260	0.98180	0.99290	0.71940	0.71460	0.80320	0.78560	0.89860	0.66930	0.68590	0.74370	0.65250	0.79130	0.96060	0.90180	0.67600	0.69040	0.92600	0.91810	0.79460	0.71850	0.66670	0.83900	0.70970	0.80350	0.90490	1.01570	0.71050	0.71040	0.87380	0.91500	0.83280	0.77690	0.79540	0.93710	0.70110	1.01550	1.12440	0.80510	0.64680	0.73700	0.96380	0.77550	0.79780	0.81560	0.90480	0.98420	0.65070	0.90510	0.91570	0.87350	0.68760	0.75950	0.76870	0.80790	0.82960
2:14:16	37.1	0.75450	0.70350	0.68800	0.64670	0.87370	0.78640	0.85580	0.72590	0.68190	0.89620	0.97060	0.99110	0.71520	0.75120	0.89600	0.64240	1.09170	1.15180	1.06620	0.71260	0.63770	0.95250	0.81940	0.81080	0.82490	0.88380	0.88110	0.68220	1.13010	1.20240	0.99130	0.65290	0.61940	0.81020	0.92540	0.79970	1.01390	0.83970	1.15230	0.64820	1.02330	1.10330	1.09600	0.64000	0.73820	0.76840	0.87680	0.88680	0.67340	0.70930	0.73650	0.67090	0.83600	1.06180	1.02030	0.62310	0.68760	1.11530	1.02170	0.90710	0.73320	0.74350	0.82890	0.68590	0.87470	0.84760	1.11410	0.82130	0.68020	0.93710	0.91410	0.97740	0.85680	0.89290	0.97110	0.64700	1.09190	1.19900	0.86370	0.71420	0.74680	0.99670	0.88500	0.82420	0.88080	0.93830	1.08730	0.65440	0.95890	0.92780	0.98740	0.66800	0.74180	0.87790	0.86370	0.92030
2:29:16	37.1	0.72490	0.71420	0.70200	0.65050	0.99650	0.84370	0.91920	0.86030	0.68470	0.95880	1.03460	1.06220	0.76300	0.74240	0.94370	0.64010	1.20970	1.20090	1.14190	0.73330	0.66960	1.01740	0.92540	0.83860	0.88340	0.89360	0.98250	0.70640	1.26400	1.25590	1.17960	0.70100	0.65980	0.90630	1.03690	0.94100	1.05780	0.92600	1.23300	0.72420	1.10560	1.25430	1.19390	0.71580	0.69680	0.83460	1.03300	0.91240	0.73030	0.77670	0.75250	0.67390	0.90640	1.18940	1.17470	0.70000	0.72630	1.15180	1.04760	1.00790	0.77760	0.76320	0.91120	0.70880	0.95600	0.92670	1.20410	0.80780	0.74280	1.08670	0.99880	1.04920	0.95020	0.93970	1.06020	0.69770	1.17770	1.32510	0.99380	0.70640	0.70500	1.12620	0.93160	0.84650	1.01980	1.02550	1.12660	0.64820	1.07330	1.10480	1.07770	0.66880	0.72590	1.01530	0.91260	0.99970
