

Software Version	3.09.07



Experiment File Path:	C:\Users\Public\Documents\Experiments\Doran\e0050.B4.xpt
Protocol File Path:	C:\Users\Public\Documents\Experiments\Doran\96well-48hr-orbital.prt



Plate Number	Plate 1
Date	10/11/2023
Time	12:09:58 PM
Reader Type:	Epoch 2
Reader Serial Number:	200304C
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE (Use plate lid)
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
	Preheat before moving to next step
Start Kinetic	Runtime 48:00:00 (HH:MM:SS), Interval 0:15:00, 193 Reads
    Shake	Orbital: Continuous
	Frequency: 282 cpm (3 mm)
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	

600

Time	T° 600	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:14:14	37.0	0.67370	0.64190	0.66150	0.62930	0.63760	0.65560	0.67000	0.66380	0.60980	0.61100	0.61270	0.58790	0.63740	0.62710	0.64190	0.63090	0.65090	0.64440	0.64040	0.61330	0.61420	0.61210	0.62420	0.62050	0.63300	0.66430	0.65500	0.63180	0.69650	0.69190	0.64690	0.64790	0.62700	0.63210	0.62570	0.62670	0.63750	0.65530	0.65590	0.63980	0.66780	0.65750	0.65270	0.62950	0.63640	0.63420	0.62580	0.63170	0.65530	0.65840	0.68310	0.62430	0.66910	0.67740	0.66430	0.65560	0.63270	0.63570	0.65200	0.61260	0.66710	0.65640	0.67270	0.65260	0.73440	0.69150	0.67740	0.66510	0.66100	0.66120	0.64160	0.66230	0.64920	0.64760	0.64610	0.63880	0.66210	0.65810	0.65110	0.63530	0.61750	0.63650	0.61310	0.60710	0.63150	0.64530	0.64850	0.62830	0.64730	0.64470	0.64020	0.63370	0.63180	0.63460	0.65710	0.60490
0:29:16	37.0	0.68710	0.64950	0.66680	0.63270	0.64720	0.65910	0.67360	0.66430	0.61000	0.61070	0.61080	0.59360	0.64570	0.62720	0.64670	0.63130	0.65760	0.64560	0.64450	0.61360	0.61810	0.60720	0.62550	0.61820	0.64190	0.66980	0.66380	0.63310	0.70470	0.69620	0.65810	0.64130	0.62650	0.62890	0.62720	0.62670	0.64010	0.65690	0.66160	0.63730	0.67160	0.65420	0.65680	0.62980	0.63530	0.63600	0.62530	0.63330	0.65290	0.66180	0.68360	0.62370	0.66900	0.68550	0.66870	0.65710	0.62860	0.63880	0.65010	0.61190	0.67060	0.65700	0.67360	0.65160	0.73480	0.69520	0.67880	0.66320	0.65120	0.65230	0.63850	0.66340	0.65290	0.64730	0.65240	0.63830	0.66540	0.66120	0.66000	0.63530	0.62110	0.64180	0.61400	0.60510	0.63260	0.65510	0.65170	0.62720	0.65150	0.65150	0.64830	0.63020	0.63030	0.63460	0.66570	0.60230
0:44:16	37.0	0.69780	0.65210	0.66950	0.63300	0.64420	0.66070	0.67620	0.66760	0.60840	0.60710	0.61370	0.59120	0.64510	0.63610	0.65360	0.63090	0.66260	0.64990	0.65180	0.61510	0.61630	0.61470	0.62650	0.61710	0.64550	0.68270	0.66220	0.62640	0.71100	0.70810	0.66560	0.63890	0.61800	0.63420	0.63180	0.62530	0.64690	0.66400	0.66250	0.63780	0.67840	0.66140	0.65780	0.62820	0.63330	0.64150	0.63030	0.63810	0.66120	0.66540	0.69530	0.62820	0.68050	0.69170	0.68130	0.65480	0.63100	0.64330	0.65570	0.61520	0.67210	0.66120	0.68400	0.65340	0.74760	0.69820	0.69300	0.66650	0.66140	0.65610	0.64430	0.66950	0.65660	0.65430	0.66030	0.63910	0.67350	0.66960	0.66550	0.64060	0.61910	0.64000	0.61640	0.61040	0.63550	0.66640	0.66080	0.63060	0.66360	0.66180	0.65540	0.63230	0.63230	0.64150	0.68070	0.61010
0:59:16	37.0	0.70600	0.66180	0.67530	0.63570	0.64540	0.66240	0.68290	0.66660	0.60730	0.61540	0.61820	0.59630	0.64460	0.63590	0.65710	0.63730	0.67910	0.66130	0.66240	0.62080	0.61690	0.62020	0.63250	0.61570	0.64420	0.68260	0.66800	0.63630	0.73650	0.71850	0.67560	0.64200	0.62280	0.64000	0.63570	0.63590	0.64070	0.66460	0.66570	0.64240	0.68800	0.66680	0.66660	0.63150	0.63470	0.64960	0.63790	0.64540	0.66420	0.66720	0.69910	0.62960	0.68990	0.70060	0.68950	0.65700	0.63490	0.65290	0.66480	0.62490	0.68680	0.66570	0.69330	0.65360	0.75480	0.71080	0.69960	0.66720	0.66130	0.66600	0.64970	0.68480	0.66100	0.66100	0.66920	0.64380	0.68660	0.69430	0.67430	0.63800	0.62250	0.64850	0.62220	0.61640	0.63940	0.66180	0.66740	0.62720	0.66270	0.66210	0.65840	0.63460	0.63360	0.65360	0.69610	0.61720
1:14:16	37.0	0.72210	0.67780	0.69700	0.64690	0.65340	0.67700	0.70260	0.66640	0.61040	0.62940	0.63210	0.60740	0.64860	0.63680	0.66760	0.63250	0.69160	0.67590	0.67580	0.61730	0.61930	0.62340	0.63910	0.62960	0.65220	0.68580	0.68550	0.64590	0.74860	0.73470	0.69170	0.64350	0.62780	0.64540	0.64530	0.63620	0.65430	0.67420	0.69040	0.64150	0.69710	0.68450	0.67880	0.63040	0.63900	0.66120	0.64250	0.65080	0.66310	0.66920	0.71400	0.62860	0.70310	0.71830	0.69960	0.65600	0.63310	0.65780	0.67420	0.63350	0.67730	0.66740	0.70580	0.66090	0.76660	0.71990	0.72940	0.67060	0.65810	0.67200	0.65240	0.70110	0.66680	0.66900	0.68810	0.64530	0.69830	0.69900	0.69120	0.64220	0.62160	0.65290	0.62480	0.62100	0.64550	0.67310	0.67850	0.63050	0.67800	0.68450	0.67440	0.63740	0.63500	0.67000	0.71770	0.62600
1:29:16	37.0	0.75860	0.69640	0.71460	0.64080	0.65320	0.68290	0.72620	0.67160	0.61730	0.63780	0.65430	0.64020	0.65810	0.64620	0.67660	0.63250	0.71020	0.69410	0.69490	0.61790	0.61790	0.63890	0.64880	0.63140	0.66370	0.69920	0.70500	0.63820	0.77770	0.76970	0.70380	0.64390	0.62630	0.66000	0.66080	0.64200	0.65390	0.67820	0.68710	0.64490	0.71440	0.69700	0.69700	0.63110	0.63840	0.67860	0.65500	0.66240	0.66790	0.68200	0.73490	0.63420	0.72860	0.74070	0.72530	0.65890	0.63110	0.67490	0.68190	0.64590	0.68960	0.67790	0.72060	0.65860	0.78790	0.74190	0.72590	0.67150	0.66090	0.68230	0.66370	0.73030	0.67450	0.68020	0.70870	0.64540	0.71630	0.72390	0.72880	0.64170	0.62600	0.65820	0.62990	0.62610	0.64610	0.67400	0.69440	0.63540	0.69120	0.70010	0.69010	0.63320	0.63340	0.70490	0.76590	0.63350
1:44:16	37.1	0.80880	0.72720	0.75630	0.64410	0.65910	0.70850	0.76480	0.66900	0.61390	0.66960	0.68780	0.63710	0.65210	0.64400	0.69000	0.63060	0.73460	0.72150	0.71950	0.60620	0.62650	0.62960	0.68780	0.65590	0.66940	0.70220	0.71240	0.62880	0.82480	0.79070	0.75650	0.65180	0.62480	0.67890	0.72050	0.66470	0.65470	0.71420	0.72380	0.64230	0.74460	0.78200	0.72240	0.65020	0.64240	0.70090	0.66590	0.66610	0.67770	0.68080	0.75140	0.63270	0.76320	0.77160	0.75330	0.66040	0.63380	0.70560	0.74890	0.69380	0.68840	0.69430	0.77710	0.65120	0.82650	0.79990	0.76120	0.68040	0.65360	0.72540	0.71220	0.80480	0.70540	0.70190	0.74610	0.64400	0.77130	0.81630	0.76650	0.64460	0.64140	0.69240	0.63450	0.66830	0.63830	0.69430	0.74720	0.63640	0.72010	0.75490	0.72990	0.64050	0.65230	0.72400	0.82870	0.72430
1:59:16	37.0	0.85580	0.76670	0.77730	0.63430	0.67540	0.79240	0.84580	0.70220	0.63560	0.76930	0.82030	0.71060	0.69450	0.68340	0.76390	0.65870	0.79740	0.78150	0.77000	0.64350	0.63890	0.66950	0.72400	0.63680	0.73510	0.74990	0.86800	0.63410	0.86860	0.85990	0.82460	0.65680	0.63440	0.75450	0.78600	0.73160	0.66450	0.79070	0.86860	0.65360	0.80370	0.81520	0.79250	0.65250	0.67000	0.81630	0.79070	0.78430	0.68660	0.79440	0.92200	0.64470	0.79830	0.81550	0.80740	0.67840	0.63680	0.79900	0.77030	0.75010	0.79500	0.77040	0.85870	0.69680	0.94890	0.88260	0.78470	0.70260	0.65650	0.72780	0.74980	0.89620	0.80370	0.79970	0.89270	0.65560	0.83390	0.80620	0.88370	0.71060	0.71840	0.79780	0.71190	0.71240	0.69420	0.75000	0.88720	0.71230	0.84870	0.83400	0.87950	0.71360	0.70940	0.85330	0.88410	0.74120
2:14:16	37.1	1.04460	0.82990	0.89570	0.62520	0.70230	0.84400	0.94890	0.72410	0.65180	0.79650	0.81410	0.77170	0.72320	0.70950	0.77970	0.65520	0.90700	0.84040	0.86130	0.67750	0.66740	0.69080	0.74490	0.72060	0.77550	0.79450	0.84650	0.72540	0.93750	0.93530	0.87900	0.69670	0.68740	0.77330	0.80790	0.79280	0.69400	0.85620	0.90780	0.65850	0.85210	0.84320	0.82650	0.71250	0.67320	0.79730	0.74780	0.72580	0.69020	0.76310	0.90890	0.67570	0.88850	0.86830	0.85220	0.69240	0.68170	0.78170	0.80010	0.76520	0.80240	0.78320	0.80690	0.66010	0.88280	0.90450	0.86690	0.72870	0.73030	0.81490	0.76510	0.94650	0.75410	0.78190	0.83620	0.72510	0.83370	0.82100	0.81200	0.69900	0.66340	0.83010	0.72400	0.73450	0.79550	0.86570	0.92190	0.67880	0.88040	0.80520	0.76580	0.70750	0.70510	0.85180	0.97790	0.79300
2:29:16	37.1	1.11550	0.88060	1.02710	0.71480	0.76000	0.96740	1.06780	0.71910	0.78900	0.89720	0.83250	0.82620	0.78610	0.68770	0.84700	0.71180	1.01070	0.86470	0.93430	0.72960	0.69850	0.76800	0.79860	0.77000	0.89890	0.87830	1.01070	0.63720	0.99080	0.97670	0.90170	0.70490	0.66900	0.78620	0.82520	0.77130	0.75830	0.89020	1.07580	0.68700	0.89810	0.94900	0.90600	0.71620	0.64710	0.85680	0.84540	0.77730	0.71460	0.80980	0.97250	0.74740	0.90100	0.93730	0.94740	0.65690	0.68730	0.80440	0.86810	0.78980	0.72240	0.81330	1.00460	0.73580	0.98880	0.91680	0.94040	0.72190	0.72350	0.81240	0.86650	1.00590	0.73810	0.83110	0.92740	0.72340	0.92730	1.00810	0.88730	0.71580	0.70050	0.78580	0.72420	0.82130	0.78520	0.86970	0.99450	0.73540	0.98240	0.88010	0.91960	0.67500	0.70780	0.94300	1.01500	0.87090
