Time	T° 600	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:14:16	37.0	0.61480	0.60980	0.59560	0.61020	0.59950	0.60990	0.61150	0.60330	0.59920	0.59990	0.60090	0.60380	0.62650	0.61910	0.61420	0.62360	0.63300	0.62650	0.67900	0.61570	0.61670	0.62580	0.62320	0.62400	0.60250	0.62400	0.64770	0.62890	0.63350	0.63050	0.61620	0.63670	0.62700	0.63230	0.59640	0.60710	0.61210	0.64040	0.63190	0.63790	0.64330	0.65800	0.63410	0.64870	0.63920	0.62950	0.63920	0.62460	0.61610	0.63810	0.64150	0.63880	0.64110	0.63040	0.64920	0.64370	0.63700	0.61880	0.62730	0.60850	0.60580	0.61080	0.63250	0.63390	0.64010	0.62760	0.63460	0.62260	0.62480	0.62330	0.61060	0.61810	0.61840	0.59780	0.61740	0.62140	0.61660	0.60490	0.62830	0.61750	0.61680	0.61790	0.60740	0.62480	0.60000	0.62200	0.60900	0.61190	0.61100	0.60490	0.61680	0.61500	0.60360	0.61480	0.62090	0.61680
0:29:16	37.0	0.61890	0.60990	0.59820	0.61650	0.59980	0.60930	0.60720	0.60120	0.59960	0.59600	0.59820	0.60660	0.62650	0.61710	0.61370	0.62350	0.63330	0.63050	0.67370	0.61160	0.61920	0.62380	0.62380	0.63060	0.61090	0.63120	0.65060	0.62900	0.63470	0.63120	0.62180	0.63770	0.63370	0.63750	0.60410	0.61070	0.61860	0.64260	0.63320	0.64300	0.64140	0.66340	0.63800	0.65020	0.64810	0.63080	0.64310	0.63110	0.62610	0.64930	0.64370	0.65100	0.64720	0.64350	0.65220	0.65100	0.64020	0.62970	0.63070	0.61660	0.61180	0.61910	0.63810	0.64630	0.64680	0.63990	0.63490	0.63010	0.63260	0.63210	0.62000	0.62850	0.62450	0.60180	0.62570	0.63280	0.62270	0.61750	0.63970	0.63030	0.62160	0.62840	0.61200	0.63700	0.60450	0.62750	0.61690	0.62230	0.61080	0.60250	0.61230	0.62190	0.60510	0.62140	0.62270	0.62400
0:44:16	37.1	0.62800	0.61840	0.60160	0.61860	0.60660	0.61460	0.61080	0.60580	0.60420	0.60190	0.60040	0.61150	0.63850	0.62140	0.62170	0.62720	0.63270	0.63080	0.67560	0.61610	0.62100	0.62550	0.62440	0.62710	0.61400	0.63560	0.65350	0.62980	0.63340	0.63200	0.62020	0.64400	0.63400	0.63400	0.60740	0.60820	0.61680	0.64320	0.63610	0.64600	0.64690	0.66980	0.64440	0.64860	0.64960	0.63460	0.65030	0.63550	0.63520	0.65170	0.64340	0.65190	0.65210	0.64240	0.64980	0.65490	0.64300	0.62940	0.63350	0.61980	0.61990	0.62740	0.64400	0.64350	0.64500	0.63990	0.63690	0.63160	0.63700	0.63980	0.61860	0.62870	0.63530	0.61040	0.62910	0.63650	0.63050	0.62210	0.63910	0.63200	0.62950	0.63050	0.62030	0.64350	0.61690	0.64000	0.62720	0.62820	0.61630	0.60310	0.61520	0.62650	0.61370	0.62650	0.62330	0.63140
0:59:16	37.1	0.63120	0.61470	0.60060	0.62220	0.60700	0.61630	0.61240	0.60700	0.60630	0.60440	0.60170	0.60850	0.64120	0.62440	0.62200	0.62580	0.63430	0.63310	0.67840	0.62030	0.62210	0.62770	0.62300	0.63370	0.61270	0.64590	0.65690	0.62810	0.63260	0.63020	0.61070	0.64700	0.63600	0.64960	0.60530	0.61870	0.62060	0.64600	0.63870	0.64630	0.64440	0.66880	0.64050	0.64970	0.64510	0.63790	0.65290	0.63890	0.63880	0.65860	0.64700	0.65770	0.64680	0.65090	0.65220	0.65510	0.63740	0.63230	0.64280	0.62360	0.61650	0.62250	0.64510	0.64850	0.65230	0.64340	0.63830	0.62950	0.64050	0.64100	0.62410	0.62670	0.63600	0.61110	0.63090	0.64220	0.62810	0.62330	0.64690	0.63860	0.62990	0.63740	0.62290	0.64430	0.61580	0.63440	0.61910	0.62850	0.61850	0.60780	0.61780	0.63130	0.61610	0.63250	0.62550	0.63040
1:14:16	37.1	0.62780	0.62240	0.60680	0.62580	0.60610	0.61760	0.61920	0.61150	0.60460	0.60870	0.60180	0.60420	0.63790	0.62940	0.62230	0.62980	0.63400	0.63100	0.68330	0.62220	0.61790	0.62850	0.63080	0.63350	0.61950	0.65020	0.68340	0.64270	0.63910	0.63590	0.62280	0.66530	0.64140	0.66070	0.61110	0.62600	0.62240	0.65540	0.64070	0.65330	0.64330	0.67400	0.65000	0.65970	0.65400	0.64130	0.64680	0.64200	0.67440	0.65910	0.66200	0.67060	0.65770	0.65240	0.65770	0.66080	0.63900	0.63780	0.64120	0.62850	0.63590	0.63010	0.64120	0.65670	0.65370	0.65220	0.63350	0.63290	0.65290	0.63590	0.62300	0.61930	0.63670	0.61170	0.63020	0.63370	0.62100	0.62190	0.64790	0.63510	0.63200	0.64350	0.63210	0.63070	0.62050	0.64070	0.61680	0.63170	0.61960	0.60870	0.61480	0.62490	0.60790	0.63560	0.63880	0.62680
1:29:16	37.1	0.70450	0.64680	0.59450	0.65980	0.63990	0.61590	0.61060	0.63010	0.61380	0.61770	0.62440	0.66890	0.66060	0.63700	0.63610	0.64710	0.64780	0.63180	0.69070	0.61130	0.62140	0.63170	0.63120	0.67240	0.68030	0.72850	0.70030	0.67700	0.63770	0.62700	0.63100	0.68460	0.65160	0.67360	0.60520	0.63880	0.63700	0.65900	0.62810	0.65430	0.63410	0.67560	0.64270	0.66850	0.64420	0.66280	0.66700	0.62280	0.68400	0.67550	0.63890	0.66240	0.63650	0.64060	0.66430	0.65970	0.65840	0.64980	0.64050	0.62730	0.67980	0.64750	0.66570	0.66440	0.68600	0.67200	0.63740	0.67440	0.65210	0.66600	0.64990	0.63690	0.65920	0.60790	0.67540	0.64400	0.64320	0.69950	0.67980	0.65290	0.63750	0.66710	0.65010	0.65020	0.64400	0.62800	0.61330	0.62670	0.61540	0.60300	0.66700	0.66250	0.66630	0.64840	0.64960	0.64160
1:44:16	37.1	0.68880	0.66420	0.66910	0.68870	0.61780	0.68100	0.64190	0.67290	0.61190	0.64660	0.69710	0.64390	0.64160	0.65170	0.70660	0.66380	0.65470	0.67150	0.73510	0.64380	0.63170	0.67210	0.64030	0.65900	0.69930	0.73740	0.74380	0.71120	0.71260	0.71890	0.64020	0.74800	0.71210	0.74330	0.63170	0.69490	0.63880	0.69560	0.66750	0.69330	0.71590	0.84340	0.69080	0.74790	0.70020	0.67670	0.67080	0.67440	0.62270	0.76190	0.68900	0.82690	0.69750	0.68680	0.74780	0.70080	0.68060	0.65060	0.69220	0.64530	0.65920	0.68000	0.67980	0.72580	0.71290	0.77900	0.63230	0.69050	0.71940	0.74320	0.64960	0.69800	0.75840	0.66080	0.65260	0.68510	0.71940	0.70840	0.66840	0.72380	0.64190	0.67310	0.68440	0.62580	0.59390	0.64980	0.68970	0.73520	0.69630	0.66060	0.68010	0.67350	0.66700	0.65090	0.67890	0.69360
1:59:16	37.1	0.68020	0.67800	0.63590	0.59090	0.69070	0.66050	0.74900	0.73880	0.69410	0.72350	0.67390	0.60020	0.69690	0.70990	0.76630	0.65410	0.77180	0.69740	0.72660	0.72800	0.73710	0.69550	0.72010	0.69900	0.68180	0.80330	0.78630	0.76770	0.78120	0.70420	0.67420	0.84080	0.79760	0.81950	0.62790	0.72110	0.69550	0.76920	0.67230	0.77700	0.68450	0.87400	0.77430	0.81030	0.76300	0.74470	0.71110	0.74110	0.71950	0.73500	0.80280	0.91370	0.66940	0.85220	0.70680	0.79690	0.70450	0.75700	0.76150	0.68870	0.75450	0.75600	0.78710	0.76040	0.74750	0.73440	0.66320	0.77520	0.69320	0.70800	0.69880	0.72460	0.78130	0.68380	0.63300	0.72380	0.71990	0.66720	0.66670	0.69750	0.62540	0.71310	0.71050	0.71410	0.65100	0.69070	0.74890	0.65380	0.76670	0.68220	0.73120	0.64920	0.68990	0.67350	0.73040	0.71790
2:14:16	37.1	0.69000	0.66730	0.61010	0.73130	0.69070	0.69880	0.65430	0.75870	0.67960	0.70960	0.70770	0.56970	0.80110	0.77990	0.74610	0.71480	0.82490	0.69110	0.86640	0.67960	0.74770	0.70100	0.75500	0.72650	0.69450	0.90080	0.80100	0.82120	0.77300	0.80100	0.78820	0.84390	0.80500	0.91310	0.75330	0.80140	0.70690	0.78200	0.69080	0.86350	0.70120	0.90360	0.96060	0.90910	0.77850	0.78330	0.69610	0.75420	0.69870	0.78790	0.80990	0.88040	0.76350	0.96770	0.77980	0.85430	0.67700	0.83730	0.81830	0.75450	0.79780	0.75780	0.71670	0.84780	0.77350	0.83740	0.81200	0.78800	0.81900	0.72790	0.77590	0.72870	0.80740	0.71340	0.71410	0.65910	0.73600	0.70480	0.65960	0.72810	0.66690	0.75530	0.70510	0.77730	0.66260	0.67740	0.76810	0.66020	0.83810	0.69940	0.71970	0.74470	0.74910	0.70990	0.61060	0.76250
2:29:16	37.1	0.66620	0.66810	0.59480	0.68260	0.78110	0.67690	0.76210	0.66060	0.71430	0.66010	0.58860	0.40670	0.76460	0.78850	0.65490	0.73990	0.75790	0.69030	0.68990	0.69640	0.73750	0.69220	0.73630	0.70300	0.77530	1.01070	0.83770	0.89760	0.84270	0.84240	0.73200	0.94820	0.84960	0.99600	0.69530	0.78780	0.77030	0.86380	0.71010	0.84270	0.74890	0.97750	0.96330	0.78170	0.74120	0.90000	0.70960	0.70160	0.69060	0.79920	0.72090	0.78590	0.72080	0.89350	0.76370	0.78480	0.70300	0.85410	0.81090	0.74540	0.77640	0.75920	0.68140	0.84180	0.82650	0.86770	0.81890	0.79550	0.70270	0.83700	0.75140	0.72780	0.79960	0.68630	0.64520	0.67280	0.63660	0.75950	0.75810	0.75780	0.72020	0.79200	0.70210	0.81950	0.77520	0.71380	0.74640	0.70920	0.77150	0.76600	0.79060	0.81580	0.75420	0.76850	0.59990	0.64330
2:44:16	37.1	0.68360	0.78580	0.69780	0.67100	0.71530	0.73840	0.64990	0.69170	0.66920	0.57030	0.71410	0.42380	0.77630	0.74050	0.66450	0.84700	0.81060	0.75740	0.67970	0.67100	0.70230	0.66900	0.61300	0.68900	0.74300	1.11510	0.87170	0.91250	0.86330	0.89360	0.79650	0.99510	0.91830	1.03730	0.73420	0.80300	0.77020	0.90030	0.75540	0.89450	0.76290	1.01520	0.76470	0.87690	0.80340	0.98360	0.75140	0.69610	0.72990	0.88040	0.72720	0.93170	0.75990	0.98310	0.81620	0.83650	0.71560	0.90340	0.82260	0.76820	0.77250	0.74740	0.70560	0.84890	0.86410	0.93920	0.75580	0.82970	0.78600	0.88310	0.78990	0.69390	0.76740	0.70470	0.72850	0.67530	0.61230	0.77040	0.74190	0.77350	0.74640	0.82330	0.69960	0.83130	0.79300	0.73310	0.70630	0.67310	0.72810	0.82440	0.77220	0.79670	0.70540	0.75530	0.64110	0.66020
2:59:16	37.1	0.74640	0.79710	0.67980	0.69790	0.69350	0.65680	0.66960	0.74010	0.61470	0.58620	0.66140	0.49410	0.81690	0.76650	0.73220	0.84880	0.80360	0.76020	0.80630	0.70590	0.73220	0.90850	0.66560	0.65970	0.79940	1.16970	0.88210	0.87330	0.90370	0.94390	0.80810	1.04320	0.96460	1.14980	0.73900	0.79620	0.78130	0.94910	0.78440	0.91080	0.76810	0.99630	0.73160	0.91520	0.83410	1.02630	0.79210	0.73410	0.71610	0.94200	0.75580	0.98290	0.79280	0.99760	0.85880	0.89420	0.77620	0.96890	0.81870	0.75830	0.75880	0.75520	0.73680	0.84650	0.86760	0.93730	0.75940	0.86980	0.69670	0.92390	0.83610	0.73980	0.79090	0.79690	0.77740	0.65430	0.63660	0.76630	0.70010	0.76660	0.68990	0.80200	0.72550	0.81320	0.71080	0.80710	0.67370	0.75460	0.75140	0.79720	0.81020	0.78460	0.68320	0.74060	0.65720	0.65460
3:14:16	37.1	0.74520	0.63430	0.69390	0.71160	0.74430	0.67860	0.60050	0.67700	0.75530	0.56200	0.66610	0.49300	0.83020	0.79020	0.67440	0.86330	0.63280	0.85470	0.74260	0.70580	0.74730	0.54300	0.70370	0.67170	0.82020	1.23270	0.89100	0.96540	0.94630	1.00900	0.82080	1.10230	1.01830	1.20060	0.76210	0.82270	0.74390	1.10060	0.83180	1.04740	0.77900	1.11760	0.75380	1.00950	0.87140	1.11120	0.79260	0.77930	0.78190	1.03090	0.79190	1.13940	0.84380	1.07720	0.93430	0.96670	0.86950	1.02910	0.89610	0.78170	0.78050	0.73440	0.78320	0.96620	0.87900	1.02860	0.83560	0.91300	0.75730	1.04410	0.85440	0.70960	0.80910	0.84820	0.74370	0.67960	0.61450	0.76670	0.70190	0.75790	0.74660	0.80450	0.69410	0.68520	0.62600	0.72950	0.69160	0.81300	0.77450	0.81270	0.78200	0.79770	0.77190	0.74410	0.68380	0.67010
