Time	T° 600	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:14:16	37.0	0.17730	0.14790	0.15300	0.13000	0.11960	0.11660	0.11160	0.10480	0.09370	0.09440	0.09640	0.09580	0.14150	0.13390	0.10580	0.09750	0.09590	0.09550	0.09740	0.09310	0.09320	0.09300	0.09410	0.09580	0.13470	0.10950	0.10680	0.10610	0.09870	0.10100	0.09620	0.09610	0.09490	0.09460	0.09440	0.09460	0.11620	0.09940	0.09620	0.09620	0.09530	0.09550	0.09360	0.09540	0.09450	0.09520	0.09360	0.09520	0.10130	0.09490	0.09400	0.09330	0.09520	0.09320	0.09270	0.09330	0.09290	0.09340	0.09410	0.09490	0.09570	0.09380	0.09450	0.09260	0.09270	0.09300	0.09350	0.09340	0.09340	0.09340	0.09420	0.09420	0.09380	0.09470	0.09490	0.09470	0.09320	0.09390	0.09450	0.09580	0.09500	0.09420	0.09520	0.09510	0.09550	0.09460	0.09360	0.09350	0.09370	0.09650	0.09640	0.09520	0.10920	0.09530	0.09450	0.09420
0:29:16	37.0	0.17520	0.14680	0.15250	0.13140	0.12020	0.11920	0.11200	0.10610	0.09400	0.09430	0.09640	0.09570	0.14200	0.13380	0.10750	0.09880	0.09570	0.09660	0.09820	0.09340	0.09310	0.09350	0.09460	0.09570	0.13430	0.10960	0.10790	0.10800	0.09980	0.10320	0.09610	0.09610	0.09500	0.09490	0.09500	0.09490	0.11730	0.09900	0.09630	0.09550	0.09590	0.09530	0.09440	0.09500	0.09430	0.09500	0.09340	0.09510	0.10160	0.09520	0.09440	0.09360	0.09520	0.09280	0.09320	0.09340	0.09330	0.09350	0.09410	0.09470	0.09580	0.09370	0.09390	0.09280	0.09340	0.09290	0.09360	0.09340	0.09340	0.09360	0.09390	0.09460	0.09360	0.09470	0.09410	0.09460	0.09290	0.09390	0.09460	0.09620	0.09490	0.09420	0.09510	0.09490	0.09560	0.09420	0.09360	0.09360	0.09360	0.09670	0.09620	0.09540	0.10940	0.09530	0.09460	0.09400
0:44:16	37.1	0.17440	0.14620	0.15340	0.13000	0.12110	0.11670	0.11430	0.10420	0.09360	0.09420	0.09630	0.09590	0.14150	0.13370	0.10810	0.09880	0.09620	0.09610	0.09850	0.09320	0.09320	0.09370	0.09410	0.09560	0.13390	0.11110	0.10900	0.10920	0.10110	0.10300	0.09850	0.09690	0.09560	0.09570	0.09470	0.09510	0.11640	0.09960	0.09680	0.09530	0.09550	0.09570	0.09450	0.09480	0.09410	0.09450	0.09330	0.09460	0.10120	0.09530	0.09440	0.09380	0.09560	0.09300	0.09270	0.09350	0.09320	0.09380	0.09400	0.09500	0.09580	0.09350	0.09400	0.09270	0.09290	0.09330	0.09350	0.09330	0.09320	0.09300	0.09350	0.09400	0.09350	0.09520	0.09400	0.09420	0.09330	0.09340	0.09470	0.09610	0.09480	0.09450	0.09500	0.09510	0.09580	0.09450	0.09380	0.09370	0.09400	0.09650	0.09600	0.09590	0.10910	0.09500	0.09480	0.09390
0:59:16	37.1	0.17430	0.14540	0.15280	0.13220	0.12120	0.12000	0.11170	0.10660	0.09350	0.09440	0.09640	0.09540	0.14180	0.13300	0.10820	0.09890	0.09620	0.09680	0.09770	0.09270	0.09300	0.09310	0.09380	0.09520	0.13380	0.11110	0.11020	0.11010	0.10180	0.10430	0.09860	0.09740	0.09640	0.09570	0.09600	0.09470	0.11760	0.09980	0.09620	0.09480	0.09550	0.09480	0.09360	0.09440	0.09380	0.09430	0.09270	0.09450	0.10200	0.09500	0.09450	0.09380	0.09510	0.09340	0.09280	0.09260	0.09270	0.09400	0.09380	0.09430	0.09600	0.09370	0.09350	0.09280	0.09290	0.09310	0.09340	0.09290	0.09340	0.09340	0.09410	0.09340	0.09330	0.09490	0.09400	0.09450	0.09290	0.09350	0.09480	0.09520	0.09460	0.09410	0.09460	0.09470	0.09550	0.09430	0.09400	0.09370	0.09360	0.09650	0.09610	0.09510	0.10950	0.09510	0.09410	0.09390
1:14:16	37.1	0.17420	0.14600	0.15220	0.13370	0.12050	0.11880	0.11050	0.10660	0.09410	0.09470	0.09680	0.09540	0.14220	0.13320	0.10950	0.10120	0.09680	0.09770	0.09930	0.09350	0.09380	0.09350	0.09400	0.09540	0.13430	0.11400	0.11150	0.11370	0.10320	0.10620	0.10130	0.10120	0.09830	0.09770	0.09700	0.09490	0.11810	0.09970	0.09660	0.09500	0.09590	0.09560	0.09420	0.09400	0.09400	0.09490	0.09320	0.09490	0.10300	0.09540	0.09510	0.09410	0.09630	0.09330	0.09300	0.09350	0.09330	0.09360	0.09420	0.09470	0.09680	0.09440	0.09440	0.09320	0.09310	0.09340	0.09420	0.09360	0.09400	0.09390	0.09410	0.09440	0.09420	0.09530	0.09410	0.09450	0.09330	0.09500	0.09500	0.09610	0.09520	0.09440	0.09570	0.09510	0.09540	0.09460	0.09390	0.09370	0.09440	0.09650	0.09670	0.09570	0.10910	0.09570	0.09470	0.09460
1:29:16	37.1	0.17060	0.14540	0.15170	0.13320	0.12120	0.11850	0.11300	0.10480	0.09370	0.09430	0.09640	0.09510	0.14110	0.13310	0.10940	0.10030	0.09680	0.09690	0.10030	0.09280	0.09280	0.09280	0.09380	0.09510	0.13360	0.11420	0.11090	0.11520	0.10500	0.10640	0.10300	0.10330	0.09910	0.09840	0.09840	0.09450	0.11600	0.10030	0.09590	0.09480	0.09520	0.09480	0.09370	0.09410	0.09380	0.09440	0.09340	0.09440	0.10230	0.09520	0.09440	0.09350	0.09500	0.09240	0.09300	0.09320	0.09280	0.09360	0.09350	0.09470	0.09570	0.09360	0.09380	0.09240	0.09290	0.09360	0.09300	0.09320	0.09330	0.09270	0.09430	0.09320	0.09350	0.09470	0.09340	0.09440	0.09260	0.09400	0.09410	0.09560	0.09460	0.09370	0.09510	0.09460	0.09540	0.09440	0.09340	0.09350	0.09340	0.09600	0.09610	0.09500	0.10900	0.09470	0.09440	0.09440
1:44:16	37.2	0.17180	0.14600	0.15180	0.13440	0.11990	0.11970	0.11150	0.10550	0.09420	0.09460	0.09690	0.09560	0.14180	0.13350	0.10960	0.10140	0.09730	0.09810	0.09890	0.09340	0.09350	0.09350	0.09410	0.09540	0.13340	0.11440	0.11290	0.11820	0.10560	0.10810	0.10430	0.10690	0.10170	0.10010	0.09980	0.09450	0.11760	0.10090	0.09690	0.09530	0.09600	0.09580	0.09430	0.09490	0.09410	0.09460	0.09320	0.09410	0.10320	0.09540	0.09520	0.09350	0.09620	0.09340	0.09360	0.09350	0.09300	0.09400	0.09460	0.09470	0.09750	0.09430	0.09400	0.09260	0.09340	0.09340	0.09390	0.09410	0.09390	0.09370	0.09440	0.09410	0.09460	0.09530	0.09420	0.09440	0.09330	0.09430	0.09480	0.09560	0.09460	0.09440	0.09540	0.09470	0.09600	0.09500	0.09420	0.09430	0.09450	0.09640	0.09620	0.09540	0.10920	0.09540	0.09450	0.09470
1:59:16	37.2	0.17200	0.14440	0.15180	0.13300	0.12260	0.11900	0.11490	0.10700	0.09450	0.09460	0.09650	0.09590	0.14180	0.13150	0.10980	0.10010	0.09720	0.09630	0.09980	0.09300	0.09320	0.09300	0.09390	0.09570	0.13370	0.11340	0.11590	0.11690	0.10700	0.10640	0.10620	0.10820	0.10400	0.10170	0.10120	0.09420	0.11730	0.10010	0.09630	0.09510	0.09550	0.09520	0.09380	0.09460	0.09400	0.09480	0.09350	0.09410	0.10280	0.09570	0.09510	0.09330	0.09600	0.09290	0.09270	0.09330	0.09370	0.09370	0.09380	0.09480	0.09670	0.09360	0.09390	0.09280	0.09300	0.09330	0.09340	0.09320	0.09350	0.09330	0.09350	0.09400	0.09490	0.09490	0.09390	0.09440	0.09330	0.09460	0.09450	0.09530	0.09460	0.09410	0.09500	0.09490	0.09590	0.09470	0.09340	0.09340	0.09430	0.09650	0.09670	0.09520	0.10910	0.09540	0.09450	0.09420
2:14:16	37.2	0.17040	0.14610	0.15130	0.13230	0.12180	0.11720	0.11220	0.10490	0.09400	0.09500	0.09680	0.09530	0.14080	0.13330	0.10880	0.10150	0.09740	0.09730	0.09850	0.09310	0.09350	0.09320	0.09420	0.09560	0.13410	0.11470	0.11530	0.12060	0.10870	0.10950	0.10670	0.11250	0.10770	0.10350	0.10170	0.09450	0.11760	0.10090	0.09640	0.09510	0.09560	0.09550	0.09390	0.09460	0.09390	0.09460	0.09380	0.09420	0.10280	0.09530	0.09540	0.09390	0.09600	0.09350	0.09330	0.09350	0.09320	0.09350	0.09410	0.09500	0.09700	0.09450	0.09430	0.09300	0.09330	0.09360	0.09350	0.09340	0.09380	0.09360	0.09360	0.09410	0.09470	0.09530	0.09460	0.09430	0.09320	0.09500	0.09440	0.09550	0.09510	0.09420	0.09520	0.09500	0.09660	0.09550	0.09420	0.09360	0.09410	0.09640	0.09640	0.09590	0.10870	0.09530	0.09460	0.09450
2:29:16	37.2	0.16920	0.14550	0.15090	0.13130	0.12080	0.11650	0.11110	0.10500	0.09360	0.09450	0.09670	0.09520	0.14080	0.13360	0.10880	0.10130	0.09720	0.09740	0.09940	0.09330	0.09320	0.09310	0.09400	0.09480	0.13220	0.11500	0.11880	0.12310	0.11220	0.11220	0.11080	0.11640	0.11110	0.10690	0.10330	0.09420	0.11730	0.10070	0.09610	0.09490	0.09580	0.09540	0.09400	0.09400	0.09350	0.09430	0.09310	0.09440	0.10270	0.09520	0.09530	0.09330	0.09590	0.09310	0.09290	0.09350	0.09280	0.09390	0.09380	0.09420	0.09700	0.09410	0.09370	0.09230	0.09300	0.09310	0.09380	0.09340	0.09360	0.09340	0.09360	0.09360	0.09430	0.09540	0.09360	0.09410	0.09280	0.09490	0.09440	0.09530	0.09480	0.09470	0.09500	0.09480	0.09650	0.09580	0.09360	0.09360	0.09380	0.09560	0.09610	0.09490	0.10830	0.09490	0.09420	0.09400
