inoculationReplicate	passage	ratio	label	group	mixtureType	combo	line	sample
1	3	1:1	XBA-1:1-XBB	mixture	actual	XBA-XBB	actual-1	actual-1_XBA-1:1-XBB_3
1	3	1:10	XBA-1:10-XBB	mixture	actual	XBA-XBB	actual-1	actual-1_XBA-1:10-XBB_3
1	3	1:100	XBA-1:100-XBB	mixture	actual	XBA-XBB	actual-1	actual-1_XBA-1:100-XBB_3
1	3	1:1000	XBA-1:1000-XBB	mixture	actual	XBA-XBB	actual-1	actual-1_XBA-1:1000-XBB_3
1	3	10:1	XBA-10:1-XBB	mixture	actual	XBA-XBB	actual-1	actual-1_XBA-10:1-XBB_3
1	3	100:1	XBA-100:1-XBB	mixture	actual	XBA-XBB	actual-1	actual-1_XBA-100:1-XBB_3
1	3	1000:1	XBA-1000:1-XBB	mixture	actual	XBA-XBB	actual-1	actual-1_XBA-1000:1-XBB_3
2	3	1:1	XBA-1:1-XBB	mixture	actual	XBA-XBB	actual-2	actual-2_XBA-1:1-XBB_3
2	3	1:10	XBA-1:10-XBB	mixture	actual	XBA-XBB	actual-2	actual-2_XBA-1:10-XBB_3
2	3	1:100	XBA-1:100-XBB	mixture	actual	XBA-XBB	actual-2	actual-2_XBA-1:100-XBB_3
2	3	1:1000	XBA-1:1000-XBB	mixture	actual	XBA-XBB	actual-2	actual-2_XBA-1:1000-XBB_3
2	3	10:1	XBA-10:1-XBB	mixture	actual	XBA-XBB	actual-2	actual-2_XBA-10:1-XBB_3
2	3	100:1	XBA-100:1-XBB	mixture	actual	XBA-XBB	actual-2	actual-2_XBA-100:1-XBB_3
2	3	1000:1	XBA-1000:1-XBB	mixture	actual	XBA-XBB	actual-2	actual-2_XBA-1000:1-XBB_3
3	3	1:1	XBA-1:1-XBB	mixture	actual	XBA-XBB	actual-3	actual-3_XBA-1:1-XBB_3
3	3	1:10	XBA-1:10-XBB	mixture	actual	XBA-XBB	actual-3	actual-3_XBA-1:10-XBB_3
3	3	1:100	XBA-1:100-XBB	mixture	actual	XBA-XBB	actual-3	actual-3_XBA-1:100-XBB_3
3	3	1:1000	XBA-1:1000-XBB	mixture	actual	XBA-XBB	actual-3	actual-3_XBA-1:1000-XBB_3
3	3	10:1	XBA-10:1-XBB	mixture	actual	XBA-XBB	actual-3	actual-3_XBA-10:1-XBB_3
3	3	100:1	XBA-100:1-XBB	mixture	actual	XBA-XBB	actual-3	actual-3_XBA-100:1-XBB_3
3	3	1000:1	XBA-1000:1-XBB	mixture	actual	XBA-XBB	actual-3	actual-3_XBA-1000:1-XBB_3
1	3	0:1	XBA-0:1-XBB	control	theoretical	XBA-XBB	theoretical-1	theoretical-1_XBA-0:1-XBB_3
1	3	1:0	XBA-1:0-XBB	control	theoretical	XBA-XBB	theoretical-1	theoretical-1_XBA-1:0-XBB_3
1	3	1:1	XBA-1:1-XBB	mixture	theoretical	XBA-XBB	theoretical-1	theoretical-1_XBA-1:1-XBB_3
1	3	1:10	XBA-1:10-XBB	mixture	theoretical	XBA-XBB	theoretical-1	theoretical-1_XBA-1:10-XBB_3
1	3	1:100	XBA-1:100-XBB	mixture	theoretical	XBA-XBB	theoretical-1	theoretical-1_XBA-1:100-XBB_3
1	3	1:1000	XBA-1:1000-XBB	mixture	theoretical	XBA-XBB	theoretical-1	theoretical-1_XBA-1:1000-XBB_3
1	3	10:1	XBA-10:1-XBB	mixture	theoretical	XBA-XBB	theoretical-1	theoretical-1_XBA-10:1-XBB_3
1	3	100:1	XBA-100:1-XBB	mixture	theoretical	XBA-XBB	theoretical-1	theoretical-1_XBA-100:1-XBB_3
1	3	1000:1	XBA-1000:1-XBB	mixture	theoretical	XBA-XBB	theoretical-1	theoretical-1_XBA-1000:1-XBB_3
2	3	0:1	XBA-0:1-XBB	control	theoretical	XBA-XBB	theoretical-2	theoretical-2_XBA-0:1-XBB_3
2	3	1:0	XBA-1:0-XBB	control	theoretical	XBA-XBB	theoretical-2	theoretical-2_XBA-1:0-XBB_3
2	3	1:1	XBA-1:1-XBB	mixture	theoretical	XBA-XBB	theoretical-2	theoretical-2_XBA-1:1-XBB_3
2	3	1:10	XBA-1:10-XBB	mixture	theoretical	XBA-XBB	theoretical-2	theoretical-2_XBA-1:10-XBB_3
2	3	1:100	XBA-1:100-XBB	mixture	theoretical	XBA-XBB	theoretical-2	theoretical-2_XBA-1:100-XBB_3
2	3	1:1000	XBA-1:1000-XBB	mixture	theoretical	XBA-XBB	theoretical-2	theoretical-2_XBA-1:1000-XBB_3
2	3	10:1	XBA-10:1-XBB	mixture	theoretical	XBA-XBB	theoretical-2	theoretical-2_XBA-10:1-XBB_3
2	3	100:1	XBA-100:1-XBB	mixture	theoretical	XBA-XBB	theoretical-2	theoretical-2_XBA-100:1-XBB_3
2	3	1000:1	XBA-1000:1-XBB	mixture	theoretical	XBA-XBB	theoretical-2	theoretical-2_XBA-1000:1-XBB_3
1	5	1:1	XBA-1:1-XBB	mixture	actual	XBA-XBB	actual-1	actual-1_XBA-1:1-XBB_5
