sample	filename	IlluminaIndex	plate	round2index	round1index	well	experiment	group	passage	mixture	biosample1	biosample2	biosample3	replicate	abxConcentration	household2	household3
e0026-A-0-A1	16S-B-A1-L3	16S-B-A1	e0026.A.0	B	3	A1	e0026	e0026-e0029-e0030	0	NA	XAA-002	NA	NA	1	NA	NA	NA
e0026-A-0-B1	16S-B-B1-L3	16S-B-B1	e0026.A.0	B	3	B1	e0026	e0026-e0029-e0030	0	NA	XAA-029	NA	NA	1	NA	NA	NA
e0026-A-0-C1	16S-B-C1-L3	16S-B-C1	e0026.A.0	B	3	C1	e0026	e0026-e0029-e0030	0	NA	XAA-036	NA	NA	1	NA	NA	NA
e0026-A-0-D1	16S-B-D1-L3	16S-B-D1	e0026.A.0	B	3	D1	e0026	e0026-e0029-e0030	0	NA	XAA-064	NA	NA	1	NA	NA	NA
e0026-A-0-E1	16S-B-E1-L3	16S-B-E1	e0026.A.0	B	3	E1	e0026	e0026-e0029-e0030	0	NA	XAC-002	NA	NA	1	NA	NA	NA
e0026-A-0-F1	16S-B-F1-L3	16S-B-F1	e0026.A.0	B	3	F1	e0026	e0026-e0029-e0030	0	NA	XAC-029	NA	NA	1	NA	NA	NA
e0026-A-0-G1	16S-B-G1-L3	16S-B-G1	e0026.A.0	B	3	G1	e0026	e0026-e0029-e0030	0	NA	XAC-036	NA	NA	1	NA	NA	NA
e0026-A-0-H1	16S-B-H1-L3	16S-B-H1	e0026.A.0	B	3	H1	e0026	e0026-e0029-e0030	0	NA	XAC-064	NA	NA	1	NA	NA	NA
e0026-A-0-A2	16S-B-A2-L3	16S-B-A2	e0026.A.0	B	3	A2	e0026	e0026-e0029-e0030	0	NA	XAD-002	NA	NA	1	NA	NA	NA
e0026-A-0-B2	16S-B-B2-L3	16S-B-B2	e0026.A.0	B	3	B2	e0026	e0026-e0029-e0030	0	NA	XAD-029	NA	NA	1	NA	NA	NA
e0026-A-0-C2	16S-B-C2-L3	16S-B-C2	e0026.A.0	B	3	C2	e0026	e0026-e0029-e0030	0	NA	XAD-036	NA	NA	1	NA	NA	NA
e0026-A-0-D2	16S-B-D2-L3	16S-B-D2	e0026.A.0	B	3	D2	e0026	e0026-e0029-e0030	0	NA	XAD-063	NA	NA	1	NA	NA	NA
e0026-A-0-E2	16S-B-E2-L3	16S-B-E2	e0026.A.0	B	3	E2	e0026	e0026-e0029-e0030	0	NA	XBA-022	NA	NA	1	NA	NA	NA
e0026-A-0-F2	16S-B-F2-L3	16S-B-F2	e0026.A.0	B	3	F2	e0026	e0026-e0029-e0030	0	NA	XBA-029	NA	NA	1	NA	NA	NA
e0026-A-0-G2	16S-B-G2-L3	16S-B-G2	e0026.A.0	B	3	G2	e0026	e0026-e0029-e0030	0	NA	XBA-036	NA	NA	1	NA	NA	NA
e0026-A-0-H2	16S-B-H2-L3	16S-B-H2	e0026.A.0	B	3	H2	e0026	e0026-e0029-e0030	0	NA	XBA-064	NA	NA	1	NA	NA	NA
e0026-A-0-A3	16S-B-A3-L3	16S-B-A3	e0026.A.0	B	3	A3	e0026	e0026-e0029-e0030	0	NA	XBB-022	NA	NA	1	NA	NA	NA
e0026-A-0-B3	16S-B-B3-L3	16S-B-B3	e0026.A.0	B	3	B3	e0026	e0026-e0029-e0030	0	NA	XBB-029	NA	NA	1	NA	NA	NA
e0026-A-0-C3	16S-B-C3-L3	16S-B-C3	e0026.A.0	B	3	C3	e0026	e0026-e0029-e0030	0	NA	XBB-036	NA	NA	1	NA	NA	NA
e0026-A-0-D3	16S-B-D3-L3	16S-B-D3	e0026.A.0	B	3	D3	e0026	e0026-e0029-e0030	0	NA	XBB-064	NA	NA	1	NA	NA	NA
e0026-A-0-E3	16S-B-E3-L3	16S-B-E3	e0026.A.0	B	3	E3	e0026	e0026-e0029-e0030	0	NA	XCA-001	NA	NA	1	NA	NA	NA
e0026-A-0-F3	16S-B-F3-L3	16S-B-F3	e0026.A.0	B	3	F3	e0026	e0026-e0029-e0030	0	NA	XCA-028	NA	NA	1	NA	NA	NA
e0026-A-0-G3	16S-B-G3-L3	16S-B-G3	e0026.A.0	B	3	G3	e0026	e0026-e0029-e0030	0	NA	XCA-036	NA	NA	1	NA	NA	NA
e0026-A-0-H3	16S-B-H3-L3	16S-B-H3	e0026.A.0	B	3	H3	e0026	e0026-e0029-e0030	0	NA	XCA-064	NA	NA	1	NA	NA	NA
e0026-A-0-A4	16S-B-A4-L3	16S-B-A4	e0026.A.0	B	3	A4	e0026	e0026-e0029-e0030	0	NA	XCB-001	NA	NA	1	NA	NA	NA
e0026-A-0-B4	16S-B-B4-L3	16S-B-B4	e0026.A.0	B	3	B4	e0026	e0026-e0029-e0030	0	NA	XCB-029	NA	NA	1	NA	NA	NA
e0026-A-0-C4	16S-B-C4-L3	16S-B-C4	e0026.A.0	B	3	C4	e0026	e0026-e0029-e0030	0	NA	XCB-036	NA	NA	1	NA	NA	NA
e0026-A-0-D4	16S-B-D4-L3	16S-B-D4	e0026.A.0	B	3	D4	e0026	e0026-e0029-e0030	0	NA	XCB-064	NA	NA	1	NA	NA	NA
e0026-A-0-E4	16S-B-E4-L3	16S-B-E4	e0026.A.0	B	3	E4	e0026	e0026-e0029-e0030	0	NA	XDA-001	NA	NA	1	NA	NA	NA
e0026-A-0-F4	16S-B-F4-L3	16S-B-F4	e0026.A.0	B	3	F4	e0026	e0026-e0029-e0030	0	NA	XDA-029	NA	NA	1	NA	NA	NA
e0026-A-0-G4	16S-B-G4-L3	16S-B-G4	e0026.A.0	B	3	G4	e0026	e0026-e0029-e0030	0	NA	XDA-036	NA	NA	1	NA	NA	NA
e0026-A-0-H4	16S-B-H4-L3	16S-B-H4	e0026.A.0	B	3	H4	e0026	e0026-e0029-e0030	0	NA	XDA-064	NA	NA	1	NA	NA	NA
e0026-A-0-A5	16S-B-A5-L3	16S-B-A5	e0026.A.0	B	3	A5	e0026	e0026-e0029-e0030	0	NA	XDB-001	NA	NA	1	NA	NA	NA
e0026-A-0-B5	16S-B-B5-L3	16S-B-B5	e0026.A.0	B	3	B5	e0026	e0026-e0029-e0030	0	NA	XDB-029	NA	NA	1	NA	NA	NA
e0026-A-0-C5	16S-B-C5-L3	16S-B-C5	e0026.A.0	B	3	C5	e0026	e0026-e0029-e0030	0	NA	XDB-036	NA	NA	1	NA	NA	NA
