"Bacteria;Proteobacteria"	"Bacteria;Bacteroidota"	"Bacteria;Firmicutes"	"Bacteria;Desulfobacterota"	"Bacteria;Actinobacteriota"	"Bacteria;Verrucomicrobiota"	"Bacteria;Cyanobacteria"	"Bacteria;Planctomycetota"	"Bacteria;Fusobacteriota"
"16S-C-A1-L0_e0017-0-C-A1"	16	25	43	0	0	0	0	0	0
"16S-C-A1-L1_e0017-1-C-A1"	22586	55860	80026	27	73	0	0	0	0
"16S-C-A1-L2_e0017-2-C-A1"	47	65	107	0	3	0	0	0	0
"16S-C-A1-L3_e0017-3-C-A1"	0	0	5	0	0	0	0	0	0
"16S-C-A10-L0_e0017-0-C-A10"	26259	43397	52563	93	77	0	0	0	0
"16S-C-A10-L1_e0017-1-C-A10"	38249	43771	28771	21	54	0	0	0	0
"16S-C-A10-L2_e0017-2-C-A10"	12000	21617	30289	58	26	0	0	0	0
"16S-C-A10-L3_e0017-3-C-A10"	26789	37984	31082	27	38	0	0	0	0
"16S-C-A11-L0_e0017-0-C-A11"	17730	48666	55420	66	139	0	0	0	0
"16S-C-A11-L1_e0017-1-C-A11"	35856	38620	34773	38	54	0	0	0	0
"16S-C-A11-L2_e0017-2-C-A11"	19867	33552	29868	44	53	0	0	0	0
"16S-C-A11-L3_e0017-3-C-A11"	22448	33700	32078	18	19	0	0	0	0
"16S-C-A12-L0_e0017-0-C-A12"	4	0	0	0	0	0	0	0	0
"16S-C-A12-L1_e0017-1-C-A12"	2674	4370	4921	0	6	0	0	0	0
"16S-C-A12-L2_e0017-2-C-A12"	10	17	14	0	6	0	0	0	0
"16S-C-A12-L3_e0017-3-C-A12"	4	0	6	0	0	0	0	0	0
"16S-C-A2-L0_e0017-0-C-A2"	0	0	2	0	0	0	0	0	0
"16S-C-A2-L1_e0017-1-C-A2"	32014	60845	61693	179	149	0	0	0	0
"16S-C-A2-L2_e0017-2-C-A2"	22734	36018	30228	73	5	0	0	0	0
"16S-C-A2-L3_e0017-3-C-A2"	35276	45608	65694	130	11	0	0	0	0
"16S-C-A3-L0_e0017-0-C-A3"	40214	75700	95190	261	55	0	0	0	0
"16S-C-A3-L1_e0017-1-C-A3"	51961	74496	89361	175	148	0	0	0	0
"16S-C-A3-L2_e0017-2-C-A3"	20733	39402	71144	124	25	0	0	0	0
"16S-C-A3-L3_e0017-3-C-A3"	49990	56865	85857	146	27	0	0	0	0
"16S-C-A4-L0_e0017-0-C-A4"	19891	38452	50877	108	12	0	0	0	0
"16S-C-A4-L1_e0017-1-C-A4"	25778	39228	57930	141	96	0	0	0	0
"16S-C-A4-L2_e0017-2-C-A4"	10364	18942	31871	55	12	0	0	0	0
"16S-C-A4-L3_e0017-3-C-A4"	24884	34519	39958	103	31	0	0	0	0
"16S-C-A5-L0_e0017-0-C-A5"	12021	24912	31579	68	2	0	0	0	0
"16S-C-A5-L1_e0017-1-C-A5"	10382	17272	22540	39	21	0	0	0	0
"16S-C-A5-L2_e0017-2-C-A5"	6045	15183	19855	43	5	0	0	0	0
"16S-C-A5-L3_e0017-3-C-A5"	17173	21409	23185	61	24	0	0	0	0
"16S-C-A6-L0_e0017-0-C-A6"	34492	65658	93133	170	63	0	0	0	0
"16S-C-A6-L1_e0017-1-C-A6"	50081	61445	76189	153	57	0	0	0	0
"16S-C-A6-L2_e0017-2-C-A6"	18349	32351	43262	83	26	0	0	0	0
"16S-C-A6-L3_e0017-3-C-A6"	43496	56534	61204	165	32	0	0	0	0
"16S-C-A7-L0_e0017-0-C-A7"	29468	54341	66530	167	49	0	0	0	0
"16S-C-A7-L1_e0017-1-C-A7"	31134	47432	43752	80	59	0	0	0	0
"16S-C-A7-L2_e0017-2-C-A7"	22859	37749	45381	97	14	0	0	0	0
"16S-C-A7-L3_e0017-3-C-A7"	39799	60737	65829	155	91	0	0	0	0
"16S-C-A8-L0_e0017-0-C-A8"	31367	50767	68464	185	77	0	0	0	0
"16S-C-A8-L1_e0017-1-C-A8"	42190	46656	43681	100	89	0	0	0	0
"16S-C-A8-L2_e0017-2-C-A8"	21388	37150	41838	107	26	0	0	0	0
"16S-C-A8-L3_e0017-3-C-A8"	27841	43202	39648	42	38	0	0	0	0
"16S-C-A9-L0_e0017-0-C-A9"	24562	37671	49378	139	95	0	0	0	0
