"Bacteria;Proteobacteria;Gammaproteobacteria"	"Bacteria;Bacteroidota;Bacteroidia"	"Bacteria;Firmicutes;Clostridia"	"Bacteria;Firmicutes;Bacilli"	"Bacteria;Firmicutes;Negativicutes"	"Bacteria;Desulfobacterota;Desulfovibrionia"	"Bacteria;Actinobacteriota;Coriobacteriia"	"Bacteria;Actinobacteriota;Actinobacteria"	"Bacteria;Verrucomicrobiota;Verrucomicrobiae"	"Bacteria;Proteobacteria;Alphaproteobacteria"	"Bacteria;Cyanobacteria;Cyanobacteriia"	"Bacteria;Cyanobacteria;Vampirivibrionia"	"Bacteria;Actinobacteriota;Acidimicrobiia"	"Bacteria;Planctomycetota;Phycisphaerae"	"Bacteria;Fusobacteriota;Fusobacteriia"
"16S-C-A1-L0_e0017-0-C-A1"	16	25	0	29	14	0	0	0	0	0	0	0	0	0	0
"16S-C-A1-L1_e0017-1-C-A1"	22586	55860	49712	28043	2271	27	44	29	0	0	0	0	0	0	0
"16S-C-A1-L2_e0017-2-C-A1"	40	65	107	0	0	0	0	3	0	7	0	0	0	0	0
"16S-C-A1-L3_e0017-3-C-A1"	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A10-L0_e0017-0-C-A10"	26259	43397	29503	21118	1940	93	69	8	0	0	0	0	0	0	0
"16S-C-A10-L1_e0017-1-C-A10"	38249	43771	18143	9701	927	21	33	21	0	0	0	0	0	0	0
"16S-C-A10-L2_e0017-2-C-A10"	12000	21617	14064	15707	518	58	18	8	0	0	0	0	0	0	0
"16S-C-A10-L3_e0017-3-C-A10"	26789	37984	21946	8232	904	27	24	14	0	0	0	0	0	0	0
"16S-C-A11-L0_e0017-0-C-A11"	17730	48666	30961	22809	1650	66	121	18	0	0	0	0	0	0	0
"16S-C-A11-L1_e0017-1-C-A11"	35856	38620	19763	14331	679	38	43	11	0	0	0	0	0	0	0
"16S-C-A11-L2_e0017-2-C-A11"	19867	33552	18203	10752	913	44	53	0	0	0	0	0	0	0	0
"16S-C-A11-L3_e0017-3-C-A11"	22448	33700	20172	11303	601	18	19	0	0	0	0	0	0	0	0
"16S-C-A12-L0_e0017-0-C-A12"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A12-L1_e0017-1-C-A12"	2674	4370	3108	1758	55	0	6	0	0	0	0	0	0	0	0
"16S-C-A12-L2_e0017-2-C-A12"	8	17	6	8	0	0	0	6	0	2	0	0	0	0	0
"16S-C-A12-L3_e0017-3-C-A12"	4	0	0	6	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A2-L0_e0017-0-C-A2"	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A2-L1_e0017-1-C-A2"	32014	60845	34164	23454	4075	179	137	12	0	0	0	0	0	0	0
"16S-C-A2-L2_e0017-2-C-A2"	22734	36018	21281	7658	1289	73	5	0	0	0	0	0	0	0	0
"16S-C-A2-L3_e0017-3-C-A2"	35276	45608	29174	35535	983	130	7	4	0	0	0	0	0	0	0
"16S-C-A3-L0_e0017-0-C-A3"	40214	75700	53843	35295	6052	261	40	15	0	0	0	0	0	0	0
"16S-C-A3-L1_e0017-1-C-A3"	51961	74496	42735	42992	3634	175	126	22	0	0	0	0	0	0	0
"16S-C-A3-L2_e0017-2-C-A3"	20733	39402	28614	41498	1032	124	20	5	0	0	0	0	0	0	0
"16S-C-A3-L3_e0017-3-C-A3"	49990	56865	44676	39519	1662	146	20	7	0	0	0	0	0	0	0
"16S-C-A4-L0_e0017-0-C-A4"	19891	38452	28264	19292	3321	108	12	0	0	0	0	0	0	0	0
"16S-C-A4-L1_e0017-1-C-A4"	25778	39228	24442	29014	4474	141	76	20	0	0	0	0	0	0	0
"16S-C-A4-L2_e0017-2-C-A4"	10364	18942	13986	17290	591	55	12	0	0	0	0	0	0	0	0
"16S-C-A4-L3_e0017-3-C-A4"	24884	34519	23331	15741	886	103	26	5	0	0	0	0	0	0	0
"16S-C-A5-L0_e0017-0-C-A5"	12021	24912	18036	12138	1405	68	0	2	0	0	0	0	0	0	0
