"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales"	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales"	"Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales"	"Bacteria;Firmicutes;Clostridia;Lachnospirales"	"Bacteria;Firmicutes;Bacilli;Lactobacillales"	"Bacteria;Firmicutes;Bacilli;Erysipelotrichales"	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales"	"Bacteria;Firmicutes;Clostridia;Oscillospirales"	"Bacteria;Firmicutes;Negativicutes;Acidaminococcales"	"Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales"	"Bacteria;Firmicutes;Clostridia;Eubacteriales"	"Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales"	"Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales"	"Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales"	"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales"	"Bacteria;Firmicutes;Clostridia;Christensenellales"	"Bacteria;Firmicutes;Clostridia;Clostridiales"	"Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales"	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales"	"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales"	"Bacteria;Firmicutes;Bacilli;Bacillales"	"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast"	"Bacteria;Firmicutes;Bacilli;Staphylococcales"	"Bacteria;Firmicutes;Bacilli;Thermicanales"	"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales"	"Bacteria;Bacteroidota;Bacteroidia;Cytophagales"	"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales"	"Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales"	"Bacteria;Firmicutes;Bacilli;Thermoactinomycetales"	"Bacteria;Cyanobacteria;Vampirivibrionia;Obscuribacterales"	"Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales"	"Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales"	"Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales"	"Bacteria;Proteobacteria;Gammaproteobacteria;Run-SP154"	"Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales"	"Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales"
"16S-C-A1-L0_e0017-0-C-A1"	12	25	0	0	29	0	0	0	0	14	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A1-L1_e0017-1-C-A1"	21405	55857	16775	26085	16689	11354	1173	6547	1803	468	286	27	44	29	0	10	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A1-L2_e0017-2-C-A1"	36	65	11	89	0	0	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	7	0	0	0	0	0
"16S-C-A1-L3_e0017-3-C-A1"	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A10-L0_e0017-0-C-A10"	21175	43397	10521	10442	8698	12420	5084	8475	996	944	65	93	69	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A10-L1_e0017-1-C-A10"	38249	43771	5462	8578	6219	3482	0	4103	927	0	0	21	33	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A10-L2_e0017-2-C-A10"	4005	21617	2665	8553	13360	2347	7993	2719	518	0	125	58	18	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A10-L3_e0017-3-C-A10"	26789	37984	8317	9288	1155	7077	0	4341	904	0	0	27	24	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A11-L0_e0017-0-C-A11"	16480	48666	11178	12618	4337	18472	1248	7138	576	1074	27	66	121	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A11-L1_e0017-1-C-A11"	35856	38620	6224	7983	9723	4608	0	5556	679	0	0	38	43	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A11-L2_e0017-2-C-A11"	8146	33552	5573	9816	7451	3301	11721	2781	901	12	33	44	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
