family	code
Ruminococcaceae	Rumin
Lachnospiraceae	Lachn
Peptococcaceae	PeptC
Prevotellaceae	Prevo
Mitochondria	Mitoc
Butyricicoccaceae	Butyr
Erysipelotrichaceae	ErysT
Bifidobacteriaceae	Bifid
Muribaculaceae	Murib
Akkermansiaceae	Akker
Bacteroidaceae	Bacte
Ethanoligenenaceae	Ethan
Sutterellaceae	Sutte
Barnesiellaceae	Barne
Oscillospiraceae	Oscil
Streptococcaceae	Strep
Marinifilaceae	Marin
Hydrogenoanaerobacterium	Hydro
Actinomycetaceae	Actin
Veillonellaceae	Veill
Enterobacteriaceae	EnteB
[Eubacterium]_coprostanoligenes_group	Copro
Erysipelatoclostridiaceae	ErysC
Monoglobaceae	Monog
Acidaminococcaceae	Acida
Methanobacteriaceae	Metha
Eggerthellaceae	Egger
Family_XI	FamXI
Syntrophomonadaceae	Syntr
Pseudomonadaceae	Pseud
Moraxellaceae	Morax
Micrococcaceae	Micro
Xanthobacteraceae	Xanth
Rhizobiaceae	Rhizo
Puniceicoccaceae	Punic
Rikenellaceae	Riken
Porphyromonadaceae	Porph
Tannerellaceae	Tanne
Anaerovoracaceae	AnaeV
Fusobacteriaceae	Fusob
Clostridiaceae	Clost
Eubacteriaceae	Eubac
Peptostreptococcaceae	PeptS
Anaerofustaceae	AnaeF
Chroococcidiopsaceae	Chroo
Flavobacteriaceae	Flavo
Atopobiaceae	Atopo
Pasteurellaceae	Paste
Desulfovibrionaceae	Desul
Erwiniaceae	Erwin
Campylobacteraceae	Campy
Weeksellaceae	Weeks
Succinivibrionaceae	Succi
Lactobacillaceae	Lacto
Selenomonadaceae	Selen
Coriobacteriales_Incertae_Sedis	CorBa
Christensenellaceae	Chris
UCG-010	UCG10
Synergistaceae	Syner
[Clostridium]_methylpentosum_group	Methy
Defluviitaleaceae	Deflu
Paenibacillaceae	Paeni
Coriobacteriaceae	Corio
Vagococcaceae	Vagoc
Gemellaceae	Gemel
Corynebacteriaceae	Coryn
Neisseriaceae	Neiss
Oxalobacteraceae	Oxalo
Burkholderiaceae	Burkh
Intrasporangiaceae	Intra
vadinBE97	Vadin
Bacillaceae	Bacil
Staphylococcaceae	Staph
Enterococcaceae	EnteC
Sporolactobacillaceae	Sporo
Planococcaceae	Plano
Hungateiclostridiaceae	Hunga
Carnobacteriaceae	Carno
P5D1-392	P5D13
UCG-011	UCG11
Victivallaceae	Victi
Leptotrichiaceae	Lepto
Hafniaceae	Hafni
