"Bacteria;Firmicutes"	"Bacteria;Proteobacteria"	"Bacteria;Bacteroidota"	"Bacteria;Verrucomicrobiota"	"Bacteria;Desulfobacterota"	"Bacteria;Actinobacteriota"	"Bacteria;Chloroflexi"	"Bacteria;Cyanobacteria"
"16S-A-A1-L0_e0049-5-0-A-A1"	9484	0	0	0	0	0	0	0
"16S-A-A1-L1_e0049-8-1-A-A1"	1965	0	0	0	0	0	0	0
"16S-A-A1-L2_e0050-A-5-2-A-A1"	2459	0	0	0	0	0	0	0
"16S-A-A1-L3_e0050-B-5-3-A-A1"	24	8	48	0	0	0	0	0
"16S-A-A1-L4_e0049-3-4-A-A1"	6031	0	0	0	0	0	0	0
"16S-A-A1-L5_e0050-A-3-5-A-A1"	59	0	0	0	0	0	0	0
"16S-A-A1-L6_e0050-B-3-6-A-A1"	542	194	569	0	0	0	0	0
"16S-A-A1-L7_e0050-8-7-A-A1"	97	57	78	0	0	0	0	0
"16S-A-A10-L0_e0049-5-0-A-A10"	11370	0	0	0	0	0	0	0
"16S-A-A10-L2_e0050-A-5-2-A-A10"	2752	2432	6529	18	25	0	0	0
"16S-A-A10-L3_e0050-B-5-3-A-A10"	4316	0	0	0	0	0	0	0
"16S-A-A10-L4_e0049-3-4-A-A10"	6305	0	0	0	0	0	0	0
"16S-A-A10-L5_e0050-A-3-5-A-A10"	1338	1567	3320	34	0	0	0	0
"16S-A-A10-L6_e0050-B-3-6-A-A10"	7493	0	0	0	0	0	0	0
"16S-A-A10-L7_e0050-8-7-A-A10"	1259	2151	5336	91	3	0	0	0
"16S-A-A11-L0_e0049-5-0-A-A11"	13318	0	0	0	0	0	0	0
"16S-A-A11-L2_e0050-A-5-2-A-A11"	3611	2591	7812	263	43	0	0	0
"16S-A-A11-L3_e0050-B-5-3-A-A11"	435	0	0	0	0	0	0	0
"16S-A-A11-L4_e0049-3-4-A-A11"	5866	0	0	0	0	0	0	0
"16S-A-A11-L5_e0050-A-3-5-A-A11"	1450	1099	2304	13	7	0	0	0
"16S-A-A11-L6_e0050-B-3-6-A-A11"	11120	0	0	0	0	0	0	0
"16S-A-A11-L7_e0050-8-7-A-A11"	2164	2705	5211	121	7	0	0	0
"16S-A-A12-L0_e0049-5-0-A-A12"	12431	0	0	0	0	0	0	0
"16S-A-A12-L1_e0049-8-1-A-A12"	47	0	0	0	0	0	0	0
"16S-A-A12-L2_e0050-A-5-2-A-A12"	4694	3819	9980	6	43	0	0	0
"16S-A-A12-L3_e0050-B-5-3-A-A12"	48	0	0	0	0	0	0	0
"16S-A-A12-L4_e0049-3-4-A-A12"	7009	0	0	0	0	0	0	0
"16S-A-A12-L5_e0050-A-3-5-A-A12"	2819	2128	4587	37	5	0	0	0
"16S-A-A12-L7_e0050-8-7-A-A12"	2436	1969	4005	0	4	0	0	0
"16S-A-A2-L0_e0049-5-0-A-A2"	9048	0	0	0	0	0	0	0
"16S-A-A2-L1_e0049-8-1-A-A2"	8224	0	0	0	0	0	0	0
"16S-A-A2-L2_e0050-A-5-2-A-A2"	15872	0	0	0	0	0	0	0
"16S-A-A2-L3_e0050-B-5-3-A-A2"	1192	682	958	0	0	0	0	0
"16S-A-A2-L4_e0049-3-4-A-A2"	8577	0	0	0	0	0	0	0
"16S-A-A2-L5_e0050-A-3-5-A-A2"	1986	0	0	0	0	0	0	0
"16S-A-A2-L6_e0050-B-3-6-A-A2"	4836	3282	4792	18	51	6	0	0
"16S-A-A2-L7_e0050-8-7-A-A2"	1244	1129	2035	2	5	0	0	0
"16S-A-A3-L0_e0049-5-0-A-A3"	13864	0	0	0	0	0	0	0
"16S-A-A3-L1_e0049-8-1-A-A3"	9957	0	0	0	0	0	0	0
"16S-A-A3-L2_e0050-A-5-2-A-A3"	13322	0	0	0	0	0	0	0
"16S-A-A3-L3_e0050-B-5-3-A-A3"	3437	2197	3842	6	0	0	0	0
"16S-A-A3-L4_e0049-3-4-A-A3"	9150	0	0	0	0	0	0	0
"16S-A-A3-L5_e0050-A-3-5-A-A3"	14088	0	0	0	0	0	0	0
"16S-A-A3-L6_e0050-B-3-6-A-A3"	3833	2608	3765	33	29	7	0	0
"16S-A-A3-L7_e0050-8-7-A-A3"	2249	2218	3012	10	4	0	0	0
"16S-A-A4-L0_e0049-5-0-A-A4"	19	9	0	0	0	0	0	0
"16S-A-A4-L1_e0049-8-1-A-A4"	3	0	0	0	0	0	0	0
"16S-A-A4-L2_e0050-A-5-2-A-A4"	0	3	0	0	0	0	0	0
"16S-A-A4-L3_e0050-B-5-3-A-A4"	1	0	0	0	0	0	0	0
"16S-A-A4-L4_e0049-3-4-A-A4"	48	0	0	0	0	0	0	0
"16S-A-A4-L5_e0050-A-3-5-A-A4"	31	3	0	0	0	0	0	0
"16S-A-A4-L6_e0050-B-3-6-A-A4"	57	0	0	0	0	0	0	0
"16S-A-A5-L0_e0049-5-0-A-A5"	13289	0	0	0	0	0	0	0
"16S-A-A5-L1_e0049-8-1-A-A5"	8351	0	0	0	0	0	0	0
"16S-A-A5-L2_e0050-A-5-2-A-A5"	16390	0	0	0	0	0	0	0
"16S-A-A5-L3_e0050-B-5-3-A-A5"	0	0	0	0	0	0	0	0
"16S-A-A5-L4_e0049-3-4-A-A5"	4763	0	0	0	0	0	0	0
"16S-A-A5-L5_e0050-A-3-5-A-A5"	5919	0	0	0	0	0	0	0
"16S-A-A5-L6_e0050-B-3-6-A-A5"	11	0	0	0	0	0	0	0
"16S-A-A6-L0_e0049-5-0-A-A6"	10740	0	0	0	0	0	0	0
"16S-A-A6-L1_e0049-8-1-A-A6"	3892	0	0	0	0	0	0	0
"16S-A-A6-L2_e0050-A-5-2-A-A6"	11052	2	0	0	0	0	0	0
"16S-A-A6-L3_e0050-B-5-3-A-A6"	3027	0	0	0	0	0	0	0
"16S-A-A6-L4_e0049-3-4-A-A6"	3920	0	0	0	0	0	0	0
"16S-A-A6-L5_e0050-A-3-5-A-A6"	8226	0	0	0	0	0	0	0
"16S-A-A6-L6_e0050-B-3-6-A-A6"	4991	0	0	0	0	0	0	0
"16S-A-A7-L0_e0049-5-0-A-A7"	10890	0	0	0	0	0	0	0
"16S-A-A7-L1_e0049-8-1-A-A7"	2125	0	0	0	0	0	0	0
"16S-A-A7-L2_e0050-A-5-2-A-A7"	12294	0	0	0	0	0	0	0
"16S-A-A7-L3_e0050-B-5-3-A-A7"	12587	0	0	0	0	0	0	0
"16S-A-A7-L4_e0049-3-4-A-A7"	4115	0	0	0	0	0	0	0
"16S-A-A7-L5_e0050-A-3-5-A-A7"	8858	0	0	0	0	0	0	0
"16S-A-A7-L6_e0050-B-3-6-A-A7"	9727	0	0	0	0	0	0	0
"16S-A-A8-L0_e0049-5-0-A-A8"	125	6	0	0	0	0	0	0
"16S-A-A8-L2_e0050-A-5-2-A-A8"	8	0	0	0	0	0	0	0
"16S-A-A8-L3_e0050-B-5-3-A-A8"	0	0	0	0	0	0	0	0
"16S-A-A8-L4_e0049-3-4-A-A8"	24	0	0	0	0	0	0	0
"16S-A-A8-L5_e0050-A-3-5-A-A8"	14	0	0	0	0	0	0	0
"16S-A-A8-L6_e0050-B-3-6-A-A8"	47	0	0	0	0	0	0	0
"16S-A-A8-L7_e0050-8-7-A-A8"	0	0	1	0	0	0	0	0
"16S-A-A9-L0_e0049-5-0-A-A9"	34	0	0	0	0	0	0	0
"16S-A-A9-L2_e0050-A-5-2-A-A9"	3	0	0	0	0	0	0	0
"16S-A-A9-L3_e0050-B-5-3-A-A9"	0	0	0	0	0	0	0	0
"16S-A-A9-L4_e0049-3-4-A-A9"	16	0	0	0	0	0	0	0
"16S-A-A9-L6_e0050-B-3-6-A-A9"	72	3	0	0	0	0	0	0
"16S-A-B1-L0_e0049-5-0-A-B1"	12727	0	0	0	0	0	0	0
"16S-A-B1-L1_e0049-8-1-A-B1"	12237	0	0	0	0	0	0	0
"16S-A-B1-L2_e0050-A-5-2-A-B1"	5018	6091	7462	94	38	0	0	0
"16S-A-B1-L3_e0050-B-5-3-A-B1"	7005	5048	9485	0	34	8	0	0
"16S-A-B1-L4_e0049-3-4-A-B1"	10619	0	0	0	0	0	0	0
"16S-A-B1-L5_e0050-A-3-5-A-B1"	3189	4008	6293	311	12	0	0	0
"16S-A-B1-L6_e0050-B-3-6-A-B1"	4122	3336	4847	0	48	9	0	0
"16S-A-B1-L7_e0050-8-7-A-B1"	2152	2952	4287	193	5	0	0	0
"16S-A-B10-L0_e0049-5-0-A-B10"	12844	0	0	0	0	0	0	0
"16S-A-B10-L1_e0049-8-1-A-B10"	0	0	0	0	0	0	0	0
"16S-A-B10-L2_e0050-A-5-2-A-B10"	4248	3730	7114	239	30	0	0	0
