"Bacteria;Firmicutes;Bacilli"	"Bacteria;Proteobacteria;Gammaproteobacteria"	"Bacteria;Bacteroidota;Bacteroidia"	"Bacteria;Firmicutes;Clostridia"	"Bacteria;Verrucomicrobiota;Verrucomicrobiae"	"Bacteria;Firmicutes;Negativicutes"	"Bacteria;Desulfobacterota;Desulfovibrionia"	"Bacteria;Actinobacteriota;Coriobacteriia"	"Bacteria;Actinobacteriota;Actinobacteria"	"Bacteria;Proteobacteria;Alphaproteobacteria"	"Bacteria;Chloroflexi;Anaerolineae"	"Bacteria;Cyanobacteria;Cyanobacteriia"
"16S-A-A1-L0_e0049-5-0-A-A1"	9484	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A1-L1_e0049-8-1-A-A1"	1965	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A1-L2_e0050-A-5-2-A-A1"	2459	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A1-L3_e0050-B-5-3-A-A1"	7	8	48	17	0	0	0	0	0	0	0	0
"16S-A-A1-L4_e0049-3-4-A-A1"	6031	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A1-L5_e0050-A-3-5-A-A1"	59	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A1-L6_e0050-B-3-6-A-A1"	152	194	569	390	0	0	0	0	0	0	0	0
"16S-A-A1-L7_e0050-8-7-A-A1"	35	57	78	62	0	0	0	0	0	0	0	0
"16S-A-A10-L0_e0049-5-0-A-A10"	11370	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A10-L2_e0050-A-5-2-A-A10"	1205	2432	6529	1492	18	55	25	0	0	0	0	0
"16S-A-A10-L3_e0050-B-5-3-A-A10"	4316	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A10-L4_e0049-3-4-A-A10"	6305	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A10-L5_e0050-A-3-5-A-A10"	439	1567	3320	843	34	56	0	0	0	0	0	0
"16S-A-A10-L6_e0050-B-3-6-A-A10"	7493	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A10-L7_e0050-8-7-A-A10"	43	2151	5336	1081	91	135	3	0	0	0	0	0
"16S-A-A11-L0_e0049-5-0-A-A11"	13318	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A11-L2_e0050-A-5-2-A-A11"	1603	2591	7812	1928	263	80	43	0	0	0	0	0
"16S-A-A11-L3_e0050-B-5-3-A-A11"	435	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A11-L4_e0049-3-4-A-A11"	5866	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A11-L5_e0050-A-3-5-A-A11"	825	1099	2304	602	13	23	7	0	0	0	0	0
