"Bacteria;Firmicutes;Bacilli;Lactobacillales"	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales"	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales"	"Bacteria;Firmicutes;Clostridia;Lachnospirales"	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales"	"Bacteria;Firmicutes;Clostridia;Eubacteriales"	"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales"	"Bacteria;Firmicutes;Negativicutes;Acidaminococcales"	"Bacteria;Firmicutes;Bacilli;Erysipelotrichales"	"Bacteria;Firmicutes;Clostridia;Oscillospirales"	"Bacteria;Firmicutes;Bacilli;Bacillales"	"Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales"	"Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales"	"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales"	"Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales"	"Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales"	"Bacteria;Firmicutes;Bacilli;Staphylococcales"	"Bacteria;Firmicutes;Bacilli;Thermicanales"	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales"	"Bacteria;Chloroflexi;Anaerolineae;SBR1031"	"Bacteria;Chloroflexi;Anaerolineae;Ardenticatenales"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales"	"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales"	"Bacteria;Firmicutes;Clostridia;Clostridiales"	"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales"	"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast"	"Bacteria;Bacteroidota;Bacteroidia;Cytophagales"
"16S-A-A1-L0_e0049-5-0-A-A1"	9484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A1-L1_e0049-8-1-A-A1"	1965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A1-L2_e0050-A-5-2-A-A1"	2459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A1-L3_e0050-B-5-3-A-A1"	0	8	48	17	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A1-L4_e0049-3-4-A-A1"	6031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A1-L5_e0050-A-3-5-A-A1"	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A1-L6_e0050-B-3-6-A-A1"	125	162	569	371	32	0	0	0	27	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A1-L7_e0050-8-7-A-A1"	33	50	78	59	7	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A10-L0_e0049-5-0-A-A10"	11370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A10-L2_e0050-A-5-2-A-A10"	1205	1995	6529	1257	437	235	18	55	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A10-L3_e0050-B-5-3-A-A10"	4316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A10-L4_e0049-3-4-A-A10"	6305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A10-L5_e0050-A-3-5-A-A10"	439	1033	3320	785	534	58	34	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A10-L6_e0050-B-3-6-A-A10"	7493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A10-L7_e0050-8-7-A-A10"	43	1526	5336	1063	625	18	91	135	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
