MSI	Alignment ID	Average Rt(min)	Average Mz	Metabolite name	INCHIKEY	Adduct type	Bacte0003_HilicExtraction_F1_R1_T2_Untargeted_DDA_HILICshort_Pos_010945_KCHU015_QE2	Bacte0003_HilicExtraction_F1_R1_T4_Untargeted_DDA_HILICshort_Pos_010953_KCHU015_QE2	Bacte0003_HilicExtraction_F1_R1_T48_Untargeted_DDA_HILICshort_Pos_010943_KCHU015_QE2	Bacte0003_HilicExtraction_F1_R2_T2_Untargeted_DDA_HILICshort_Pos_010967_KCHU015_QE2	Bacte0003_HilicExtraction_F1_R2_T4_Untargeted_DDA_HILICshort_Pos_010969_KCHU015_QE2	Bacte0003_HilicExtraction_F1_R2_T48_Untargeted_DDA_HILICshort_Pos_010999_KCHU015_QE2	Bacte0126_HilicExtraction_F1_R1_T2_Untargeted_DDA_HILICshort_Pos_010981_KCHU015_QE2	Bacte0126_HilicExtraction_F1_R1_T4_Untargeted_DDA_HILICshort_Pos_010955_KCHU015_QE2	Bacte0126_HilicExtraction_F1_R1_T48_Untargeted_DDA_HILICshort_Pos_011005_KCHU015_QE2	Bacte0126_HilicExtraction_F1_R2_T2_Untargeted_DDA_HILICshort_Pos_010965_KCHU015_QE2	Bacte0126_HilicExtraction_F1_R2_T4_Untargeted_DDA_HILICshort_Pos_010913_KCHU015_QE2	Bacte0126_HilicExtraction_F1_R2_T48_Untargeted_DDA_HILICshort_Pos_010997_KCHU015_QE2	EnteC0002_HilicExtraction_F1_R1_T2_Untargeted_DDA_HILICshort_Pos_010995_KCHU015_QE2	EnteC0002_HilicExtraction_F1_R1_T4_Untargeted_DDA_HILICshort_Pos_010927_KCHU015_QE2	EnteC0002_HilicExtraction_F1_R1_T48_Untargeted_DDA_HILICshort_Pos_010933_KCHU015_QE2	EnteC0002_HilicExtraction_F1_R2_T2_Untargeted_DDA_HILICshort_Pos_010917_KCHU015_QE2	EnteC0002_HilicExtraction_F1_R2_T4_Untargeted_DDA_HILICshort_Pos_010985_KCHU015_QE2	EnteC0002_HilicExtraction_F1_R2_T48_Untargeted_DDA_HILICshort_Pos_010919_KCHU015_QE2	EnteC0003_HilicExtraction_F1_R1_T2_Untargeted_DDA_HILICshort_Pos_011013_KCHU015_QE2	EnteC0003_HilicExtraction_F1_R1_T4_Untargeted_DDA_HILICshort_Pos_010957_KCHU015_QE2	EnteC0003_HilicExtraction_F1_R1_T48_Untargeted_DDA_HILICshort_Pos_010959_KCHU015_QE2	EnteC0003_HilicExtraction_F1_R2_T2_Untargeted_DDA_HILICshort_Pos_011009_KCHU015_QE2	EnteC0003_HilicExtraction_F1_R2_T4_Untargeted_DDA_HILICshort_Pos_011017_KCHU015_QE2	EnteC0003_HilicExtraction_F1_R2_T48_Untargeted_DDA_HILICshort_Pos_011023_KCHU015_QE2	Lachn0058_HilicExtraction_F1_R1_T2_Untargeted_DDA_HILICshort_Pos_010983_KCHU015_QE2	Lachn0058_HilicExtraction_F1_R1_T4_Untargeted_DDA_HILICshort_Pos_010971_KCHU015_QE2	Lachn0058_HilicExtraction_F1_R1_T48_Untargeted_DDA_HILICshort_Pos_010935_KCHU015_QE2	Lachn0058_HilicExtraction_F1_R2_T2_Untargeted_DDA_HILICshort_Pos_010961_KCHU015_QE2	Lachn0058_HilicExtraction_F1_R2_T4_Untargeted_DDA_HILICshort_Pos_010905_KCHU015_QE2	Lachn0058_HilicExtraction_F1_R2_T48_Untargeted_DDA_HILICshort_Pos_010991_KCHU015_QE2	mBHI_HilicExtraction_F1_R1_T1_Untargeted_DDA_HILICshort_Pos_011021_KCHU015_QE2	mBHI_HilicExtraction_F1_R2_T1_Untargeted_DDA_HILICshort_Pos_011019_KCHU015_QE2	Strep0007_HilicExtraction_F1_R1_T2_Untargeted_DDA_HILICshort_Pos_011015_KCHU015_QE2	Strep0007_HilicExtraction_F1_R1_T4_Untargeted_DDA_HILICshort_Pos_010987_KCHU015_QE2	Strep0007_HilicExtraction_F1_R1_T48_Untargeted_DDA_HILICshort_Pos_010973_KCHU015_QE2	Strep0007_HilicExtraction_F1_R2_T2_Untargeted_DDA_HILICshort_Pos_010937_KCHU015_QE2	Strep0007_HilicExtraction_F1_R2_T4_Untargeted_DDA_HILICshort_Pos_010907_KCHU015_QE2	Strep0007_HilicExtraction_F1_R2_T48_Untargeted_DDA_HILICshort_Pos_010901_KCHU015_QE2	Strep0017_HilicExtraction_F1_R1_T2_Untargeted_DDA_HILICshort_Pos_010929_KCHU015_QE2	Strep0017_HilicExtraction_F1_R1_T4_Untargeted_DDA_HILICshort_Pos_010939_KCHU015_QE2	Strep0017_HilicExtraction_F1_R1_T48_Untargeted_DDA_HILICshort_Pos_011011_KCHU015_QE2	Strep0017_HilicExtraction_F1_R2_T2_Untargeted_DDA_HILICshort_Pos_010911_KCHU015_QE2	Strep0017_HilicExtraction_F1_R2_T4_Untargeted_DDA_HILICshort_Pos_010921_KCHU015_QE2	Strep0017_HilicExtraction_F1_R2_T48_Untargeted_DDA_HILICshort_Pos_011007_KCHU015_QE2	Tanne0007_HilicExtraction_F1_R1_T2_Untargeted_DDA_HILICshort_Pos_010915_KCHU015_QE2	Tanne0007_HilicExtraction_F1_R1_T4_Untargeted_DDA_HILICshort_Pos_010909_KCHU015_QE2	Tanne0007_HilicExtraction_F1_R1_T48_Untargeted_DDA_HILICshort_Pos_010989_KCHU015_QE2	Tanne0007_HilicExtraction_F1_R2_T2_Untargeted_DDA_HILICshort_Pos_010979_KCHU015_QE2	Tanne0007_HilicExtraction_F1_R2_T4_Untargeted_DDA_HILICshort_Pos_010947_KCHU015_QE2	Tanne0007_HilicExtraction_F1_R2_T48_Untargeted_DDA_HILICshort_Pos_010941_KCHU015_QE2	XFA_HilicExtraction_F1_R1_T48_Untargeted_DDA_HILICshort_Pos_010903_KCHU015_QE2	XFA_HilicExtraction_F1_R2_T48_Untargeted_DDA_HILICshort_Pos_010963_KCHU015_QE2	XFB_HilicExtraction_F1_R1_T48_Untargeted_DDA_HILICshort_Pos_010993_KCHU015_QE2	XFB_HilicExtraction_F1_R2_T48_Untargeted_DDA_HILICshort_Pos_010931_KCHU015_QE2	BK_Pos_1_010897_KCHU015_QE2	BK_Pos_2_010923_KCHU015_QE2	BK_Pos_3_010949_KCHU015_QE2	BK_Pos_4_010975_KCHU015_QE2	BK_Pos_5_011001_KCHU015_QE2	BK_Pos_6_011025_KCHU015_QE2	QC_Pos_1_010899_KCHU015_QE2	QC_Pos_2_010925_KCHU015_QE2	QC_Pos_3_010951_KCHU015_QE2	QC_Pos_4_010977_KCHU015_QE2	QC_Pos_5_011003_KCHU015_QE2	QC_Pos_6_011027_KCHU015_QE2
3	125	1.994	85.13206	1_TMAO_d9	Internal Standard	[M+H]+	46279408	46345040	43784280	48345848	44015128	44287204	45483760	47979232	43684004	46700900	51980404	45668452	45844348	49654112	46300980	47299204	47618940	53392808	46726952	45492636	50969584	44730156	46094644	52596236	47730180	44969772	50843548	48066184	47953000	52707448	37306808	35481676	46196544	46561280	55042544	46423340	46873180	54318984	45216332	45784180	46612268	48006168	44163928	48879460	45502108	47934476	45014928	46751408	44261460	44422964	53088224	50468424	51410600	54641580	1496745	1885038	2175490	6953120	50655732	55324932	47228044	48362588	47031608	47018008	47811196	46504076
3	329	2.837	109.0687	1_Serine_d3	Internal Standard	[M+H]+	3179148	3009102	3863530	3227729	2807508	3484202	2853080	3396613	2923596	3075004	3395147	3146322	3244415	2858950	2619034	3146956	3011207	2974282	2962489	3119379	3050970	2960888	3344500	2901688	3568349	3000437	2579028	3122302	3164664	3091763	2454890	2436531	3094762	3522857	3500356	3031606	2841376	3343463	3062894	3084157	2968218	3146759	2822135	2641250	3030519	3438378	2499612	2616760	2956589	2824611	4777458	4827717	4463816	4486094	9296386	10102096	10199036	9720641	9031979	9784776	2776060	3555590	3384825	3256375	3573562	3131390
3	390	1.894	113.16343	1_Choline_d9	Internal Standard	[M+H]+	16766046	15858066	4707678	16943738	15222406	5526076	16247726	16504951	6716745	16071452	18211936	7503498	16105304	16816744	11301299	17089968	15367228	11846983	15396267	15879938	15437772	15191377	15740921	15275347	17072198	15605849	16154406	15943019	17439288	15650000	12920436	12204144	14850306	15491884	16267681	15630320	16521190	16044202	15977045	15744057	14734210	16342974	15972393	15091083	15187665	18078744	8326020	16312077	15849471	9695362	29887536	29212668	31043906	32746726	6328	0	10176	28201	0	0	14151233	13915513	14013469	13695697	13119856	13236738
3	438	1.832	117.08485	1_Creatinine_d3	Internal Standard	[M+H]+	10851152	11539065	11178226	11490165	10202660	11510866	12172912	11579901	10926168	11538486	13102097	11246089	11264449	11153496	11199611	12553792	11102297	11198280	10651860	11709523	11667247	10843114	10929244	11053257	11234614	11709696	10654575	11486252	11779705	10288436	9299494	8651487	11060147	11235174	12158899	11496629	11016870	11367076	11146950	11513181	11428155	11191483	11330672	10811923	10910421	12795834	10591399	10064927	11266928	11014898	14516050	14077055	5788089	5908414	20083070	10379960	13021161	21222500	25288612	24930156	12288690	10876636	10747268	10783892	10542249	10660421
3	532	2.573	126.13637	1_Valine_d8	Internal Standard	[M+H]+	2626773	2428206	2448486	2545988	2437538	2730994	2657291	2808407	2433493	2764662	2946644	2494476	2641080	2708525	2320357	3044430	2545992	2782028	2628254	2688342	2547301	2507310	2691674	2209202	2355069	2724824	2404100	2716281	2578800	2173721	2207718	2116882	2654787	2638512	2517430	2521386	2799634	2384580	2558955	2778964	2471130	2802790	2554859	2703444	2418104	2611473	2022604	2529692	2478836	2351164	2693100	2854407	2996609	2912588	13342176	15215398	15886703	15076693	14976196	16451613	2414129	2688524	2755062	2816069	2714445	2774244
3	643	2.701	135.09543	1_Creatine_d3	Internal Standard	[M+H]+	39221	58666	227329	48614	39515	50160	0	48500	123718	135393	70100	54784	155303	56108	0	61747	49926	77674	72634	62816	107240	48732	43127	113130	102794	57405	57346	141921	61611	94407	87724	0	52955	63904	189238	91206	118788	95637	55461	121404	52728	131761	0	0	38133	130238	147762	68054	91816	160088	152868	221990	157202	177268	2806650	2370527	2273454	2365676	2299434	2179440	144073	149526	177609	66436	46393	49582
3	896	2.855	151.07918	1_Glutamic Acid_d3	Internal Standard	[M+H]+	2450481	2545213	3084566	2327744	2382864	2630599	2400327	2391012	2494198	2893996	2685590	2428008	2714458	2593590	2125642	2863924	2436572	2306708	2490410	2498798	2416352	2157094	2260260	2179928	2354076	2470994	2283130	2566210	2170639	2034195	2102683	2000849	2346242	2482953	2467159	2372706	2358663	2679100	2557858	2394344	2215824	2502010	2242826	2418511	2270246	2375970	2267580	2683719	2415258	2317841	3537520	3585102	2929013	3109316	10709522	12937362	12722150	12248908	11166050	11722890	2672248	2873192	2556690	2680942	2566506	2629066
3	920	2.825	152.10764	1_Glutamine_d5	Internal Standard	[M+H]+	390764	237865	453302	287250	220604	361307	255866	236101	327362	132378	355536	373966	382491	196719	301671	300071	227490	298004	232157	246222	295350	266490	301098	208117	354056	318331	281234	296229	408298	155163	184620	251922	288813	323213	236792	257444	211854	405005	363468	296370	287660	214528	270266	253151	205765	349339	185106	316245	182994	121318	517778	517365	454915	578943	3894160	4893808	4662186	4138666	4314047	4254181	237425	387995	328583	314744	411378	274608
3	962	3.001	155.16277	1_Lysine-d8	Internal Standard	[M+H]+	11149888	9656589	8895022	11182635	10606202	10357789	10782462	11860405	9453106	11473472	11998297	10920161	11087214	10364110	9339855	10818923	11317576	9740452	10910562	10951211	10757005	11213439	11632109	9684885	11791170	11693368	9143174	11264920	9474766	9184658	9840162	8555291	10215452	11706310	10662292	11172895	10420977	9436415	10694181	9536727	10205519	10359189	10515690	10029093	9748002	10880368	9516258	11097974	10567145	10342834	12046599	11901666	13738133	11959000	57782940	43608448	45914752	46038548	44095712	52975088	11064987	11304116	11184830	11647568	12064061	11797444
3	1010	2.486	158.10832	1_Methionine_d8	Internal Standard	[M+H]+	10248807	11332768	13457614	11370026	10595452	12649846	11657400	11730027	11777519	11869545	13353973	11278095	10933161	11217222	9657459	12548577	11359228	11281974	11244994	11402393	11232512	11292136	10957259	10342903	11973744	11352962	9443515	10794769	12678761	9752869	10883533	9551599	11072976	11120760	12590726	11792381	10704995	10156540	11471807	11846486	11037494	11878804	10522010	10489164	11178968	13065448	10626014	10239027	11432708	10509268	18554152	17871288	14344526	14800606	48931184	42122628	37282212	37798556	35817900	35251272	12186184	12258732	12357483	12960528	10809462	12119757
3	1110	2.591	165.13112	1_Carnitine_d3	Internal Standard	[M+H]+	5854760	5990390	3825632	6317609	5261048	4028249	6296512	6058931	3928863	6362192	7073860	4101590	6394338	6503464	5533631	6443212	6096402	6124664	5825218	6063559	5698506	5931290	6046606	5824327	6241444	6339494	5144021	5560656	6192491	5078631	4616384	3887957	6322098	6260704	5284609	6170748	5764242	5147188	5730524	5962188	5728624	6276782	5999979	5655099	5328321	7016016	3280047	6033782	5866520	3961441	6316722	6437300	8410582	8013526	32892918	31946956	39135564	64702904	79947840	81587576	6213737	6093979	6278126	5936108	5961150	6023291
3	1394	2.986	182.16254	1_Arginine_d7	Internal Standard	[M+H]+	5144926	4842916	4179064	4704058	4389129	4881699	5023864	4698726	4227465	4581182	5157341	4471340	4590482	4703674	5714504	4943573	4976490	6220324	4632615	4777734	6201942	4804070	4705923	6506980	5278777	4407925	4180058	4962008	4911810	4565661	4348540	3624058	4430761	4545574	6446260	4910357	4801176	5946888	4870027	4479632	6166536	4807310	4706763	6322564	4316682	5115610	4357297	4882298	4409963	4451459	6985636	7380486	7991472	7658637	122072224	93585952	90139240	92262736	88971128	96816920	5436446	4818148	4907859	5579996	4867884	5327144
3	1434	0.894	185.09192	1_HippuricAcid_d5	Internal Standard	[M+H]+	21446754	22377122	28929078	20799498	21206040	30222866	20150952	20853662	29214500	21074066	23625316	28311894	19288796	22800870	23909776	22789286	21203894	24449218	22756824	22149412	21424660	21265118	20997168	22196582	21615454	21289096	26014536	21046544	22804274	23570624	22778054	25319946	21162168	20837598	21983036	22565620	23095854	23809116	22707112	20909446	22280284	23187410	21737304	23101014	22916618	21397562	23797526	21290494	20698750	23762264	24562724	22713726	21736330	22314008	17306150	6063001	6409439	6139046	5954878	5355531	21135626	22189204	21306050	21114574	21149144	20105698
3	1815	2.436	207.14165	1_Acetylcarnitine_d3	Internal Standard	[M+H]+	5804854	5589734	5508908	5907704	5032784	5398297	6293365	5463186	5766538	5700496	6098710	5625746	5845200	5884184	5077420	6439500	4621280	5107186	5973362	5049680	4910956	5441331	5769684	5302340	6124482	5823945	4370224	5924982	5405842	3995940	4000293	4458082	5834387	5443062	5075123	4970185	5316754	4611026	6152509	5084006	5000642	5851136	5677133	4329114	5312418	5874290	5089657	4988409	5244830	5090958	9145247	9082684	10561919	10363106	8018464	8245815	11240328	26110866	40588152	37801132	6001972	5019066	5384096	5472152	5581374	5680876
3	1872	2.298	210.12816	1_Tryptophan-d5	Internal Standard	[M+H]+	4596160	4279782	4653732	316656	4042979	4373351	337168	4757222	4257580	5081248	5515712	3802204	5379624	5208242	5240855	4732899	4674841	5181354	523784	4740897	5080336	4154816	4800246	4538199	5086585	5119512	4154897	5069400	5011458	3958326	4134682	3250554	4820291	4683372	4440331	349085	4935118	4999741	4652406	4751242	4246776	5098416	5227790	4666721	429988	5814204	5089962	4625616	4964130	4836618	6017032	5672315	5927796	5894003	18256634	12486076	12576804	11647320	11367632	12113971	5364130	6218604	5056599	5207492	5041549	4540827
	3547	1.284	300.28928	Phytosphingosine	AERBNCYCJBRYDG-KSZLIROESA-N	[M+H-H2O]+	23731	27282	1602558	0	0	1764273	34806	27150	1295434	0	0	1759872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25138	0	0	0	0	0	0	0	0	0	51566	59435	2284742	0	59692	3082219	3563484	3368784	2293156	3194959	24264	18070	0	14176	0	0	508164	380766	348714	270824	287826	305606
