comparison	overlapAsymmetric	rateUnique1rep1	rateUnique1rep2	rateUnique2rep1	rateUnique2rep2	rateShared1rep1	rateShared1rep2	rateShared2rep1	rateShared2rep2
Bacte0126-Tanne0007	0.735645933014354	-0.0758779678352079	-0.102732284932679	-0.0777943978998179	-0.0485844706562812	-0.0838800338498519	-0.118455750786652	-0.101516324765221	-0.0750774523954959
Bacte0126-EnteC0002	0.309210526315789	-0.0641624190939259	-0.103258011603506	-0.459826749129295	-0.488681053933065	-0.144265022718359	-0.188173136160861	-0.38208597970036	-0.483137937451928
Bacte0126-EnteC0003	0.233369683751363	-0.0691210016192729	-0.105383791625785	-0.138361826196625	-0.155673548806761	-0.160075015281604	-0.199603738204192	-0.253866910160602	-0.280018545723132
Bacte0126-Strep0007	0.352941176470588	-0.0700512517699538	-0.101839274375595	-0.116254301828113	-0.107962616894684	-0.103194749808806	-0.148659272788584	-0.306254941198222	-0.295806742446817
Bacte0126-Strep0017	0.304442036836403	-0.0688553003750443	-0.0996876669216315	-0.139356663723385	-0.13681295518917	-0.123987516048432	-0.177896088457561	-0.233395583790197	-0.222427513597114
Bacte0126-XFA	0.79495990836197	-0.0573258284621351	-0.09649009046218	NA	NA	-0.0860042591636144	-0.125597452932005	NA	NA
Bacte0126-XFB	0.661538461538462	-0.0720423015069788	-0.108283931297524	NA	NA	-0.0896791564012288	-0.124012454014325	NA	NA
Tanne0007-Bacte0126	0.672866520787746	-0.0777943978998179	-0.0485844706562812	-0.0758779678352079	-0.102732284932679	-0.101516324765221	-0.0750774523954959	-0.0838800338498519	-0.118455750786652
Tanne0007-EnteC0002	0.227229146692234	-0.0798701021358041	-0.0530573010472585	-0.49333210611598	-0.519827998987253	-0.155745620407949	-0.119517340451075	-0.302765075981599	-0.383648963189366
Tanne0007-EnteC0003	0.151658767772512	-0.0800035663934787	-0.0551648199607713	-0.142800888647098	-0.166484308750618	-0.15947762597825	-0.126944310306306	-0.253363154831705	-0.280029924761326
Tanne0007-Strep0007	0.231508165225744	-0.0792966621191247	-0.054216580002426	-0.146542115659957	-0.135294894358722	-0.138165813564365	-0.0979032148898893	-0.23443164995255	-0.23564166660117
