r11	r22	rs1	rs2	passage	species	df	mutuallyInvasible	lowAbundance	1:1000	1000:1	doseDependence	uniqueRatio	sharedRatio
0.05	0.05	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0838317017745363	0.916168298225464	10.9286615782831	1	1
0.2	0.05	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0872423698716929	0.916615095090445	10.5065359462209	0.25	1
0.35	0.05	0.05	0.05	1	1	alldata	TRUE	FALSE	0.101816692327883	0.91675925522275	9.00401726143769	0.142857142857143	1
0.5	0.05	0.05	0.05	1	1	alldata	TRUE	FALSE	0.136318849994023	0.916829205250333	6.72562309094109	0.1	1
0.65	0.05	0.05	0.05	1	1	alldata	TRUE	FALSE	0.187845053722486	0.916869986914904	4.88099084189592	0.0769230769230769	1
0.8	0.05	0.05	0.05	1	1	alldata	TRUE	FALSE	0.248241058863309	0.916896533463449	3.69357324554568	0.0625	1
0.95	0.05	0.05	0.05	1	1	alldata	TRUE	FALSE	0.309590230098023	0.916915106929216	2.96170556363778	0.0526315789473684	1
0.05	0.2	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0833849049095552	0.912757630128307	10.9463173354739	4	1
0.2	0.2	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0847401653395035	0.915259834660497	10.8007794296081	1	1
0.35	0.2	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0905102661054408	0.915945407927476	10.1197957683655	0.571428571428572	1
0.5	0.2	0.05	0.05	1	1	alldata	TRUE	FALSE	0.106213252374134	0.916250040648684	8.62651336032169	0.4	1
0.65	0.2	0.05	0.05	1	1	alldata	TRUE	FALSE	0.133503363160469	0.916417484160729	6.86437751428933	0.307692307692308	1
0.8	0.2	0.05	0.05	1	1	alldata	TRUE	FALSE	0.169600910495928	0.916521735215947	5.40399065391781	0.25	1
0.95	0.2	0.05	0.05	1	1	alldata	TRUE	FALSE	0.21057924341375	0.916592320077146	4.35271921970109	0.210526315789474	1
0.05	0.35	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0832407447772497	0.898183307672117	10.7901882674841	7	1
0.2	0.35	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0840545920725236	0.909489733894559	10.8202266106989	1.75	1
0.35	0.35	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0874541571904612	0.912545842809539	10.4345621995094	1	1
0.5	0.35	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0972567798115548	0.913874709310899	9.39651416674115	0.7	1
