rs1	rs2	rt1	rt3	passage	species	df	mutuallyInvasible	lowAbundance	1:1000	1000:1	doseDependence	sharedSratio	sharedTratio
0.05	0.05	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0085478808017191	0.658852838020245	77.077915954062	1	1
0.2	0.05	0.05	0.05	1	1	alldata	TRUE	FALSE	0.407234813236824	0.846543848322969	2.07876100177778	0.25	1
0.35	0.05	0.05	0.05	1	1	alldata	TRUE	FALSE	0.726897690869062	0.846718404100662	1.16483848378765	0.142857142857143	1
0.5	0.05	0.05	0.05	1	1	alldata	TRUE	FALSE	0.792391985251984	0.846751256499727	1.06860149049899	0.1	1
0.65	0.05	0.05	0.05	1	1	alldata	TRUE	FALSE	0.813159701979145	0.846765163433447	1.04132701285185	0.0769230769230769	1
0.8	0.05	0.05	0.05	1	1	alldata	TRUE	FALSE	0.821709483123325	0.846772780821	1.03050140981994	0.0625	1
0.95	0.05	0.05	0.05	1	1	alldata	TRUE	FALSE	0.825985769033219	0.846777563355649	1.02517209751297	0.0526315789473684	1
0.05	0.2	0.05	0.05	1	1	alldata	TRUE	FALSE	0.00776854762073568	0.105969241923102	13.6408048320706	4	1
0.2	0.2	0.05	0.05	1	1	alldata	TRUE	FALSE	0.00916869834969488	0.838124132595075	91.4114632883485	1	1
0.35	0.2	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0231952380520917	0.846450522438819	36.4924266152331	0.571428571428572	1
0.5	0.2	0.05	0.05	1	1	alldata	TRUE	FALSE	0.14956034118688	0.84668897175653	5.66118641504415	0.4	1
0.65	0.2	0.05	0.05	1	1	alldata	TRUE	FALSE	0.444766167426973	0.846737699235132	1.90378172002968	0.307692307692308	1
0.8	0.2	0.05	0.05	1	1	alldata	TRUE	FALSE	0.633310359224907	0.846756805625765	1.33703293068203	0.25	1
0.95	0.2	0.05	0.05	1	1	alldata	TRUE	FALSE	0.720675633604782	0.84676677871902	1.17496240920972	0.210526315789474	1
0.05	0.35	0.05	0.05	1	1	alldata	TRUE	FALSE	0.00772858210575725	0.0601399508100275	7.78149859664782	7	1
0.2	0.35	0.05	0.05	1	1	alldata	TRUE	FALSE	0.00809033720568315	0.681368006929199	84.2199762020505	1.75	1
0.35	0.35	0.05	0.05	1	1	alldata	TRUE	FALSE	0.00953643405030192	0.843759464037765	88.4774601897501	1	1
0.5	0.35	0.05	0.05	1	1	alldata	TRUE	FALSE	0.015301168434283	0.846369289851838	55.3140300028008	0.7	1
0.65	0.35	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0400786902714926	0.846641083097189	21.1244698207963	0.538461538461539	1
0.8	0.35	0.05	0.05	1	1	alldata	TRUE	FALSE	0.131300025804393	0.846712573031496	6.44868550363351	0.4375	1
0.95	0.35	0.05	0.05	1	1	alldata	TRUE	FALSE	0.315363570225036	0.846741446991695	2.68496911798493	0.368421052631579	1
0.05	0.5	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0077147314481617	0.0469543514719378	6.08632352110278	10	1
0.2	0.5	0.05	0.05	1	1	alldata	TRUE	FALSE	0.00789724301549721	0.351958080757573	44.5672090965044	2.5	1
0.35	0.5	0.05	0.05	1	1	alldata	TRUE	FALSE	0.00840500492946593	0.821185828189075	97.7020043510259	1.42857142857143	1
0.5	0.5	0.05	0.05	1	1	alldata	TRUE	FALSE	0.00977373525623777	0.84481283980235	86.4370496697438	1	1
0.65	0.5	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0134810532339753	0.846312405739116	62.7779143847765	0.769230769230769	1
0.8	0.5	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0240084970212142	0.846592609104141	35.2622077240437	0.625	1
0.95	0.5	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0542816469453032	0.84668260593852	15.5979535180957	0.526315789473684	1
0.05	0.65	0.05	0.05	1	1	alldata	TRUE	FALSE	0.00770769699963618	0.0410204686112152	5.32201364598938	13	1
0.2	0.65	0.05	0.05	1	1	alldata	TRUE	FALSE	0.00782492992809738	0.198844041619372	25.4116066784665	3.25	1
0.35	0.65	0.05	0.05	1	1	alldata	TRUE	FALSE	0.00808989032865018	0.70700254884468	87.3933415810155	1.85714285714286	1
0.5	0.65	0.05	0.05	1	1	alldata	TRUE	FALSE	0.00867357415100684	0.83759646347618	96.5687787864188	1.3	1
0.65	0.65	0.05	0.05	1	1	alldata	TRUE	FALSE	0.00994061915475708	0.845213932852996	85.0262865616896	1	1
0.8	0.65	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0127085456982742	0.84627145914408	66.5907397460124	0.8125	1
0.95	0.65	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0189368840529818	0.846547987860024	44.7036579772862	0.684210526315789	1
0.05	0.8	0.05	0.05	1	1	alldata	TRUE	FALSE	0.00770343435540307	0.0377011616473788	4.89407190455719	16	1
0.2	0.8	0.05	0.05	1	1	alldata	TRUE	FALSE	0.00778839703130573	0.135669974186123	17.4194989855798	4	1
0.35	0.8	0.05	0.05	1	1	alldata	TRUE	FALSE	0.00795589989960947	0.493017730301525	61.9688201866046	2.28571428571429	1
0.5	0.8	0.05	0.05	1	1	alldata	TRUE	FALSE	0.00827991382486942	0.807831091626691	97.5651569223223	1.6	1
0.65	0.8	0.05	0.05	1	1	alldata	TRUE	FALSE	0.00889718480737586	0.841618535529276	94.5938017193444	1.23076923076923	1
0.8	0.8	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0100649972369761	0.845420194787719	83.9960682435036	1	1
0.95	0.8	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0122880034728146	0.846240857547477	68.8672378242452	0.842105263157895	1
0.05	0.95	0.05	0.05	1	1	alldata	TRUE	FALSE	0.00770057429062314	0.035594522238605	4.62232047835028	19	1
0.2	0.95	0.05	0.05	1	1	alldata	TRUE	FALSE	0.00776668725903311	0.103939093137626	13.3826803720903	4.75	1
0.35	0.95	0.05	0.05	1	1	alldata	TRUE	FALSE	0.00788497313992892	0.326947224870374	41.4645958925006	2.71428571428571	1
0.5	0.95	0.05	0.05	1	1	alldata	TRUE	FALSE	0.00809360771988844	0.718981647540295	88.8332709495593	1.9	1
0.65	0.95	0.05	0.05	1	1	alldata	TRUE	FALSE	0.00845690309627428	0.830315022870026	98.181924685388	1.46153846153846	1
0.8	0.95	0.05	0.05	1	1	alldata	TRUE	FALSE	0.00908365751218547	0.843187988829739	92.8247226074548	1.1875	1
0.95	0.95	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0101615786188581	0.845544777971069	83.2099823940625	1	1
0.05	0.05	0.2	0.05	1	1	alldata	TRUE	FALSE	0.0155493684304941	0.733290546466709	47.158863702055	1	0.25
0.2	0.05	0.2	0.05	1	1	alldata	TRUE	FALSE	0.471872302574334	0.846772212592697	1.79449441718251	0.25	0.25
0.35	0.05	0.2	0.05	1	1	alldata	TRUE	FALSE	0.741652554099763	0.846839049837458	1.14182718734836	0.142857142857143	0.25
0.5	0.05	0.2	0.05	1	1	alldata	TRUE	FALSE	0.799378119015645	0.846846379249948	1.05938148556375	0.1	0.25
0.65	0.05	0.2	0.05	1	1	alldata	TRUE	FALSE	0.817921142479183	0.846848759076114	1.03536724397324	0.0769230769230769	0.25
0.8	0.05	0.2	0.05	1	1	alldata	TRUE	FALSE	0.825575211200775	0.846849861200943	1.02576948739682	0.0625	0.25
0.95	0.05	0.2	0.05	1	1	alldata	TRUE	FALSE	0.829398082308685	0.846850418291606	1.02104217064783	0.0526315789473684	0.25
0.05	0.2	0.2	0.05	1	1	alldata	TRUE	FALSE	0.00960514941638248	0.152760961426979	15.9040692450272	4	0.25
0.2	0.2	0.2	0.05	1	1	alldata	TRUE	FALSE	0.0194459867743651	0.840900839898533	43.242898889917	1	0.25
0.35	0.2	0.2	0.05	1	1	alldata	TRUE	FALSE	0.0542247237956614	0.846609124736861	15.6129725607676	0.571428571428572	0.25
0.5	0.2	0.2	0.05	1	1	alldata	TRUE	FALSE	0.194056927156448	0.846788958532802	4.36361108537045	0.4	0.25
0.65	0.2	0.2	0.05	1	1	alldata	TRUE	FALSE	0.476042153412419	0.846822726093455	1.77888180704832	0.307692307692308	0.25
0.8	0.2	0.2	0.05	1	1	alldata	TRUE	FALSE	0.648971073362223	0.846834481217146	1.30488786939273	0.25	0.25
0.95	0.2	0.2	0.05	1	1	alldata	TRUE	FALSE	0.729573097368587	0.846840006213306	1.16073359786384	0.210526315789474	0.25
0.05	0.35	0.2	0.05	1	1	alldata	TRUE	FALSE	0.00915022018087016	0.09927630850202	10.8496087022661	7	0.25
0.2	0.35	0.2	0.05	1	1	alldata	TRUE	FALSE	0.0126239590804035	0.7244631288253	57.3879497082576	1.75	0.25
0.35	0.35	0.2	0.05	1	1	alldata	TRUE	FALSE	0.0213609672216913	0.844448904635744	39.5323346490713	1	0.25
0.5	0.35	0.2	0.05	1	1	alldata	TRUE	FALSE	0.0392929132572598	0.846505551556079	21.5434662737734	0.7	0.25
0.65	0.35	0.2	0.05	1	1	alldata	TRUE	FALSE	0.0751655981222215	0.846733343159396	11.2649052799737	0.538461538461539	0.25
0.8	0.35	0.2	0.05	1	1	alldata	TRUE	FALSE	0.166838656759089	0.846792568500637	5.07551777837305	0.4375	0.25
0.95	0.35	0.2	0.05	1	1	alldata	TRUE	FALSE	0.344976782492069	0.846815678430118	2.45470339282786	0.368421052631579	0.25
0.05	0.5	0.2	0.05	1	1	alldata	TRUE	FALSE	0.00898323405555825	0.0864953830280576	9.62853494555669	10	0.25
0.2	0.5	0.2	0.05	1	1	alldata	TRUE	FALSE	0.0109336484249165	0.401660650547585	36.7361959098894	2.5	0.25
0.35	0.5	0.2	0.05	1	1	alldata	TRUE	FALSE	0.0149922716823633	0.827021744584163	55.1632042232171	1.42857142857143	0.25
0.5	0.5	0.2	0.05	1	1	alldata	TRUE	FALSE	0.0225002998549167	0.845173188210995	37.5627522148914	1	0.25
0.65	0.5	0.2	0.05	1	1	alldata	TRUE	FALSE	0.0349136874769009	0.846435442246707	24.2436563828073	0.769230769230769	0.25
0.8	0.5	0.2	0.05	1	1	alldata	TRUE	FALSE	0.0545317018727742	0.846680633933337	15.5263929944584	0.625	0.25
0.95	0.5	0.2	0.05	1	1	alldata	TRUE	FALSE	0.0891072370800601	0.846759867863491	9.50270590370458	0.526315789473684	0.25
0.05	0.65	0.2	0.05	1	1	alldata	TRUE	FALSE	0.00889622816231185	0.0809961978698534	9.10455491834026	13	0.25
0.2	0.65	0.2	0.05	1	1	alldata	TRUE	FALSE	0.0102185208239821	0.22866227313727	22.3772380637143	3.25	0.25
0.35	0.65	0.2	0.05	1	1	alldata	TRUE	FALSE	0.0126371408680456	0.733885039082782	58.0736613404772	1.85714285714286	0.25
0.5	0.65	0.2	0.05	1	1	alldata	TRUE	FALSE	0.0167577600799823	0.83917462056563	50.0767773592874	1.3	0.25
0.65	0.65	0.2	0.05	1	1	alldata	TRUE	FALSE	0.0232634725567233	0.845461682105885	36.3428838942423	1	0.25
0.8	0.65	0.2	0.05	1	1	alldata	TRUE	FALSE	0.0328362243250239	0.846385386963798	25.7759655490836	0.8125	0.25
0.95	0.65	0.2	0.05	1	1	alldata	TRUE	FALSE	0.0464039972670605	0.846633327807113	18.2448361707859	0.684210526315789	0.25
0.05	0.8	0.2	0.05	1	1	alldata	TRUE	FALSE	0.0088427395615962	0.0779635796273771	8.81667712639316	16	0.25
0.2	0.8	0.2	0.05	1	1	alldata	TRUE	FALSE	0.00983273809772205	0.161661461969095	16.4411438972983	4	0.25
0.35	0.8	0.2	0.05	1	1	alldata	TRUE	FALSE	0.0114851788391341	0.531506667145003	46.277613486868	2.28571428571429	0.25
0.5	0.8	0.2	0.05	1	1	alldata	TRUE	FALSE	0.0141165933709626	0.814650253607951	57.7087001233358	1.6	0.25
0.65	0.8	0.2	0.05	1	1	alldata	TRUE	FALSE	0.0180985431512504	0.842336237242714	46.5416597459403	1.23076923076923	0.25
0.8	0.8	0.2	0.05	1	1	alldata	TRUE	FALSE	0.0238136964477299	0.845613898980341	35.5095606780925	1	0.25
0.95	0.8	0.2	0.05	1	1	alldata	TRUE	FALSE	0.031632397960972	0.846347806392331	26.7557270693342	0.842105263157895	0.25
0.05	0.95	0.2	0.05	1	1	alldata	TRUE	FALSE	0.00880649024837572	0.0760354184178511	8.63402062267373	19	0.25
0.2	0.95	0.2	0.05	1	1	alldata	TRUE	FALSE	0.00959378960041654	0.131384008488603	13.6946935424661	4.75	0.25
0.35	0.95	0.2	0.05	1	1	alldata	TRUE	FALSE	0.0108217337448331	0.355953626338283	32.8924768185353	2.71428571428571	0.25
0.5	0.95	0.2	0.05	1	1	alldata	TRUE	FALSE	0.0126740799082336	0.738342467192117	58.2561000512915	1.9	0.25
