rs1	rs2	rt1	rt3	passage	species	df	mutuallyInvasible	lowAbundance	1:1000	1000:1	doseDependence	sharedSratio	sharedTratio
0.05	0.05	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0634482844895874	0.990005770872894	15.6033497018405	1	1
0.2	0.05	0.05	0.05	1	1	alldata	TRUE	FALSE	0.836948082135014	0.990156461261693	1.18305601314702	0.25	1
0.35	0.05	0.05	0.05	1	1	alldata	TRUE	FALSE	0.922467581758086	0.990168456231264	1.07339106090227	0.142857142857143	1
0.5	0.05	0.05	0.05	1	1	alldata	TRUE	FALSE	0.944637781150619	0.990172658837514	1.04820353218504	0.1	1
0.65	0.05	0.05	0.05	1	1	alldata	TRUE	FALSE	0.954026595461993	0.990174777523246	1.03789011987003	0.0769230769230769	1
0.8	0.05	0.05	0.05	1	1	alldata	TRUE	FALSE	0.959079087193158	0.990176051159944	1.03242377441238	0.0625	1
0.95	0.05	0.05	0.05	1	1	alldata	TRUE	FALSE	0.962185149641394	0.990176904090364	1.02909185873364	0.0526315789473684	1
0.05	0.2	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0076263203211604	0.873846791479567	114.583017061969	4	1
0.2	0.2	0.05	0.05	1	1	alldata	TRUE	FALSE	0.059233187029708	0.989935833318705	16.7125201759313	1	1
0.35	0.2	0.05	0.05	1	1	alldata	TRUE	FALSE	0.379142713381599	0.990124398103585	2.61148207035973	0.571428571428572	1
0.5	0.2	0.05	0.05	1	1	alldata	TRUE	FALSE	0.689209876294127	0.990152817116202	1.43664919957363	0.4	1
0.65	0.2	0.05	0.05	1	1	alldata	TRUE	FALSE	0.833630389498756	0.990162791236809	1.18777194750802	0.307692307692308	1
0.8	0.2	0.05	0.05	1	1	alldata	TRUE	FALSE	0.892193135980614	0.99016768893583	1.10981316601089	0.25	1
0.95	0.2	0.05	0.05	1	1	alldata	TRUE	FALSE	0.919593201683206	0.990170563703352	1.07674845996139	0.210526315789474	1
0.05	0.35	0.05	0.05	1	1	alldata	TRUE	FALSE	0.00661322838926126	0.570010896261297	86.1925315004841	7	1
0.2	0.35	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0156294259550472	0.986367276905314	63.1096292174946	1.75	1
0.35	0.35	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0602496574931135	0.989874902033918	16.4295523530082	1	1
0.5	0.35	0.05	0.05	1	1	alldata	TRUE	FALSE	0.208683109006066	0.990082941709366	4.74443258213384	0.7	1
