sample reads.in reads.out
16S-C-A1-L0_e0017-0-C-A1.fastq.gz 116 115
16S-C-A1-L1_e0017-1-C-A1.fastq.gz 168763 161356
16S-C-A1-L2_e0017-2-C-A1.fastq.gz 250 240
16S-C-A10-L0_e0017-0-C-A10.fastq.gz 192588 181627
16S-C-A10-L1_e0017-1-C-A10.fastq.gz 204848 192341
16S-C-A10-L2_e0017-2-C-A10.fastq.gz 120638 113023
16S-C-A10-L3_e0017-3-C-A10.fastq.gz 144928 136965
16S-C-A11-L0_e0017-0-C-A11.fastq.gz 186412 176259
16S-C-A11-L1_e0017-1-C-A11.fastq.gz 199023 187958
16S-C-A11-L2_e0017-2-C-A11.fastq.gz 147600 139904
16S-C-A11-L3_e0017-3-C-A11.fastq.gz 135389 128604
16S-C-A12-L1_e0017-1-C-A12.fastq.gz 18751 17980
16S-C-A12-L3_e0017-3-C-A12.fastq.gz 116 102
16S-C-A2-L1_e0017-1-C-A2.fastq.gz 261196 248630
16S-C-A2-L2_e0017-2-C-A2.fastq.gz 155046 149067
16S-C-A2-L3_e0017-3-C-A2.fastq.gz 210908 201752
16S-C-A3-L0_e0017-0-C-A3.fastq.gz 345451 331805
16S-C-A3-L1_e0017-1-C-A3.fastq.gz 374479 359196
16S-C-A3-L2_e0017-2-C-A3.fastq.gz 241435 233127
16S-C-A3-L3_e0017-3-C-A3.fastq.gz 277088 266760
16S-C-A4-L0_e0017-0-C-A4.fastq.gz 164552 156935
16S-C-A4-L1_e0017-1-C-A4.fastq.gz 209935 199563
16S-C-A4-L2_e0017-2-C-A4.fastq.gz 108297 103880
16S-C-A4-L3_e0017-3-C-A4.fastq.gz 131596 125966
16S-C-A5-L0_e0017-0-C-A5.fastq.gz 100988 96747
16S-C-A5-L1_e0017-1-C-A5.fastq.gz 83642 79819
16S-C-A5-L2_e0017-2-C-A5.fastq.gz 71982 69279
16S-C-A5-L3_e0017-3-C-A5.fastq.gz 81671 78362
16S-C-A6-L0_e0017-0-C-A6.fastq.gz 303238 288035
16S-C-A6-L1_e0017-1-C-A6.fastq.gz 351202 333498
16S-C-A6-L2_e0017-2-C-A6.fastq.gz 189502 181143
16S-C-A6-L3_e0017-3-C-A6.fastq.gz 237607 226645
16S-C-A7-L0_e0017-0-C-A7.fastq.gz 228398 217435
16S-C-A7-L1_e0017-1-C-A7.fastq.gz 237243 226056
16S-C-A7-L2_e0017-2-C-A7.fastq.gz 208413 199999
16S-C-A7-L3_e0017-3-C-A7.fastq.gz 233496 223170
16S-C-A8-L0_e0017-0-C-A8.fastq.gz 236980 224535
16S-C-A8-L1_e0017-1-C-A8.fastq.gz 254066 240464
16S-C-A8-L2_e0017-2-C-A8.fastq.gz 182692 173303
16S-C-A8-L3_e0017-3-C-A8.fastq.gz 178399 169634
16S-C-A9-L0_e0017-0-C-A9.fastq.gz 175170 163913
16S-C-A9-L1_e0017-1-C-A9.fastq.gz 210676 197318
16S-C-A9-L2_e0017-2-C-A9.fastq.gz 93942 87350
16S-C-A9-L3_e0017-3-C-A9.fastq.gz 143272 135062
16S-C-B1-L0_e0017-0-C-B1.fastq.gz 222417 211177
16S-C-B1-L1_e0017-1-C-B1.fastq.gz 238197 226030
16S-C-B1-L2_e0017-2-C-B1.fastq.gz 124507 118099
16S-C-B1-L3_e0017-3-C-B1.fastq.gz 98256 93967
16S-C-B10-L0_e0017-0-C-B10.fastq.gz 139280 132358
16S-C-B10-L1_e0017-1-C-B10.fastq.gz 108459 103158
16S-C-B10-L2_e0017-2-C-B10.fastq.gz 65799 62793
16S-C-B10-L3_e0017-3-C-B10.fastq.gz 98491 94114
16S-C-B11-L0_e0017-0-C-B11.fastq.gz 325183 307872
16S-C-B11-L1_e0017-1-C-B11.fastq.gz 364260 345639
16S-C-B11-L2_e0017-2-C-B11.fastq.gz 218206 208273
16S-C-B11-L3_e0017-3-C-B11.fastq.gz 274835 262132
16S-C-B12-L0_e0017-0-C-B12.fastq.gz 254994 239536
16S-C-B12-L1_e0017-1-C-B12.fastq.gz 245300 229944
16S-C-B12-L2_e0017-2-C-B12.fastq.gz 149645 139859
16S-C-B12-L3_e0017-3-C-B12.fastq.gz 185215 173946
16S-C-B2-L0_e0017-0-C-B2.fastq.gz 277867 263843
16S-C-B2-L1_e0017-1-C-B2.fastq.gz 280162 266432
16S-C-B2-L2_e0017-2-C-B2.fastq.gz 144178 138093
16S-C-B2-L3_e0017-3-C-B2.fastq.gz 150067 143438
16S-C-B3-L0_e0017-0-C-B3.fastq.gz 293034 276592
