sample reads.in reads.out
16S-B-A1-L3_4-3-B-A1.fastq.gz 23607 22456
16S-B-A2-L3_4-3-B-A2.fastq.gz 17125 16274
16S-B-A3-L3_4-3-B-A3.fastq.gz 16025 15268
16S-B-A4-L3_4-3-B-A4.fastq.gz 18099 17061
16S-B-A5-L3_4-3-B-A5.fastq.gz 13294 12615
16S-B-A6-L3_4-3-B-A6.fastq.gz 34709 32760
16S-B-B1-L3_4-3-B-B1.fastq.gz 30744 29326
16S-B-B2-L3_4-3-B-B2.fastq.gz 19865 18959
16S-B-B3-L3_4-3-B-B3.fastq.gz 4723 4492
16S-B-B4-L3_4-3-B-B4.fastq.gz 30719 29246
16S-B-B5-L3_4-3-B-B5.fastq.gz 30361 28871
16S-B-B6-L3_4-3-B-B6.fastq.gz 30361 28973
16S-B-B7-L3_4-3-B-B7.fastq.gz 22966 21787
16S-B-B8-L3_4-3-B-B8.fastq.gz 21339 20345
16S-B-B9-L3_4-3-B-B9.fastq.gz 29756 28307
16S-B-C1-L3_4-3-B-C1.fastq.gz 43386 41081
16S-B-C2-L3_4-3-B-C2.fastq.gz 40917 38751
16S-B-C3-L3_4-3-B-C3.fastq.gz 20295 19254
16S-B-C4-L3_4-3-B-C4.fastq.gz 24222 23100
16S-B-C5-L3_4-3-B-C5.fastq.gz 41204 38908
16S-B-C6-L3_4-3-B-C6.fastq.gz 44905 42650
16S-B-C7-L3_4-3-B-C7.fastq.gz 26231 24952
16S-B-C8-L3_4-3-B-C8.fastq.gz 9276 8791
16S-B-C9-L3_4-3-B-C9.fastq.gz 35158 33435
16S-B-D1-L3_4-3-B-D1.fastq.gz 46637 44461
16S-B-D2-L3_4-3-B-D2.fastq.gz 45522 43399
16S-B-D3-L3_4-3-B-D3.fastq.gz 39473 37616
16S-B-D4-L3_4-3-B-D4.fastq.gz 32222 30642
16S-B-D5-L3_4-3-B-D5.fastq.gz 43046 40858
16S-B-D6-L3_4-3-B-D6.fastq.gz 44296 42234
16S-B-D7-L3_4-3-B-D7.fastq.gz 35272 33513
16S-B-D8-L3_4-3-B-D8.fastq.gz 33737 32055
16S-B-D9-L3_4-3-B-D9.fastq.gz 37968 35961
16S-B-E1-L3_4-3-B-E1.fastq.gz 62722 59853
16S-B-E2-L3_4-3-B-E2.fastq.gz 50240 47782
16S-B-E3-L3_4-3-B-E3.fastq.gz 35580 33823
16S-B-E4-L3_4-3-B-E4.fastq.gz 47580 45525
16S-B-E5-L3_4-3-B-E5.fastq.gz 45364 42696
16S-B-E6-L3_4-3-B-E6.fastq.gz 63361 59831
16S-B-E7-L3_4-3-B-E7.fastq.gz 53278 50787
16S-B-E8-L3_4-3-B-E8.fastq.gz 972 927
16S-B-E9-L3_4-3-B-E9.fastq.gz 42795 40513
16S-B-F1-L3_4-3-B-F1.fastq.gz 88568 83936
16S-B-F2-L3_4-3-B-F2.fastq.gz 82481 78286
16S-B-F3-L3_4-3-B-F3.fastq.gz 91771 87013
16S-B-F4-L3_4-3-B-F4.fastq.gz 80172 76616
16S-B-F5-L3_4-3-B-F5.fastq.gz 85783 81940
16S-B-F6-L3_4-3-B-F6.fastq.gz 88001 82948
16S-B-F7-L3_4-3-B-F7.fastq.gz 103793 98474
16S-B-F8-L3_4-3-B-F8.fastq.gz 73124 69548
16S-B-F9-L3_4-3-B-F9.fastq.gz 80018 76040
16S-B-G1-L3_4-3-B-G1.fastq.gz 69251 66029
16S-B-G2-L3_4-3-B-G2.fastq.gz 94237 89824
16S-B-G3-L3_4-3-B-G3.fastq.gz 99811 95021
16S-B-G4-L3_4-3-B-G4.fastq.gz 86212 81807
16S-B-G5-L3_4-3-B-G5.fastq.gz 69988 66861
16S-B-G6-L3_4-3-B-G6.fastq.gz 34383 32766
16S-B-G7-L3_4-3-B-G7.fastq.gz 100347 95488
16S-B-G8-L3_4-3-B-G8.fastq.gz 93709 89082
16S-B-G9-L3_4-3-B-G9.fastq.gz 83298 79218
16S-B-H1-L3_4-3-B-H1.fastq.gz 8940 8538
16S-B-H2-L3_4-3-B-H2.fastq.gz 135077 128105
16S-B-H3-L3_4-3-B-H3.fastq.gz 119505 113375
16S-B-H4-L3_4-3-B-H4.fastq.gz 125165 117336
16S-B-H5-L3_4-3-B-H5.fastq.gz 125153 117771
16S-B-H6-L3_4-3-B-H6.fastq.gz 115745 109762
16S-B-H7-L3_4-3-B-H7.fastq.gz 85938 81436
16S-B-H8-L3_4-3-B-H8.fastq.gz 111397 106573
16S-B-H9-L3_4-3-B-H9.fastq.gz 103525 98345
