sample reads.in reads.out
16S-B-A1-L0_1-0-B-A1.fastq.gz 33499 31914
16S-B-A1-L2_3-2-B-A1.fastq.gz 44939 43766
16S-B-A2-L0_1-0-B-A2.fastq.gz 40683 38963
16S-B-A2-L2_3-2-B-A2.fastq.gz 32543 31661
16S-B-A3-L0_1-0-B-A3.fastq.gz 28267 27230
16S-B-A3-L2_3-2-B-A3.fastq.gz 32902 32084
16S-B-A4-L0_1-0-B-A4.fastq.gz 33795 32372
16S-B-A4-L2_3-2-B-A4.fastq.gz 33203 32153
16S-B-A5-L0_1-0-B-A5.fastq.gz 27281 26147
16S-B-A5-L2_3-2-B-A5.fastq.gz 25860 25125
16S-B-A6-L0_1-0-B-A6.fastq.gz 38277 36637
16S-B-A6-L2_3-2-B-A6.fastq.gz 29441 28591
16S-B-A7-L0_1-0-B-A7.fastq.gz 23899 22903
16S-B-A7-L2_3-2-B-A7.fastq.gz 33912 32697
16S-B-A8-L0_1-0-B-A8.fastq.gz 33150 31795
16S-B-A8-L2_3-2-B-A8.fastq.gz 33701 32814
16S-B-A9-L0_1-0-B-A9.fastq.gz 24521 23638
16S-B-A9-L2_3-2-B-A9.fastq.gz 21604 20984
16S-B-B1-L0_1-0-B-B1.fastq.gz 23406 22486
16S-B-B1-L1_2-1-B-B1.fastq.gz 34866 33260
16S-B-B1-L2_3-2-B-B1.fastq.gz 41145 40021
16S-B-B2-L0_1-0-B-B2.fastq.gz 34818 33382
16S-B-B2-L1_2-1-B-B2.fastq.gz 36612 34865
16S-B-B2-L2_3-2-B-B2.fastq.gz 31370 30530
16S-B-B3-L0_1-0-B-B3.fastq.gz 12134 11614
16S-B-B3-L1_2-1-B-B3.fastq.gz 9856 9332
16S-B-B3-L2_3-2-B-B3.fastq.gz 8609 8350
16S-B-B4-L0_1-0-B-B4.fastq.gz 37592 36272
16S-B-B4-L1_2-1-B-B4.fastq.gz 42788 40929
16S-B-B4-L2_3-2-B-B4.fastq.gz 44016 42835
16S-B-B5-L0_1-0-B-B5.fastq.gz 29591 28431
