sample reads.in reads.out
16S-A-A1-L0_e0049-5-0-A-A1.fastq.gz 9799 9486
16S-A-A1-L1_e0049-8-1-A-A1.fastq.gz 2047 1965
16S-A-A1-L2_e0050-A-5-2-A-A1.fastq.gz 2550 2459
16S-A-A1-L3_e0050-B-5-3-A-A1.fastq.gz 97 90
16S-A-A1-L4_e0049-3-4-A-A1.fastq.gz 6243 6031
16S-A-A1-L5_e0050-A-3-5-A-A1.fastq.gz 61 59
16S-A-A1-L6_e0050-B-3-6-A-A1.fastq.gz 1875 1813
16S-A-A1-L7_e0050-8-7-A-A1.fastq.gz 276 267
16S-A-A10-L0_e0049-5-0-A-A10.fastq.gz 11753 11372
16S-A-A10-L1_e0049-8-1-A-A10.fastq.gz 0 0
16S-A-A10-L2_e0050-A-5-2-A-A10.fastq.gz 14611 13992
16S-A-A10-L3_e0050-B-5-3-A-A10.fastq.gz 4491 4317
16S-A-A10-L4_e0049-3-4-A-A10.fastq.gz 6581 6305
16S-A-A10-L5_e0050-A-3-5-A-A10.fastq.gz 9269 8900
16S-A-A10-L6_e0050-B-3-6-A-A10.fastq.gz 7827 7495
16S-A-A10-L7_e0050-8-7-A-A10.fastq.gz 12616 12114
16S-A-A11-L0_e0049-5-0-A-A11.fastq.gz 13768 13321
16S-A-A11-L1_e0049-8-1-A-A11.fastq.gz 0 0
16S-A-A11-L2_e0050-A-5-2-A-A11.fastq.gz 16400 15823
16S-A-A11-L3_e0050-B-5-3-A-A11.fastq.gz 451 435
16S-A-A11-L4_e0049-3-4-A-A11.fastq.gz 6078 5870
16S-A-A11-L5_e0050-A-3-5-A-A11.fastq.gz 6440 6240
16S-A-A11-L6_e0050-B-3-6-A-A11.fastq.gz 11527 11123
16S-A-A11-L7_e0050-8-7-A-A11.fastq.gz 14288 13802
16S-A-A12-L0_e0049-5-0-A-A12.fastq.gz 12790 12435
16S-A-A12-L1_e0049-8-1-A-A12.fastq.gz 48 47
16S-A-A12-L2_e0050-A-5-2-A-A12.fastq.gz 21833 21168
16S-A-A12-L3_e0050-B-5-3-A-A12.fastq.gz 50 48
16S-A-A12-L4_e0049-3-4-A-A12.fastq.gz 7241 7012
16S-A-A12-L5_e0050-A-3-5-A-A12.fastq.gz 14858 14459
16S-A-A12-L6_e0050-B-3-6-A-A12.fastq.gz 0 0
16S-A-A12-L7_e0050-8-7-A-A12.fastq.gz 12418 12101
16S-A-A2-L0_e0049-5-0-A-A2.fastq.gz 9401 9049
16S-A-A2-L1_e0049-8-1-A-A2.fastq.gz 8501 8224
16S-A-A2-L2_e0050-A-5-2-A-A2.fastq.gz 16462 15878
16S-A-A2-L3_e0050-B-5-3-A-A2.fastq.gz 3280 3168
16S-A-A2-L4_e0049-3-4-A-A2.fastq.gz 8933 8578
16S-A-A2-L5_e0050-A-3-5-A-A2.fastq.gz 2045 1986
16S-A-A2-L6_e0050-B-3-6-A-A2.fastq.gz 19380 18691
16S-A-A2-L7_e0050-8-7-A-A2.fastq.gz 6050 5853
16S-A-A3-L0_e0049-5-0-A-A3.fastq.gz 14248 13865
16S-A-A3-L1_e0049-8-1-A-A3.fastq.gz 10207 9957
16S-A-A3-L2_e0050-A-5-2-A-A3.fastq.gz 13719 13323
16S-A-A3-L3_e0050-B-5-3-A-A3.fastq.gz 12762 12343
16S-A-A3-L4_e0049-3-4-A-A3.fastq.gz 9420 9152
16S-A-A3-L5_e0050-A-3-5-A-A3.fastq.gz 14473 14091
16S-A-A3-L6_e0050-B-3-6-A-A3.fastq.gz 14738 14288
16S-A-A3-L7_e0050-8-7-A-A3.fastq.gz 11583 11239
16S-A-A4-L0_e0049-5-0-A-A4.fastq.gz 57 49
16S-A-A4-L1_e0049-8-1-A-A4.fastq.gz 5 4
16S-A-A4-L2_e0050-A-5-2-A-A4.fastq.gz 9 8
16S-A-A4-L3_e0050-B-5-3-A-A4.fastq.gz 6 1
16S-A-A4-L4_e0049-3-4-A-A4.fastq.gz 122 59
16S-A-A4-L5_e0050-A-3-5-A-A4.fastq.gz 55 55
16S-A-A4-L6_e0050-B-3-6-A-A4.fastq.gz 81 76
16S-A-A4-L7_e0050-8-7-A-A4.fastq.gz 16 0
16S-A-A5-L0_e0049-5-0-A-A5.fastq.gz 13719 13291
16S-A-A5-L1_e0049-8-1-A-A5.fastq.gz 8609 8352
16S-A-A5-L2_e0050-A-5-2-A-A5.fastq.gz 16913 16393
16S-A-A5-L3_e0050-B-5-3-A-A5.fastq.gz 4 2
16S-A-A5-L4_e0049-3-4-A-A5.fastq.gz 4942 4764
16S-A-A5-L5_e0050-A-3-5-A-A5.fastq.gz 6082 5920
16S-A-A5-L6_e0050-B-3-6-A-A5.fastq.gz 13 11
