sample reads.in reads.out
16S-A-A1-L3_e0043-A-5-3-A-A1.fastq.gz 118623 111600
16S-A-A10-L3_e0043-A-5-3-A-A10.fastq.gz 1065981 976151
16S-A-A11-L3_e0043-A-5-3-A-A11.fastq.gz 998101 916443
16S-A-A12-L3_e0043-A-5-3-A-A12.fastq.gz 745139 683158
16S-A-A2-L3_e0043-A-5-3-A-A2.fastq.gz 188400 176090
16S-A-A3-L3_e0043-A-5-3-A-A3.fastq.gz 209695 197730
16S-A-A4-L3_e0043-A-5-3-A-A4.fastq.gz 215754 202525
16S-A-A5-L3_e0043-A-5-3-A-A5.fastq.gz 229224 216221
16S-A-A6-L3_e0043-A-5-3-A-A6.fastq.gz 651876 605884
16S-A-A7-L3_e0043-A-5-3-A-A7.fastq.gz 744899 683632
16S-A-A8-L3_e0043-A-5-3-A-A8.fastq.gz 897736 823110
16S-A-A9-L3_e0043-A-5-3-A-A9.fastq.gz 982772 903033
16S-A-B1-L3_e0043-A-5-3-A-B1.fastq.gz 214 204
16S-A-B10-L3_e0043-A-5-3-A-B10.fastq.gz 977207 897154
16S-A-B11-L3_e0043-A-5-3-A-B11.fastq.gz 941672 861562
16S-A-B12-L3_e0043-A-5-3-A-B12.fastq.gz 882877 808949
16S-A-B2-L3_e0043-A-5-3-A-B2.fastq.gz 131 120
16S-A-B3-L3_e0043-A-5-3-A-B3.fastq.gz 196 191
16S-A-B4-L3_e0043-A-5-3-A-B4.fastq.gz 393023 369342
16S-A-B5-L3_e0043-A-5-3-A-B5.fastq.gz 313032 293253
16S-A-B6-L3_e0043-A-5-3-A-B6.fastq.gz 134988 126113
16S-A-B7-L3_e0043-A-5-3-A-B7.fastq.gz 669743 613862
16S-A-B8-L3_e0043-A-5-3-A-B8.fastq.gz 976206 899649
16S-A-B9-L3_e0043-A-5-3-A-B9.fastq.gz 942174 864402
16S-A-C1-L3_e0043-A-5-3-A-C1.fastq.gz 939 897
16S-A-C10-L3_e0043-A-5-3-A-C10.fastq.gz 896850 821371
16S-A-C11-L3_e0043-A-5-3-A-C11.fastq.gz 779209 714955
16S-A-C12-L3_e0043-A-5-3-A-C12.fastq.gz 715869 655767
16S-A-C2-L3_e0043-A-5-3-A-C2.fastq.gz 201 185
16S-A-C3-L3_e0043-A-5-3-A-C3.fastq.gz 294 285
16S-A-C4-L3_e0043-A-5-3-A-C4.fastq.gz 329247 310966
16S-A-C5-L3_e0043-A-5-3-A-C5.fastq.gz 337508 316591
16S-A-C6-L3_e0043-A-5-3-A-C6.fastq.gz 664299 602581
16S-A-C7-L3_e0043-A-5-3-A-C7.fastq.gz 760848 695812
16S-A-C8-L3_e0043-A-5-3-A-C8.fastq.gz 62947 58592
16S-A-C9-L3_e0043-A-5-3-A-C9.fastq.gz 813800 739478
16S-A-D1-L3_e0043-A-5-3-A-D1.fastq.gz 66 56
16S-A-D10-L3_e0043-A-5-3-A-D10.fastq.gz 939343 841890
16S-A-D11-L3_e0043-A-5-3-A-D11.fastq.gz 1179982 1076051
16S-A-D12-L3_e0043-A-5-3-A-D12.fastq.gz 870436 757089
16S-A-D2-L3_e0043-A-5-3-A-D2.fastq.gz 143 135
16S-A-D3-L3_e0043-A-5-3-A-D3.fastq.gz 117 111
16S-A-D4-L3_e0043-A-5-3-A-D4.fastq.gz 369827 347422
16S-A-D5-L3_e0043-A-5-3-A-D5.fastq.gz 418362 392929
16S-A-D6-L3_e0043-A-5-3-A-D6.fastq.gz 539080 483763
16S-A-D7-L3_e0043-A-5-3-A-D7.fastq.gz 849818 783050
16S-A-D8-L3_e0043-A-5-3-A-D8.fastq.gz 900136 825318
16S-A-D9-L3_e0043-A-5-3-A-D9.fastq.gz 1029557 906579
16S-A-E1-L3_e0043-A-5-3-A-E1.fastq.gz 125 113
16S-A-E10-L3_e0043-A-5-3-A-E10.fastq.gz 655223 586381
16S-A-E11-L3_e0043-A-5-3-A-E11.fastq.gz 922642 843548
16S-A-E12-L3_e0043-A-5-3-A-E12.fastq.gz 737064 667384
16S-A-E2-L3_e0043-A-5-3-A-E2.fastq.gz 37 35
16S-A-E3-L3_e0043-A-5-3-A-E3.fastq.gz 181177 169597
