biosample	media	inoculationreplicate	passage	PCRreplicate	sample	well	round1plate	round1index	round2plate	filename
XBA-029	BHI	1	1	1	XBA-029-BHI-r1-p1-PCR1	A1	0	0	B	16S-A1-L0
XBB-029	BHI	1	1	1	XBB-029-BHI-r1-p1-PCR1	B1	0	1	B	16S-B1-L1
XCA-029	BHI	1	1	1	XCA-029-BHI-r1-p1-PCR1	C1	0	2	B	16S-C1-L2
XCB-029	BHI	1	1	1	XCB-029-BHI-r1-p1-PCR1	D1	0	3	B	16S-D1-L3
XDA-029	BHI	1	1	1	XDA-029-BHI-r1-p1-PCR1	E1	0	4	B	16S-E1-L4
XDB-029	BHI	1	1	1	XDB-029-BHI-r1-p1-PCR1	F1	0	5	B	16S-F1-L5
XFA-029	BHI	1	1	1	XFA-029-BHI-r1-p1-PCR1	G1	0	6	B	16S-G1-L6
XFB-029	BHI	1	1	1	XFB-029-BHI-r1-p1-PCR1	H1	0	7	B	16S-H1-L7
XBA-029	BHI	2	1	1	XBA-029-BHI-r2-p1-PCR1	A2	0	0	B	16S-A2-L0
XBB-029	BHI	2	1	1	XBB-029-BHI-r2-p1-PCR1	B2	0	1	B	16S-B2-L1
XCA-029	BHI	2	1	1	XCA-029-BHI-r2-p1-PCR1	C2	0	2	B	16S-C2-L2
XCB-029	BHI	2	1	1	XCB-029-BHI-r2-p1-PCR1	D2	0	3	B	16S-D2-L3
XDA-029	BHI	2	1	1	XDA-029-BHI-r2-p1-PCR1	E2	0	4	B	16S-E2-L4
XDB-029	BHI	2	1	1	XDB-029-BHI-r2-p1-PCR1	F2	0	5	B	16S-F2-L5
XFA-029	BHI	2	1	1	XFA-029-BHI-r2-p1-PCR1	G2	0	6	B	16S-G2-L6
XFB-029	BHI	2	1	1	XFB-029-BHI-r2-p1-PCR1	H2	0	7	B	16S-H2-L7
XBA-029	BHI	3	1	1	XBA-029-BHI-r3-p1-PCR1	A3	0	0	B	16S-A3-L0
XBB-029	BHI	3	1	1	XBB-029-BHI-r3-p1-PCR1	B3	0	1	B	16S-B3-L1
XCA-029	BHI	3	1	1	XCA-029-BHI-r3-p1-PCR1	C3	0	2	B	16S-C3-L2
XCB-029	BHI	3	1	1	XCB-029-BHI-r3-p1-PCR1	D3	0	3	B	16S-D3-L3
XDA-029	BHI	3	1	1	XDA-029-BHI-r3-p1-PCR1	E3	0	4	B	16S-E3-L4
XDB-029	BHI	3	1	1	XDB-029-BHI-r3-p1-PCR1	F3	0	5	B	16S-F3-L5
XFA-029	BHI	3	1	1	XFA-029-BHI-r3-p1-PCR1	G3	0	6	B	16S-G3-L6
XFB-029	BHI	3	1	1	XFB-029-BHI-r3-p1-PCR1	H3	0	7	B	16S-H3-L7
XBA-029	mBHI	1	1	1	XBA-029-mBHI-r1-p1-PCR1	A4	0	0	B	16S-A4-L0
XBB-029	mBHI	1	1	1	XBB-029-mBHI-r1-p1-PCR1	B4	0	1	B	16S-B4-L1
XCA-029	mBHI	1	1	1	XCA-029-mBHI-r1-p1-PCR1	C4	0	2	B	16S-C4-L2
XCB-029	mBHI	1	1	1	XCB-029-mBHI-r1-p1-PCR1	D4	0	3	B	16S-D4-L3
XDA-029	mBHI	1	1	1	XDA-029-mBHI-r1-p1-PCR1	E4	0	4	B	16S-E4-L4
XDB-029	mBHI	1	1	1	XDB-029-mBHI-r1-p1-PCR1	F4	0	5	B	16S-F4-L5
XFA-029	mBHI	1	1	1	XFA-029-mBHI-r1-p1-PCR1	G4	0	6	B	16S-G4-L6
XFB-029	mBHI	1	1	1	XFB-029-mBHI-r1-p1-PCR1	H4	0	7	B	16S-H4-L7
XBA-029	mBHI	2	1	1	XBA-029-mBHI-r2-p1-PCR1	A5	0	0	B	16S-A5-L0
XBB-029	mBHI	2	1	1	XBB-029-mBHI-r2-p1-PCR1	B5	0	1	B	16S-B5-L1
XCA-029	mBHI	2	1	1	XCA-029-mBHI-r2-p1-PCR1	C5	0	2	B	16S-C5-L2
XCB-029	mBHI	2	1	1	XCB-029-mBHI-r2-p1-PCR1	D5	0	3	B	16S-D5-L3
XDA-029	mBHI	2	1	1	XDA-029-mBHI-r2-p1-PCR1	E5	0	4	B	16S-E5-L4
XDB-029	mBHI	2	1	1	XDB-029-mBHI-r2-p1-PCR1	F5	0	5	B	16S-F5-L5
XFA-029	mBHI	2	1	1	XFA-029-mBHI-r2-p1-PCR1	G5	0	6	B	16S-G5-L6
XFB-029	mBHI	2	1	1	XFB-029-mBHI-r2-p1-PCR1	H5	0	7	B	16S-H5-L7
XBA-029	mBHI	3	1	1	XBA-029-mBHI-r3-p1-PCR1	A6	0	0	B	16S-A6-L0
XBB-029	mBHI	3	1	1	XBB-029-mBHI-r3-p1-PCR1	B6	0	1	B	16S-B6-L1
XCA-029	mBHI	3	1	1	XCA-029-mBHI-r3-p1-PCR1	C6	0	2	B	16S-C6-L2
XCB-029	mBHI	3	1	1	XCB-029-mBHI-r3-p1-PCR1	D6	0	3	B	16S-D6-L3
XDA-029	mBHI	3	1	1	XDA-029-mBHI-r3-p1-PCR1	E6	0	4	B	16S-E6-L4
XDB-029	mBHI	3	1	1	XDB-029-mBHI-r3-p1-PCR1	F6	0	5	B	16S-F6-L5
XFA-029	mBHI	3	1	1	XFA-029-mBHI-r3-p1-PCR1	G6	0	6	B	16S-G6-L6
XFB-029	mBHI	3	1	1	XFB-029-mBHI-r3-p1-PCR1	H6	0	7	B	16S-H6-L7
XBA-029	mBHImucin	1	1	1	XBA-029-mBHImucin-r1-p1-PCR1	A7	0	0	B	16S-A7-L0
XBB-029	mBHImucin	1	1	1	XBB-029-mBHImucin-r1-p1-PCR1	B7	0	1	B	16S-B7-L1
XCA-029	mBHImucin	1	1	1	XCA-029-mBHImucin-r1-p1-PCR1	C7	0	2	B	16S-C7-L2
XCB-029	mBHImucin	1	1	1	XCB-029-mBHImucin-r1-p1-PCR1	D7	0	3	B	16S-D7-L3
XDA-029	mBHImucin	1	1	1	XDA-029-mBHImucin-r1-p1-PCR1	E7	0	4	B	16S-E7-L4
XDB-029	mBHImucin	1	1	1	XDB-029-mBHImucin-r1-p1-PCR1	F7	0	5	B	16S-F7-L5
XFA-029	mBHImucin	1	1	1	XFA-029-mBHImucin-r1-p1-PCR1	G7	0	6	B	16S-G7-L6
XFB-029	mBHImucin	1	1	1	XFB-029-mBHImucin-r1-p1-PCR1	H7	0	7	B	16S-H7-L7
XBA-029	mBHImucin	2	1	1	XBA-029-mBHImucin-r2-p1-PCR1	A8	0	0	B	16S-A8-L0
XBB-029	mBHImucin	2	1	1	XBB-029-mBHImucin-r2-p1-PCR1	B8	0	1	B	16S-B8-L1
XCA-029	mBHImucin	2	1	1	XCA-029-mBHImucin-r2-p1-PCR1	C8	0	2	B	16S-C8-L2
XCB-029	mBHImucin	2	1	1	XCB-029-mBHImucin-r2-p1-PCR1	D8	0	3	B	16S-D8-L3
XDA-029	mBHImucin	2	1	1	XDA-029-mBHImucin-r2-p1-PCR1	E8	0	4	B	16S-E8-L4
XDB-029	mBHImucin	2	1	1	XDB-029-mBHImucin-r2-p1-PCR1	F8	0	5	B	16S-F8-L5
XFA-029	mBHImucin	2	1	1	XFA-029-mBHImucin-r2-p1-PCR1	G8	0	6	B	16S-G8-L6
XFB-029	mBHImucin	2	1	1	XFB-029-mBHImucin-r2-p1-PCR1	H8	0	7	B	16S-H8-L7
XBA-029	mBHImucin	3	1	1	XBA-029-mBHImucin-r3-p1-PCR1	A9	0	0	B	16S-A9-L0
XBB-029	mBHImucin	3	1	1	XBB-029-mBHImucin-r3-p1-PCR1	B9	0	1	B	16S-B9-L1
XCA-029	mBHImucin	3	1	1	XCA-029-mBHImucin-r3-p1-PCR1	C9	0	2	B	16S-C9-L2
XCB-029	mBHImucin	3	1	1	XCB-029-mBHImucin-r3-p1-PCR1	D9	0	3	B	16S-D9-L3
XDA-029	mBHImucin	3	1	1	XDA-029-mBHImucin-r3-p1-PCR1	E9	0	4	B	16S-E9-L4
XDB-029	mBHImucin	3	1	1	XDB-029-mBHImucin-r3-p1-PCR1	F9	0	5	B	16S-F9-L5
XFA-029	mBHImucin	3	1	1	XFA-029-mBHImucin-r3-p1-PCR1	G9	0	6	B	16S-G9-L6
XFB-029	mBHImucin	3	1	1	XFB-029-mBHImucin-r3-p1-PCR1	H9	0	7	B	16S-H9-L7
XBA-029	TYG	1	1	1	XBA-029-TYG-r1-p1-PCR1	A10	0	0	B	16S-A10-L0
XBB-029	TYG	1	1	1	XBB-029-TYG-r1-p1-PCR1	B10	0	1	B	16S-B10-L1
XCA-029	TYG	1	1	1	XCA-029-TYG-r1-p1-PCR1	C10	0	2	B	16S-C10-L2
XCB-029	TYG	1	1	1	XCB-029-TYG-r1-p1-PCR1	D10	0	3	B	16S-D10-L3
XDA-029	TYG	1	1	1	XDA-029-TYG-r1-p1-PCR1	E10	0	4	B	16S-E10-L4
XDB-029	TYG	1	1	1	XDB-029-TYG-r1-p1-PCR1	F10	0	5	B	16S-F10-L5
XFA-029	TYG	1	1	1	XFA-029-TYG-r1-p1-PCR1	G10	0	6	B	16S-G10-L6
XFB-029	TYG	1	1	1	XFB-029-TYG-r1-p1-PCR1	H10	0	7	B	16S-H10-L7
